state,dun,area_name,ballot_order,name,candidate_uid,party,votes
Kelantan,N.01 Pengkalan Kubor,Pengkalan Kubor,1,Hassan Bin Berahim,17689,PKR,7543
Kelantan,N.01 Pengkalan Kubor,Pengkalan Kubor,2,Noor Zahid Bin Omar (Datuk Haji Di),17690,BN,7643
Kelantan,N.02 Kelaboran,Kelaboran,1,Wan Hanapi Bin Wan Yaacob (Wan Napi),17691,BN,6444
Kelantan,N.02 Kelaboran,Kelaboran,2,Zaki Haji Ibrahim,16352,PAS,8656
Kelantan,N.03 Pasir Pekan,Pasir Pekan,1,Ahmad Bin Yakob (Ustaz Mat),17693,PAS,11106
Kelantan,N.03 Pasir Pekan,Pasir Pekan,2,Haji Noor,17694,BN,6590
Kelantan,N.04 Wakaf Bharu,Wakaf Bharu,1,Hj Mohd Rosdi,17695,BN,7745
Kelantan,N.04 Wakaf Bharu,Wakaf Bharu,2,Che Abdullah Bin Mat Nawi (Hj Che Lah),17696,PAS,8405
Kelantan,N.05 Kijang,Kijang,1,Wan Ubaidah Binti Omar,17697,PAS,0
Kelantan,N.06 Chempaka,Chempaka,1,Datuk Dr. Nik Mohd Zain,17698,BN,5265
Kelantan,N.06 Chempaka,Chempaka,2,Tuan Guru Dato' Haji Nik Abdul Aziz,16359,PAS,9514
Kelantan,N.07 Panchor,Panchor,1,Mohd Amar Bin Abdullah (Nik Amar),2621,PAS,9148
Kelantan,N.07 Panchor,Panchor,2,Dali Bin Husin,3660,BN,5711
Kelantan,N.08 Tanjong Mas,Tanjong Mas,1,Rohani Binti Ibrahim (Kak Ani),17702,PAS,11095
Kelantan,N.08 Tanjong Mas,Tanjong Mas,2,Khazuni,17703,BN,4983
Kelantan,N.09 Kota Lama,Kota Lama,1,Dato' Anuar Tan,16366,PAS,12867
Kelantan,N.09 Kota Lama,Kota Lama,2,Tan Ken Ten,17705,BN,7661
Kelantan,N.10 Bunut Payong,Bunut Payong,1,Dato' Haji Takiyuddin,17706,PAS,10360
Kelantan,N.10 Bunut Payong,Bunut Payong,2,Hj Rosmadi,17707,BN,6019
Kelantan,N.11 Tendong,Tendong,1,Haji Fauzi,16369,BN,6448
Kelantan,N.11 Tendong,Tendong,2,Ustaz Haji Muhammad,17709,PAS,8105
Kelantan,N.12 Pengkalan Pasir,Pengkalan Pasir,1,Haji Hanafi Bin Mamat,17710,BN,8029
Kelantan,N.12 Pengkalan Pasir,Pengkalan Pasir,2,Hj. Hanifa Ahmad,17711,PAS,10377
Kelantan,N.13 Chetok,Chetok,1,Ustaz Abdul Halim,17712,PAS,9107
Kelantan,N.13 Chetok,Chetok,2,Dato' Hj Abdul Rahim Bin Hj Abdul Rahman,15125,BN,6437
Kelantan,N.14 Meranti,Meranti,1,Abe Lah Mat Yasim,17714,BN,4102
Kelantan,N.14 Meranti,Meranti,2,Ustaz Hj. Nassuruddin Hj. Daud,16376,PAS,7237
Kelantan,N.15 Gual Periok,Gual Periok,1,Dato' Shaari Bin Mat Hussain,16377,BN,6182
Kelantan,N.15 Gual Periok,Gual Periok,2,Ustaz Mat Cikgu Awang,17717,PAS,6915
Kelantan,N.15 Gual Periok,Gual Periok,3,Mohammad Zulkifli Bin Abd. Rashid (Che Bob),17718,BEBAS,147
Kelantan,N.16 Bukit Tuku,Bukit Tuku,1,Mohd Zain,16380,BN,4884
Kelantan,N.16 Bukit Tuku,Bukit Tuku,2,Abdul Fatah Bin Haron (Abe Tah),17720,PAS,5340
Kelantan,N.17 Salor,Salor,1,Ismail Bin Mamat (Cikgu Wil),17721,BN,5097
Kelantan,N.17 Salor,Salor,2,Dato' Husam,17722,PAS,8329
Kelantan,N.18 Pasir Tumboh,Pasir Tumboh,1,Ust. Baihaki,16383,PAS,7779
Kelantan,N.18 Pasir Tumboh,Pasir Tumboh,2,Anuar Hj Safian,17724,BN,4376
Kelantan,N.19 Demit,Demit,1,Ustaz Mad Mustafa,17725,PAS,11547
Kelantan,N.19 Demit,Demit,2,Muhammad Bin Abdul Ghani,4030,BN,6748
Kelantan,N.20 Tawang,Tawang,1,Ust Hj Hassan,17727,PAS,11068
Kelantan,N.20 Tawang,Tawang,2,Ibrahim Bin Mat Din (Dato' Him),17728,BN,7790
Kelantan,N.21 Perupok,Perupok,1,Dato' Awang Adek Hussin,17729,BN,8235
Kelantan,N.21 Perupok,Perupok,2,Dato' Hj. Omar Mohammed,17730,PAS,9505
Kelantan,N.22 Jelawat,Jelawat,1,Dato' Dr . Ilias Bin Husain,17731,BN,8505
Kelantan,N.22 Jelawat,Jelawat,2,Abdul Azziz Bin Kadir (Cikgu Aziz),17732,PAS,9729
Kelantan,N.23 Melor,Melor,1,Ustaz Wan Ismail,5462,PAS,8390
Kelantan,N.23 Melor,Melor,2,Cikgu Azmi Ishak,16394,BN,6774
Kelantan,N.24 Kadok,Kadok,1,Hj Azami,17735,PAS,6972
Kelantan,N.24 Kadok,Kadok,2,Roslan Bin Ab Hamid (Abe Lan),17736,BN,5169
Kelantan,N.25 Kok Lanas,Kok Lanas,1,Md Alwi Bin Che Ahmad (Datuk Hj Alwi),17737,BN,8319
Kelantan,N.25 Kok Lanas,Kok Lanas,2,Ahmad Rusli Bin Ibrahim (Dato' Li),17738,PAS,7739
Kelantan,N.26 Bukit Panau,Bukit Panau,1,Abdul Fattah,17739,PAS,10129
Kelantan,N.26 Bukit Panau,Bukit Panau,2,Cikgu Nik Kemaruzaman,17740,BN,5946
Kelantan,N.27 Gual Ipoh,Gual Ipoh,1,Wan Yusoff Bin W Mustafa (Cikgu Wan),17741,PAS,6073
Kelantan,N.27 Gual Ipoh,Gual Ipoh,2,Datuk Hashim Safin,2634,BN,4410
Kelantan,N.28 Kemahang,Kemahang,1,Zainon Abdin Bin Ali (Zainon),17743,BN,3549
Kelantan,N.28 Kemahang,Kemahang,2,Md Anizam Bin Ab Rahman (Mej (B) Nizam),15171,PAS,5481
Kelantan,N.29 Selising,Selising,1,Saipul Bahrin Bin Mohamad (Ustaz Saiful),17745,PAS,6737
Kelantan,N.29 Selising,Selising,2,Cikgu Haji Hashim,17746,BN,5954
Kelantan,N.30 Limbongan,Limbongan,1,Ustaz Che Min,17747,BN,6989
Kelantan,N.30 Limbongan,Limbongan,2,Zainuddin Bin Ag Hamat (Cik Gu Din),17748,PAS,8622
