state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Melaka,N.01 Kuala Linggi,8813,6890,8,193
Melaka,N.02 Sungai Bahru,7783,6047,2,205
Melaka,N.03 Masjid Tanah,9609,7570,108,236
Melaka,N.04 Kelemak,10029,7610,42,258
Melaka,N.05 Pulau Sebang,8906,6160,10,239
Melaka,N.06 Kemuning,8387,6616,20,257
Melaka,N.07 Tebong,11644,8941,1,280
Melaka,N.08 Bukit Asahan,9046,6977,8,236
Melaka,N.09 Ayer Molek,19927,16035,61,634
Melaka,N.10 Krubong,20035,15586,0,547
Melaka,N.11 Tanjong Minyak,13522,10865,22,412
Melaka,N.12 Sungai Udang,24021,18659,0,1121
Melaka,N.13 Tranquerah,20249,15822,23,276
Melaka,N.14 Kubu,14393,10880,11,190
Melaka,N.15 Durian Daun,15474,11383,1,214
Melaka,N.16 Bandar Hilir,21492,16683,0,334
Melaka,N.17 Serkam,13631,10783,20,396
Melaka,N.18 Ayer Panas,11974,9103,29,337
Melaka,N.19 Rim,6778,5305,8,165
Melaka,N.20 Sungai Rambai,9346,7400,24,298
