state,dun,area_name,ballot_order,name,candidate_uid,party,party_uid,votes
Melaka,N.01 Kuala Linggi,Kuala Linggi,1,Haji Ismail Bin Othman,17779,BN,25,4812
Melaka,N.01 Kuala Linggi,Kuala Linggi,2,Hasmorni Binti Tamby,20744,PKR,11,3440
Melaka,N.01 Kuala Linggi,Kuala Linggi,3,Hj. Azmi Bin Hj. Sambul,20745,PAS,3,941
Melaka,N.02 Tanjung Bidara,Tanjung Bidara,1,Hj Md Rawi Bin Mahmud,19335,BN,25,4865
Melaka,N.02 Tanjung Bidara,Tanjung Bidara,2,Ustaz Imran,20747,PAS,3,1501
Melaka,N.02 Tanjung Bidara,Tanjung Bidara,3,Halim Bachik,20748,PKR,11,2001
Melaka,N.03 Ayer Limau,Ayer Limau,1,Amirudin Bin Yusof,20749,BN,25,4704
Melaka,N.03 Ayer Limau,Ayer Limau,2,Jamarudin Ahmad,20750,PAS,3,1187
Melaka,N.03 Ayer Limau,Ayer Limau,3,Datuk Seri Haji Ruslin Bin Haji Hasan,20751,PKR,11,3225
Melaka,N.04 Lendu,Lendu,1,Ir. Ridhuan Dion Bakar,20752,PKR,11,3389
Melaka,N.04 Lendu,Lendu,2,Cikgu Arshad,20753,PAS,3,1163
Melaka,N.04 Lendu,Lendu,3,Sulaiman Bin Md Ali,19339,BN,25,4016
Melaka,N.05 Taboh Naning,Taboh Naning,1,Asri Shaik Abdul Aziz,19340,PAS,3,1111
Melaka,N.05 Taboh Naning,Taboh Naning,2,Zairi Suboh,20756,PKR,11,2589
Melaka,N.05 Taboh Naning,Taboh Naning,3,Latipah Binti Omar,17788,BN,25,3329
Melaka,N.06 Rembia,Rembia,1,Muhammad Jailani Bin Khamis,20758,PKR,11,6773
Melaka,N.06 Rembia,Rembia,2,Norpipah Binti Abdol,17789,BN,25,4959
Melaka,N.06 Rembia,Rembia,3,Rashidi Razak,20760,PAS,3,1200
Melaka,N.07 Gadek,Gadek,1,Panirchelvam A/L Pichamuthu,20761,BN,25,4085
Melaka,N.07 Gadek,Gadek,2,Emransyah Bin Ismail,20762,PAS,3,1865
Melaka,N.07 Gadek,Gadek,3,G. Saminathan,20763,PKR,11,4392
Melaka,N.08 Machap Jaya,Machap Jaya,1,Koh Nai Kwong,3843,BN,25,4214
Melaka,N.08 Machap Jaya,Machap Jaya,2,Ginie Lim,17794,PKR,11,5550
Melaka,N.08 Machap Jaya,Machap Jaya,3,Ustaz Wan Zahidi,20766,PAS,3,775
Melaka,N.09 Durian Tunggal,Durian Tunggal,1,Hj. Mohsin Ibrahim,20767,PAS,3,1391
Melaka,N.09 Durian Tunggal,Durian Tunggal,2,Sofi Wahab,20768,PKR,11,5213
Melaka,N.09 Durian Tunggal,Durian Tunggal,3,Ab Wahab Bin Ab Latip,16450,BN,25,4450
Melaka,N.10 Asahan,Asahan,1,Abdul Ghafar Bin Atan,16453,BN,25,5942
Melaka,N.10 Asahan,Asahan,2,Zamzuri Arifin,20771,PKR,11,5667
Melaka,N.10 Asahan,Asahan,3,Hj. Azlan Bin Maddin,20772,PAS,3,1365
Melaka,N.11 Sungai Udang,Sungai Udang,1,Datuk Seri Ir. Idris Haron,20773,BN,25,10073
Melaka,N.11 Sungai Udang,Sungai Udang,2,Mohd Lokman Abdul Gani,20774,PKR,11,7844
Melaka,N.12 Pantai Kundor,Pantai Kundor,1,Datuk Nor Azman Hassan,20775,BN,25,5773
Melaka,N.12 Pantai Kundor,Pantai Kundor,2,Ust Hj Abdul Halim Maidin,20776,PAS,3,1936
Melaka,N.12 Pantai Kundor,Pantai Kundor,3,Juhari Osman,4742,PKR,11,5001
Melaka,N.13 Paya Rumput,Paya Rumput,1,Rafie Ahmad,20778,PAS,3,1552
Melaka,N.13 Paya Rumput,Paya Rumput,2,Datuk Wira Dr. Abu Bakar Bin Mohamad Diah,20779,BN,25,7843
Melaka,N.13 Paya Rumput,Paya Rumput,3,Mohd Rafiq Naizamohideen,20780,PKR,11,12102
Melaka,N.14 Kelebang,Kelebang,1,Mohd Shafiq Ismail,20781,PAS,3,2272
Melaka,N.14 Kelebang,Kelebang,2,Gue Teck,20782,PKR,11,7648
Melaka,N.14 Kelebang,Kelebang,3,Datuk Lim Ban Hong,4948,BN,25,6859
Melaka,N.15 Pengkalan Batu,Pengkalan Batu,1,Norhizam Bin Hassan Baktee,20784,PKR,11,9227
Melaka,N.15 Pengkalan Batu,Pengkalan Batu,2,Chua Lian Chye,19363,BN,25,6471
Melaka,N.15 Pengkalan Batu,Pengkalan Batu,3,Ramli Bin Dalip,20786,PAS,3,2230
Melaka,N.16 Ayer Keroh,Ayer Keroh,1,Sepri Bin Rahman,20787,PAS,3,2567
Melaka,N.16 Ayer Keroh,Ayer Keroh,2,Datuk Chua Kheng Hwa,20788,BN,25,5018
Melaka,N.16 Ayer Keroh,Ayer Keroh,3,Kerk Chee Yee,20789,PKR,11,14279
Melaka,N.17 Bukit Katil,Bukit Katil,1,Yunus Bin Hitam,20790,BN,25,8067
Melaka,N.17 Bukit Katil,Bukit Katil,2,Haji Adly Bin Zahari,20791,PKR,11,11226
Melaka,N.17 Bukit Katil,Bukit Katil,3,Muhamat Puhat Bin Bedol,20792,PAS,3,2237
Melaka,N.18 Ayer Molek,Ayer Molek,1,Jantan Bin Abdullah,20793,PAS,3,3082
Melaka,N.18 Ayer Molek,Ayer Molek,2,Farhan Ibrahim,20794,PKR,11,5146
Melaka,N.18 Ayer Molek,Ayer Molek,3,Rahmad Bin Mariman,20795,BN,25,6951
Melaka,N.18 Ayer Molek,Ayer Molek,4,Profesor Madya Dr. Kamarolzaman Bin Mohd Jidi,20796,BEBAS,1,79
Melaka,N.19 Kesidang,Kesidang,1,Goh Leong San,3140,BEBAS,1,349
Melaka,N.19 Kesidang,Kesidang,2,Ng Choon Koon,19382,BN,25,8268
Melaka,N.19 Kesidang,Kesidang,3,Seah Shoo Chin (Allex Seah),20799,PKR,11,22880
Melaka,N.20 Kota Laksamana,Kota Laksamana,1,Low Chee Leong,20800,PKR,11,20181
Melaka,N.20 Kota Laksamana,Kota Laksamana,2,Melvin Chua Kew Wei,20801,BN,25,4008
Melaka,N.20 Kota Laksamana,Kota Laksamana,3,Sim Tong Him,3489,BEBAS,1,517
Melaka,N.21 Duyong,Duyong,1,Lee Kiat Lee,17817,BN,25,4747
Melaka,N.21 Duyong,Duyong,2,Lim Jak Wong,15215,BEBAS,1,62
Melaka,N.21 Duyong,Duyong,3,Ustaz Kamarudin,20805,PAS,3,2938
Melaka,N.21 Duyong,Duyong,4,Damian Baba Yeo,3842,PKR,11,7642
Melaka,N.22 Bandar Hilir,Bandar Hilir,1,Chin Choong Seong,19372,BEBAS,1,141
Melaka,N.22 Bandar Hilir,Bandar Hilir,2,"Lee Chong Leng, Shaun",20808,BN,25,2725
Melaka,N.22 Bandar Hilir,Bandar Hilir,3,Tey Kok Kiew,17822,PKR,11,14038
Melaka,N.23 Telok Mas,Telok Mas,1,Datuk Abdul Razak Bin Abdul Rahman,20810,BN,25,6406
Melaka,N.23 Telok Mas,Telok Mas,2,Fendi Ahmad,20811,PKR,11,7694
Melaka,N.23 Telok Mas,Telok Mas,3,Ust Rosazli Md Yasin,20812,PAS,3,3164
Melaka,N.24 Bemban,Bemban,1,Dr. Wong Fort Pin,20813,PKR,11,6998
Melaka,N.24 Bemban,Bemban,2,Datuk Koh Chin Han,20814,BN,25,5653
Melaka,N.24 Bemban,Bemban,3,Suhaimi Harun,20815,PAS,3,2762
Melaka,N.25 Rim,Rim,1,Hjh. Kintan Binti Man,20816,PAS,3,1262
Melaka,N.25 Rim,Rim,2,Datuk Wira Hj. Ghazale Bin Muhamad,20817,BN,25,5301
Melaka,N.25 Rim,Rim,3,Shamsul Iskandar Haji Mohd Akin,3142,PKR,11,4765
Melaka,N.26 Serkam,Serkam,1,Hj. Ahmad Bilal,20819,PAS,3,3423
Melaka,N.26 Serkam,Serkam,2,Datuk Zaidi Bin Attan,20820,BN,25,6401
Melaka,N.26 Serkam,Serkam,3,Ustaz Nor Khairi,20821,PKR,11,3664
Melaka,N.27 Merlimau,Merlimau,1,Datuk Roslan Bin Ahmad,20822,BN,25,5290
Melaka,N.27 Merlimau,Merlimau,2,Haji Yuhaizad Abdullah,19389,PKR,11,5160
