state,dun,area_name,ballot_order,name,candidate_uid,party,votes
Melaka,N.01 Kuala Linggi,Kuala Linggi,1,Rosli Bin Abdullah,21050,BN,3554
Melaka,N.01 Kuala Linggi,Kuala Linggi,2,Ustaz Julas,22404,PH,1718
Melaka,N.01 Kuala Linggi,Kuala Linggi,3,Dato Kamisan Bin Palil,22405,BEBAS,51
Melaka,N.01 Kuala Linggi,Kuala Linggi,4,Aziah Binti Mohd Sa'Ad,22406,PN,1645
Melaka,N.02 Tanjung Bidara,Tanjung Bidara,1,Mas Ermieyati,3840,PN,3195
Melaka,N.02 Tanjung Bidara,Tanjung Bidara,2,Zainal Bin Hassan,10700,PH,489
Melaka,N.02 Tanjung Bidara,Tanjung Bidara,3,Datuk Seri Ab Rauf,22409,BN,3559
Melaka,N.03 Ayer Limau,Ayer Limau,1,Datuk Hj Hameed Basheer,22410,BN,3838
Melaka,N.03 Ayer Limau,Ayer Limau,2,Kak Maz,22411,PH,798
Melaka,N.03 Ayer Limau,Ayer Limau,3,Dr. Nordina,22412,PN,2753
Melaka,N.04 Lendu,Lendu,1,Mejar Dolah,22413,PN,1382
Melaka,N.04 Lendu,Lendu,2,Asri Ibrahim,22414,PH,1155
Melaka,N.04 Lendu,Lendu,3,Sulaiman Md Ali,22415,BN,4486
Melaka,N.05 Taboh Naning,Taboh Naning,1,Cikgu Hashim,20606,PN,1345
Melaka,N.05 Taboh Naning,Taboh Naning,2,Zulkiflee Bin Mohd Zin,22417,BN,3170
Melaka,N.05 Taboh Naning,Taboh Naning,3,Zairi Bin Suboh,22418,PH,1024
Melaka,N.06 Rembia,Rembia,1,Murali A/L Krishnan,22419,BEBAS,64
Melaka,N.06 Rembia,Rembia,2,Zamri Bin Pakiri,22420,PH,3364
Melaka,N.06 Rembia,Rembia,3,Sabarudin Bin Kudus,22421,BEBAS,67
Melaka,N.06 Rembia,Rembia,4,Muhammad Jailani Bin Khamis,20758,BN,4224
Melaka,N.06 Rembia,Rembia,5,Zamzuri,22423,PN,2433
Melaka,N.07 Gadek,Gadek,1,Vp Shanmugam (Vp Shan),22424,BN,3022
Melaka,N.07 Gadek,Gadek,2,Azafen,22425,BEBAS,60
Melaka,N.07 Gadek,Gadek,3,Laila Norinda Binti Maon,22426,PUTRA,68
Melaka,N.07 Gadek,Gadek,4,Mohan,22427,BEBAS,23
Melaka,N.07 Gadek,Gadek,5,Amir Muharam,22428,PN,2041
Melaka,N.07 Gadek,Gadek,6,G. Saminathan,20763,PH,2463
Melaka,N.08 Machap Jaya,Machap Jaya,1,Ngwe Hee Sem,22430,BN,3732
Melaka,N.08 Machap Jaya,Machap Jaya,2,Law Bing Haw,22431,PH,2794
Melaka,N.08 Machap Jaya,Machap Jaya,3,Abdul Aziz,3325,IMAN,167
Melaka,N.08 Machap Jaya,Machap Jaya,4,Azlan Bin Daud,22433,BEBAS,101
Melaka,N.08 Machap Jaya,Machap Jaya,5,Tai Siong Jiul,22434,PN,1202
Melaka,N.09 Durian Tunggal,Durian Tunggal,1,Mohd Erfan Mahrilar,22435,BEBAS,58
Melaka,N.09 Durian Tunggal,Durian Tunggal,2,Zahari Bin Abd Kalil,22436,BN,3663
Melaka,N.09 Durian Tunggal,Durian Tunggal,3,Sofi Wahab,20768,PH,3104
Melaka,N.09 Durian Tunggal,Durian Tunggal,4,Ja'Afar Bin Othman,22438,PN,2208
Melaka,N.10 Asahan,Asahan,1,Mohd Noor Bin Salleh,22439,BEBAS,44
Melaka,N.10 Asahan,Asahan,2,Fairul Nizam (Along),22440,BN,5659
Melaka,N.10 Asahan,Asahan,3,Azmar B Ab Hamid,22441,BEBAS,99
Melaka,N.10 Asahan,Asahan,4,Dhanesh Basil,22442,PN,1364
Melaka,N.10 Asahan,Asahan,5,Datuk Seri Ir. Idris Haron,20773,PH,2666
Melaka,N.10 Asahan,Asahan,6,Mohd Akhir Ayob,22444,BEBAS,136
Melaka,N.11 Sungai Udang,Sungai Udang,1,Mohamad Ali Bin Mohamad,22445,BN,6259
Melaka,N.11 Sungai Udang,Sungai Udang,2,Dr. Mohd Aleef Bin Yusof,22446,PN,6789
Melaka,N.11 Sungai Udang,Sungai Udang,3,Hasmorni Binti Tamby,20744,PH,2035
Melaka,N.11 Sungai Udang,Sungai Udang,4,Mohd Zahar Bin Hashim,22448,BEBAS,471
Melaka,N.12 Pantai Kundor,Pantai Kundor,1,Ts. Mohamad Ridzwan Bin Mustafa,22449,PN,3133
Melaka,N.12 Pantai Kundor,Pantai Kundor,2,Datuk Nor Azman Bin Hassan,20775,PH,2799
Melaka,N.12 Pantai Kundor,Pantai Kundor,3,Tuminah Kadi,22451,BN,3960
Melaka,N.13 Paya Rumput,Paya Rumput,1,Datuk Rais Bin Yasin,22452,BN,6830
Melaka,N.13 Paya Rumput,Paya Rumput,2,Shamsul Iskandar Mohd Akin,3142,PH,6201
Melaka,N.13 Paya Rumput,Paya Rumput,3,Muhammad Faris Izwan Bin Mazlan,22454,PN,3972
Melaka,N.13 Paya Rumput,Paya Rumput,4,Mohamad Hashidi Bin Mohd Zin,22455,PUTRA,81
Melaka,N.13 Paya Rumput,Paya Rumput,5,Mejar Haji Mohd Jaini Bin Haji Dimon (Bersara),22456,BEBAS,127
Melaka,N.14 Kelebang,Kelebang,1,Bakri Bin Jamaluddin,22457,PN,3884
Melaka,N.14 Kelebang,Kelebang,2,Datuk Lim Ban Hong,4948,BN,5028
Melaka,N.14 Kelebang,Kelebang,3,Gue Teck,20782,PH,4152
Melaka,N.15 Pengkalan Batu,Pengkalan Batu,1,Muhamad Danish Zainudin,22460,PH,4708
Melaka,N.15 Pengkalan Batu,Pengkalan Batu,2,Mohd Azrudin Bin Md Idris,4952,PN,2681
Melaka,N.15 Pengkalan Batu,Pengkalan Batu,3,Norhizam Bin Hassan Baktee,20784,BEBAS,1218
Melaka,N.15 Pengkalan Batu,Pengkalan Batu,4,Mohd Aluwi Bin Sari,22463,PUTRA,82
Melaka,N.15 Pengkalan Batu,Pengkalan Batu,5,Datuk Hjh Kalsom Noordin,22464,BN,4839
Melaka,N.16 Ayer Keroh,Ayer Keroh,1,Michael Gan,22465,PN,2479
Melaka,N.16 Ayer Keroh,Ayer Keroh,2,Kerk Chee Yee,20789,PH,9459
Melaka,N.16 Ayer Keroh,Ayer Keroh,3,Yong Fun Juan,19366,BN,3835
Melaka,N.17 Bukit Katil,Bukit Katil,1,Datuk Wira Haji Hasnoor Bin Sdg Husin,22468,BN,5748
Melaka,N.17 Bukit Katil,Bukit Katil,2,Abdul Hamid,22469,BEBAS,109
Melaka,N.17 Bukit Katil,Bukit Katil,3,Adly Zahari,4941,PH,6805
Melaka,N.17 Bukit Katil,Bukit Katil,4,Muhammad Al Afiz Bin Yahya,22471,PN,3715
Melaka,N.18 Ayer Molek,Ayer Molek,1,Datuk Rahmad Bin Mariman,22472,BN,6348
Melaka,N.18 Ayer Molek,Ayer Molek,2,Ahmad Muaz,22473,BEBAS,90
Melaka,N.18 Ayer Molek,Ayer Molek,3,Mohd Fadly Samin,22474,PN,3546
Melaka,N.18 Ayer Molek,Ayer Molek,4,Cikgu Rafee,22475,PH,2446
Melaka,N.19 Kesidang,Kesidang,1,Seah Shoo Chin (Allex Seah),20799,PH,14769
Melaka,N.19 Kesidang,Kesidang,2,Patrick Ng Chin Kae,22477,PN,3124
Melaka,N.19 Kesidang,Kesidang,3,Leong Hui Ying,22478,BN,4532
Melaka,N.20 Kota Laksamana,Kota Laksamana,1,Fong Khai Ling,22479,PN,1190
Melaka,N.20 Kota Laksamana,Kota Laksamana,2,Benjamin Low Chin Hong,22480,BN,2014
Melaka,N.20 Kota Laksamana,Kota Laksamana,3,Low Chee Leong,20800,PH,13508
Melaka,N.21 Duyong,Duyong,1,Gan Tian Soh,22482,BEBAS,60
Melaka,N.21 Duyong,Duyong,2,Mohd Faizal Bin Amzah,22483,PUTRA,52
Melaka,N.21 Duyong,Duyong,3,Mohd Noor Helmy,22484,BN,4684
Melaka,N.21 Duyong,Duyong,4,Damian Baba Yeo,3842,PH,4484
Melaka,N.21 Duyong,Duyong,5,Datuk Kamarudin Bin Hj. Sidek,22486,PN,2874
Melaka,N.21 Duyong,Duyong,6,Muhamad Hafiz Ishak,22487,BEBAS,57
