state,dun,ballot_order,name,candidate_uid,party,party_uid,votes
Negeri Sembilan,N.01 Chennah,1,Lim Yong @ Lim Chen,14137,BN,25,3818
Negeri Sembilan,N.01 Chennah,2,Siow Chee Chin,14138,DAP,18,3080
Negeri Sembilan,N.02 Klawang,1,Shanmsul Bahari @ Ramli Bin Mat,11824,BN,25,3757
Negeri Sembilan,N.02 Klawang,2,Abdul Hamid Bin Tinggal,10737,BEBAS,1,72
Negeri Sembilan,N.02 Klawang,3,Ibrahim Bin Che' Mat,13008,S46,56,2424
Negeri Sembilan,N.03 Pertang,1,Abd Kadir Bin Kassim,10742,S46,56,3011
Negeri Sembilan,N.03 Pertang,2,Razak Bin Mansor,14143,BN,25,4371
Negeri Sembilan,N.04 Sungai Lui,1,Anuar Bin Rasidin @ Rashidin,14144,BN,25,4655
Negeri Sembilan,N.04 Sungai Lui,2,Abu Zarin Bin Alias,14145,S46,56,1316
Negeri Sembilan,N.05 Serting,1,Lilah Bin Yasin,3470,BN,25,7133
Negeri Sembilan,N.05 Serting,2,Zakaria Bin Abd. Rahman,11089,S46,56,1353
Negeri Sembilan,N.06 Bahau,1,See Ah Kow,14148,BN,25,5644
Negeri Sembilan,N.06 Bahau,2,Abdul Rashid Bin Abas,14149,BEBAS,1,508
Negeri Sembilan,N.06 Bahau,3,Loo Ah Man @ Loh Ming Chai,1542,BEBAS,1,66
Negeri Sembilan,N.06 Bahau,4,Lim Fui Ming,13047,DAP,18,3855
Negeri Sembilan,N.07 Jeram Padang,1,Ramakrishnan A/L P. Parianan,14152,DAP,18,578
Negeri Sembilan,N.07 Jeram Padang,2,Mohammed Zain Bin Yaacob,14153,S46,56,762
Negeri Sembilan,N.07 Jeram Padang,3,Sundram Nagendaran A/L Muthaya,14154,BN,25,5552
Negeri Sembilan,N.08 Palong,1,Ramli Bin Md Nor,14155,S46,56,998
Negeri Sembilan,N.08 Palong,2,Ghazalli Bin Khamis,14156,PAS,3,337
Negeri Sembilan,N.08 Palong,3,Kamaruddin Bin Mohd Din,14157,BN,25,7398
Negeri Sembilan,N.09 Gemas,1,Mohd Yassin Bin Bakar,11838,BN,25,5661
Negeri Sembilan,N.09 Gemas,2,Mohd Noah Bin Talib,14159,PAS,3,2019
Negeri Sembilan,N.10 Gemencheh,1,Zolkapli Bin Kassim,14160,BEBAS,1,863
Negeri Sembilan,N.10 Gemencheh,2,Waad Bin Haji Mansor,10788,BN,25,6477
Negeri Sembilan,N.10 Gemencheh,3,Haji Baharuddin Arif Bin Haji Siri,14162,S46,56,1277
Negeri Sembilan,N.11 Repah,1,Aminuddin Bin Abdullah,14163,PAS,3,309
Negeri Sembilan,N.11 Repah,2,Lai Kui,14164,DAP,18,1978
