state,dun,area_name,ballot_order,name,candidate_uid,party,party_uid,votes
Negeri Sembilan,N.01 Chennah,Chennah,1,Siow Foo Wen,19487,BN,25,4030
Negeri Sembilan,N.01 Chennah,Chennah,2,Loke Siew Fook,3477,DAP,18,5128
Negeri Sembilan,N.02 Pertang,Pertang,1,Datuk Jalaluddin Bin Alias,19489,BN,25,5090
Negeri Sembilan,N.02 Pertang,Pertang,2,Muhamad Syamwill Mertadza,19490,PKR,11,2927
Negeri Sembilan,N.03 Sungai Lui,Sungai Lui,1,Nor Anif Bin Selamat,19491,PAS,3,3039
Negeri Sembilan,N.03 Sungai Lui,Sungai Lui,2,Mohd. Razi Bin Mohd. Ali,19492,BN,25,9029
Negeri Sembilan,N.04 Klawang,Klawang,1,Rosli Bin Yaakop,16631,PAS,3,3822
Negeri Sembilan,N.04 Klawang,Klawang,2,Dato' Yunus Bin Rahmat,19494,BN,25,4104
Negeri Sembilan,N.05 Serting,Serting,1,Abd Rahman Bin Ramli,19495,PAS,3,5365
Negeri Sembilan,N.05 Serting,Serting,2,Dato' Shamshulkahar Mohd Deli,19496,BN,25,10807
Negeri Sembilan,N.06 Palong,Palong,1,Dato' Lilah Bin Yasin,19497,BN,25,11090
Negeri Sembilan,N.06 Palong,Palong,2,Rebin Birham,19498,PKR,11,2634
Negeri Sembilan,N.07 Jeram Padang,Jeram Padang,1,Mazavan,19499,BEBAS,1,45
Negeri Sembilan,N.07 Jeram Padang,Jeram Padang,2,Manickam A/L Letchuman,19500,BN,25,5690
Negeri Sembilan,N.07 Jeram Padang,Jeram Padang,3,T. Kumar,19501,PKR,11,2999
Negeri Sembilan,N.07 Jeram Padang,Jeram Padang,4,Zailani Bin Zakaria,19502,BEBAS,1,201
Negeri Sembilan,N.08 Bahau,Bahau,1,Chew Seh Yong,19503,DAP,18,9998
Negeri Sembilan,N.08 Bahau,Bahau,2,Dr.Yee Mee Faa,19504,BN,25,4862
Negeri Sembilan,N.09 Lenggeng,Lenggeng,1,Zulkefly Mohamad Bin Omar,16599,PAS,3,5112
Negeri Sembilan,N.09 Lenggeng,Lenggeng,2,Zulkifli Bin Abdullah,19506,BEBAS,1,812
Negeri Sembilan,N.09 Lenggeng,Lenggeng,3,Dato Ishak Bin Ismail,19507,BN,25,7170
Negeri Sembilan,N.10 Nilai,Nilai,1,Rajahshekher,19508,BEBAS,1,47
Negeri Sembilan,N.10 Nilai,Nilai,2,Kapt.(B) Ahmad Kamarulzaman Bin Abu,19509,BEBAS,1,490
Negeri Sembilan,N.10 Nilai,Nilai,3,Gan Chee Biow,19510,BN,25,6331
Negeri Sembilan,N.10 Nilai,Nilai,4,J. Arul Kumar,19511,DAP,18,10378
Negeri Sembilan,N.11 Lobak,Lobak,1,Titan Ho,19512,BN,25,3610
Negeri Sembilan,N.11 Lobak,Lobak,2,Siow Kim Leong,19513,DAP,18,11880
Negeri Sembilan,N.12 Temiang,Temiang,1,Jason Lee Kee Chong,19514,BN,25,3801
Negeri Sembilan,N.12 Temiang,Temiang,2,Ng Chin Tsai,17944,DAP,18,5478
Negeri Sembilan,N.13 Sikamat,Sikamat,1,Hj Aminuddin Hj Harun,19516,PKR,11,8584
Negeri Sembilan,N.13 Sikamat,Sikamat,2,Wan Salwati Binti Abdullah,19517,BN,25,8074
Negeri Sembilan,N.14 Ampangan,Ampangan,1,Kamarul Baharin Abbas,3480,PKR,11,7101
Negeri Sembilan,N.14 Ampangan,Ampangan,2,Hj Abu Ubaidah Bin Haji Redza,19519,BN,25,7190
Negeri Sembilan,N.15 Juasseh,Juasseh,1,Hj Rosli B. Hj Omar,19520,PKR,11,3101
Negeri Sembilan,N.15 Juasseh,Juasseh,2,Haji Mohammad Razi Bin Kail,19521,BN,25,4789
Negeri Sembilan,N.16 Seri Menanti,Seri Menanti,1,Tengku Zamrah Binti Tengku Sulaiman,19522,PKR,11,2142
Negeri Sembilan,N.16 Seri Menanti,Seri Menanti,2,Dato' Abd Samad Bin Ibrahim,19523,BN,25,4538
Negeri Sembilan,N.16 Seri Menanti,Seri Menanti,3,Md Ali Bin Mustafa,19524,BEBAS,1,103
Negeri Sembilan,N.17 Senaling,Senaling,1,Dato' Haji Ismail Bin Lasim,19525,BN,25,4450
Negeri Sembilan,N.17 Senaling,Senaling,2,Zaharudin Othman,19526,PAS,3,2299
Negeri Sembilan,N.18 Pilah,Pilah,1,Dato' Norhayati Binti Omar,19527,BN,25,5039
Negeri Sembilan,N.18 Pilah,Pilah,2,Mohamad Nazaruddin Bin Sabtu,19528,PKR,11,4926
Negeri Sembilan,N.19 Johol,Johol,1,Ustaz Nor Azman Bin Mohamad,19529,PAS,3,3318
Negeri Sembilan,N.19 Johol,Johol,2,Abu Samah Bin Mahat,19530,BN,25,4662
Negeri Sembilan,N.20 Labu,Labu,1,Mohd Khairil Anuar (Ustaz),19531,PAS,3,5571
Negeri Sembilan,N.20 Labu,Labu,2,Dato' Hasim Bin Rusdi,19532,BN,25,7082
Negeri Sembilan,N.21 Bukit Kepayang,Bukit Kepayang,1,Wong Oi Foon,19533,BN,25,4524
Negeri Sembilan,N.21 Bukit Kepayang,Bukit Kepayang,2,Cha Kee Chin,4238,DAP,18,13981
Negeri Sembilan,N.21 Bukit Kepayang,Bukit Kepayang,3,Vijaiyan A/L Sivanathan,19535,BEBAS,1,130
Negeri Sembilan,N.22 Rahang,Rahang,1,Mary Josephine Prittam Singh,19536,DAP,18,7166
Negeri Sembilan,N.22 Rahang,Rahang,2,Julia Wong,19537,BN,25,5202
Negeri Sembilan,N.23 Mambau,Mambau,1,Dato' Yu Chok Tow,19538,BN,25,4141
Negeri Sembilan,N.23 Mambau,Mambau,2,Yap Yew Weng,16604,DAP,18,13518
Negeri Sembilan,N.24 Senawang,Senawang,1,David Choong,4923,BN,25,4205
Negeri Sembilan,N.24 Senawang,Senawang,2,Karthigesan A/L Shanmugan,19541,BEBAS,1,120
Negeri Sembilan,N.24 Senawang,Senawang,3,P.Guna,19542,DAP,18,9010
Negeri Sembilan,N.25 Paroi,Paroi,1,Mohd Ghazali Bin Abd Wahid,19543,BN,25,14896
Negeri Sembilan,N.25 Paroi,Paroi,2,Mohamad Taufek Bin Abd. Ghani,17970,PAS,3,12712
Negeri Sembilan,N.26 Chembong,Chembong,1,Haji Kamarol Ridzuan,19545,PAS,3,3673
Negeri Sembilan,N.26 Chembong,Chembong,2,Dato' Zaifulbahri Bin Idris,19546,BN,25,10153
Negeri Sembilan,N.27 Rantau,Rantau,1,Dato' Seri Utama Haji Mohamad Bin Haji Hasan,19547,BN,25,10126
Negeri Sembilan,N.27 Rantau,Rantau,2,Aisah Lamsah,17974,PKR,11,5513
Negeri Sembilan,N.28 Kota,Kota,1,Haji Ghazali Bin Mohd Shom,19549,PAS,3,3129
Negeri Sembilan,N.28 Kota,Kota,2,Dato' Dr Hj Awaludin Bin Said,19550,BN,25,8131
Negeri Sembilan,N.29 Chuah,Chuah,1,Dato' Seri Dr. Lim Chin Fui,19551,BN,25,3423
Negeri Sembilan,N.29 Chuah,Chuah,2,Chai Tong Chai,17978,PKR,11,5957
Negeri Sembilan,N.30 Lukut,Lukut,1,Ean Yong Tin Sin,9613,DAP,18,7692
Negeri Sembilan,N.30 Lukut,Lukut,2,Yeong Seng Wong,19554,BN,25,3738
Negeri Sembilan,N.31 Bagan Pinang,Bagan Pinang,1,Tun Hairudin Bin Abu Bakar@Don,19555,BN,25,10206
Negeri Sembilan,N.31 Bagan Pinang,Bagan Pinang,2,Ramli Bin Ismail,3342,PAS,3,4139
Negeri Sembilan,N.32 Linggi,Linggi,1,Hj. Abdul Rahman Bin Mohd Redza,19557,BN,25,7859
Negeri Sembilan,N.32 Linggi,Linggi,2,Rosman Jonet,19558,PKR,11,4599
Negeri Sembilan,N.33 Port Dickson,Port Dickson,1,Daniel A/L Simon,19559,BEBAS,1,70
Negeri Sembilan,N.33 Port Dickson,Port Dickson,2,Dr Tanaletchumy Palanisamy,19560,BN,25,4287
Negeri Sembilan,N.33 Port Dickson,Port Dickson,3,M.Ravi,19561,PKR,11,6709
Negeri Sembilan,N.34 Gemas,Gemas,1,Abd Razak Bin Ab Said,19562,BN,25,15040
Negeri Sembilan,N.34 Gemas,Gemas,2,Karip Bin Mohd Salleh,19563,PKR,11,4129
Negeri Sembilan,N.35 Gemencheh,Gemencheh,1,Mohd Isam Bin Mohd Isa,4934,BN,25,7632
Negeri Sembilan,N.35 Gemencheh,Gemencheh,2,Cikgu Mohd Nor Bin Yassin,19565,PAS,3,4907
Negeri Sembilan,N.36 Repah,Repah,1,Veerapan A/L Superamaniam,17993,DAP,18,8293
Negeri Sembilan,N.36 Repah,Repah,2,Yap Seong Fook,17994,BN,25,6349
Negeri Sembilan,N.36 Repah,Repah,3,Tuan Haji Fadzil Bin A Bakar,19568,BEBAS,1,1390
