state,dun,area_name,ballot_order,name,candidate_uid,party,votes
Negeri Sembilan,N.01 Chennah,Chennah,1,Rosmadi Bin Arif,23417,PN,3688
Negeri Sembilan,N.01 Chennah,Chennah,2,Loke Siew Fook,3477,PH,5888
Negeri Sembilan,N.02 Pertang,Pertang,1,Jalaluddin Bin Alias,4227,BN,5634
Negeri Sembilan,N.02 Pertang,Pertang,2,Cikgu Amir,23420,PN,2844
Negeri Sembilan,N.03 Sungai Lui,Sungai Lui,1,Mohd. Razi Bin Mohd. Ali,19492,BN,6939
Negeri Sembilan,N.03 Sungai Lui,Sungai Lui,2,Nordin Hasim,23422,PN,6404
Negeri Sembilan,N.04 Klawang,Klawang,1,Angah Saiful,23423,BEBAS,364
Negeri Sembilan,N.04 Klawang,Klawang,2,Danni Rais,23424,PN,4021
Negeri Sembilan,N.04 Klawang,Klawang,3,Bakri Sawir,20967,PH,4598
Negeri Sembilan,N.05 Serting,Serting,1,Ustaz Fairuz,23426,PN,10312
Negeri Sembilan,N.05 Serting,Serting,2,Muhamad Zamri Omar,23427,BN,9469
Negeri Sembilan,N.06 Palong,Palong,1,Noor Azuan,20615,PN,7376
Negeri Sembilan,N.06 Palong,Palong,2,Mustapha Bin Nagoor,20974,BN,7940
Negeri Sembilan,N.07 Jeram Padang,Jeram Padang,1,Mohd Zaidy Abdul Kadir,23430,BN,5462
Negeri Sembilan,N.07 Jeram Padang,Jeram Padang,2,Surash A/L Sreenivasan,20979,PN,4769
Negeri Sembilan,N.08 Bahau,Bahau,1,P. M. Kumar,5292,PN,3531
Negeri Sembilan,N.08 Bahau,Bahau,2,Teo Kok Seong,3835,PH,11939
Negeri Sembilan,N.09 Lenggeng,Lenggeng,1,Zul Azki Mat Sulop,23434,BEBAS,404
Negeri Sembilan,N.09 Lenggeng,Lenggeng,2,Haji Fadli Che Me,4919,PN,9355
Negeri Sembilan,N.09 Lenggeng,Lenggeng,3,Hj Asna,23436,BN,10040
Negeri Sembilan,N.10 Nilai,Nilai,1,Gan Chee Biow,19510,PN,8244
Negeri Sembilan,N.10 Nilai,Nilai,2,Omar Bin Mohd Isa,23438,BEBAS,1430
Negeri Sembilan,N.10 Nilai,Nilai,3,Yessu,23439,BEBAS,57
Negeri Sembilan,N.10 Nilai,Nilai,4,J.Arul Kumar,23440,PH,19133
Negeri Sembilan,N.11 Lobak,Lobak,1,Ng Soon Lean,23441,PN,853
Negeri Sembilan,N.11 Lobak,Lobak,2,Chew Seh Yong,19503,PH,14357
Negeri Sembilan,N.12 Temiang,Temiang,1,Ng Chin Tsai,17944,PH,5710
Negeri Sembilan,N.12 Temiang,Temiang,2,Qusyairy Ahmad,23444,MUDA,640
Negeri Sembilan,N.12 Temiang,Temiang,3,Chua Eng Pu,23445,PN,2642
Negeri Sembilan,N.13 Sikamat,Sikamat,1,Raihan Hilal,23446,PN,10068
Negeri Sembilan,N.13 Sikamat,Sikamat,2,Aminuddin Harun,4933,PH,12730
Negeri Sembilan,N.13 Sikamat,Sikamat,3,Bujang Bin Abu,3832,BEBAS,83
Negeri Sembilan,N.13 Sikamat,Sikamat,4,Mohammed Hafiz (Tok Merah),4582,BEBAS,339
Negeri Sembilan,N.14 Ampangan,Ampangan,1,Tengku Zamrah Binti Tengku Sulaiman,19522,PH,6054
Negeri Sembilan,N.14 Ampangan,Ampangan,2,Muhammad Ghazali Bin Zainal Abidin,1438,PN,5725
Negeri Sembilan,N.14 Ampangan,Ampangan,3,Dato' Dr Mohamad Rafie Bin Ab Malek,3792,BEBAS,3079
Negeri Sembilan,N.15 Juasseh,Juasseh,1,Eddin Syazlee Bin Shith,4234,PN,4471
Negeri Sembilan,N.15 Juasseh,Juasseh,2,Puan Sri Bibi Sharliza,23454,BN,4549
Negeri Sembilan,N.16 Seri Menanti,Seri Menanti,1,Ustaz Sufian Maradzi,23455,BN,3711
Negeri Sembilan,N.16 Seri Menanti,Seri Menanti,2,Jamali Bin Salam,21007,PN,3341
Negeri Sembilan,N.17 Senaling,Senaling,1,Ismail Lasim,6428,BN,3724
Negeri Sembilan,N.17 Senaling,Senaling,2,Amrina Binti Mohd Khalid,23458,PN,3062
Negeri Sembilan,N.18 Pilah,Pilah,1,Cikgu Rafiei,4233,PN,5143
Negeri Sembilan,N.18 Pilah,Pilah,2,Noorzunita Begum Mohd Ibrahim,4031,PH,6222
Negeri Sembilan,N.19 Johol,Johol,1,Hj Saiful Yazan Sulaiman,21014,BN,5228
Negeri Sembilan,N.19 Johol,Johol,2,Hj Kamarudin Tahir,21016,PN,3111
Negeri Sembilan,N.20 Labu,Labu,1,Anip Abu Baker,23463,PN,11661
Negeri Sembilan,N.20 Labu,Labu,2,Hj Ismail Bin Ahmad,14419,PH,10021
Negeri Sembilan,N.21 Bukit Kepayang,Bukit Kepayang,1,Subramaniam A/L Purushothama,985,PN,4942
Negeri Sembilan,N.21 Bukit Kepayang,Bukit Kepayang,2,Ahmad Zamali Mohamad,3792,BEBAS,921
Negeri Sembilan,N.21 Bukit Kepayang,Bukit Kepayang,3,Nicole Tan Lee Koon,21022,PH,24626
Negeri Sembilan,N.22 Rahang,Rahang,1,Siau Meow Kong,23468,PH,9868
Negeri Sembilan,N.22 Rahang,Rahang,2,Lee Boon Shian,6775,PN,3436
Negeri Sembilan,N.23 Mambau,Mambau,1,Yap Yew Weng,16604,PH,17039
Negeri Sembilan,N.23 Mambau,Mambau,2,Kumaravel A/L Ramiah,23471,BEBAS,163
Negeri Sembilan,N.23 Mambau,Mambau,3,Sathes Kumar Nilameham,23472,PN,2099
Negeri Sembilan,N.24 Seremban Jaya,Seremban Jaya,1,P.Guna,19542,PH,17080
Negeri Sembilan,N.24 Seremban Jaya,Seremban Jaya,2,Gary Lee,23474,PN,4377
Negeri Sembilan,N.25 Paroi,Paroi,1,Syakir Fitri,23475,BEBAS,944
Negeri Sembilan,N.25 Paroi,Paroi,2,Norwani Ahmat,4915,PH,18301
Negeri Sembilan,N.25 Paroi,Paroi,3,Hj Kamarol Ridzuan,19545,PN,23840
Negeri Sembilan,N.26 Chembong,Chembong,1,Bakly Bin Baba,23478,PN,6926
Negeri Sembilan,N.26 Chembong,Chembong,2,Dato' Haji Zaifulbahri Bin Haji Idris,17972,BN,11261
Negeri Sembilan,N.27 Rantau,Rantau,1,Rozmal Bin Malakan,23480,PN,6677
Negeri Sembilan,N.27 Rantau,Rantau,2,Tok Mat,4925,BN,16957
Negeri Sembilan,N.28 Kota,Kota,1,Suhaimi Bin Aini,23482,BN,5869
Negeri Sembilan,N.28 Kota,Kota,2,Shukri Bin Shukor,23483,PN,5734
Negeri Sembilan,N.29 Chuah,Chuah,1,Tang Jay Son,23484,PN,1874
Negeri Sembilan,N.29 Chuah,Chuah,2,Yew Boon Lye,23485,PH,8172
Negeri Sembilan,N.30 Lukut,Lukut,1,S. Ragu,23486,PN,3561
Negeri Sembilan,N.30 Lukut,Lukut,2,Choo Ken Hwa,21045,PH,13696
Negeri Sembilan,N.31 Bagan Pinang,Bagan Pinang,1,Ustaz Fatah,23488,PN,10921
Negeri Sembilan,N.31 Bagan Pinang,Bagan Pinang,2,Najib Tan Sri Isa,23489,BN,7495
Negeri Sembilan,N.32 Linggi,Linggi,1,Datuk Mohd Faizal Ramli,16642,BN,7832
Negeri Sembilan,N.32 Linggi,Linggi,2,Zamri Bin Md Said,2823,PN,6371
