state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Pahang,N.01 Tanah Rata,14211,8813,0,330
Pahang,N.02 Jelai,8850,6388,0,276
Pahang,N.03 Padang Tengku,9890,7876,19,112
Pahang,N.04 Cheka,10600,7460,0,197
Pahang,N.05 Benta,7593,5317,0,109
Pahang,N.06 Batu Talam,10866,8322,17,238
Pahang,N.07 Tras,19314,13503,38,273
Pahang,N.08 Dong,14363,10709,19,287
Pahang,N.09 Tahan,10860,8478,14,170
Pahang,N.10 Damak,18373,13548,38,623
Pahang,N.11 Pulau Tawar,16826,13542,27,169
Pahang,N.12 Beserah,25331,20256,177,395
Pahang,N.13 Semambu,22124,17174,352,337
Pahang,N.14 Teruntum,22733,16149,189,322
Pahang,N.15 Tanjung Lumpur,15351,11934,35,147
Pahang,N.16 Inderapura,7851,6245,58,86
Pahang,N.17 Sungai Lembing,11790,6642,4,145
Pahang,N.18 Lepar,11110,8602,20,136
Pahang,N.19 Panching,14540,11487,31,149
Pahang,N.20 Pulau Manis,13329,10794,812,167
Pahang,N.21 Peramu Jaya,18889,15204,41,266
Pahang,N.22 Bebar,9104,7011,19,231
Pahang,N.23 Chini,11365,9539,26,190
Pahang,N.24 Luit,9304,6953,36,153
Pahang,N.25 Kuala Sentul,10533,8137,37,174
Pahang,N.26 Chenor,12023,9816,58,179
Pahang,N.27 Jenderak,7749,5861,14,145
Pahang,N.28 Kerdau,8027,6399,0,92
Pahang,N.29 Jengka,15628,12943,22,143
Pahang,N.30 Mentakab,15103,11320,33,611
Pahang,N.31 Lanchang,16667,12776,759,443
Pahang,N.32 Kuala Semantan,18214,13883,228,272
Pahang,N.33 Bilut,15211,11154,177,253
Pahang,N.34 Ketari,17925,13256,23,257
Pahang,N.35 Sabai,9516,6698,19,240
Pahang,N.36 Pelangai,10013,7580,21,188
Pahang,N.37 Guai,14049,11204,15,180
Pahang,N.38 Triang,15380,11392,10,297
Pahang,N.39 Kemayan,11202,8480,5,222
Pahang,N.40 Bukit Ibam,14034,11009,0,221
Pahang,N.41 Muadzam Shah,11651,9300,15,288
Pahang,N.42 Tioman,12634,9588,9,217
