state,dun,area_name,ballot_order,name,candidate_uid,party,party_uid,votes
Pahang,N.01 Tanah Rata,Tanah Rata,1,Chai Kok Lim,17835,BN,25,3351
Pahang,N.01 Tanah Rata,Tanah Rata,2,Go Mong Nging,16499,DAP,18,2043
Pahang,N.01 Tanah Rata,Tanah Rata,3,Ho Yip Kap,17837,BEBAS,1,3926
Pahang,N.02 Jelai,Jelai,1,Abdullah Bin Abdul Wahab,16502,PKR,11,1861
Pahang,N.02 Jelai,Jelai,2,Dato' Wan Rosdy Bin Wan Ismail,17839,BN,25,4482
Pahang,N.03 Padang Tengku,Padang Tengku,1,Roslan Zainal,17840,PAS,3,3465
Pahang,N.03 Padang Tengku,Padang Tengku,2,Abdul Rahman Bin Mohamad,3752,BN,25,4653
Pahang,N.04 Cheka,Cheka,1,Fong Koong Fuee,14060,BN,25,4391
Pahang,N.04 Cheka,Cheka,2,Ishak Bin Sat,17843,PKR,11,3111
Pahang,N.05 Benta,Benta,1,Zakaria Abdul Hamid,3764,PKR,11,2079
Pahang,N.05 Benta,Benta,2,Dato Hj. Mohd Soffi Tan Sri Abd. Razak,17845,BN,25,3437
Pahang,N.06 Batu Talam,Batu Talam,1,Abd. Aziz Bin Mat Kiram,17846,BN,25,5632
Pahang,N.06 Batu Talam,Batu Talam,2,Abdullah Suhaimin Bin Sa'At (Ustaz Sulaiman),17847,PAS,3,3217
Pahang,N.07 Tras,Tras,1,Choong Siew Onn,3046,DAP,18,8270
Pahang,N.07 Tras,Tras,2,Chan Choon Fah,15253,BN,25,5819
Pahang,N.08 Dong,Dong,1,Tengku Yusop B. Tengku Abdul Hamid,11759,BEBAS,1,387
Pahang,N.08 Dong,Dong,2,Kamaludin Abd. Rahman,2712,PKR,11,3413
Pahang,N.08 Dong,Dong,3,Shahiruddin Bin Ab Moin,14069,BN,25,6804
Pahang,N.09 Tahan,Tahan,1,Dato' Wan Amizan Bin Wan Abdul Razak,17853,BN,25,5112
Pahang,N.09 Tahan,Tahan,2,Ustazah Nuridah,4878,PAS,3,3755
Pahang,N.10 Damak,Damak,1,Cikgu Koh.,17855,BEBAS,1,3295
Pahang,N.10 Damak,Damak,2,Mohd Nor Bin Jaafar,17856,PKR,11,5165
