state,dun,area_name,ballot_order,name,candidate_uid,party,votes
Perak,N.01 Grik,Grik,1,Md. Nor Bin Md. Dahan,284,PERIKATAN,5338
Perak,N.01 Grik,Grik,2,Yunus Bin Md. Isa,468,SF,1939
Perak,N.01 Grik,Grik,3,Salleh Bin Yit,6794,PAS,1093
Perak,N.02 Lenggong,Lenggong,1,Tan Kim Seng,285,PDB,1238
Perak,N.02 Lenggong,Lenggong,2,Ahmad Bin Said,5767,PERIKATAN,6929
Perak,N.02 Lenggong,Lenggong,3,Razali Bin Hj. Hussin,6797,PAS,2075
Perak,N.03 Selama,Selama,1,Haji Hussein Bin Haji Yaacob,5739,PERIKATAN,7705
Perak,N.03 Selama,Selama,2,Mohd. Radzi Bin Haji Abd. Rahman,6799,PAS,2509
Perak,N.04 Larut,Larut,1,Haji Harun Bin Musa,5743,PDB,811
Perak,N.04 Larut,Larut,2,Kamaruddin Bin Mohd. Isa,1435,PERIKATAN,7488
Perak,N.04 Larut,Larut,3,Hj. Puteh Bin Hj. Abd. Latiff,6802,PAS,1795
Perak,N.05 Parit Buntar,Parit Buntar,1,Hajah Halimah Binti Haji Abdul Raof,5718,PERIKATAN,4697
Perak,N.05 Parit Buntar,Parit Buntar,2,Haji Saad Bin Haji Junaid,6804,SF,576
Perak,N.05 Parit Buntar,Parit Buntar,3,Haji Ahmad Bin Bakar,6805,PAS,3591
Perak,N.06 Kuala Kurau,Kuala Kurau,1,Haji Shamsuddin Bin Haji Ahmad,5720,PERIKATAN,5161
Perak,N.06 Kuala Kurau,Kuala Kurau,2,Jaafar Bin Ali,6807,PAS,3783
Perak,N.06 Kuala Kurau,Kuala Kurau,3,Khor Ah Meng @ Khor Hun Meng,6808,SF,1678
Perak,N.07 Bagan Serai,Bagan Serai,1,Abdul Samad Bin Hj. Abas,6809,PAS,2135
Perak,N.07 Bagan Serai,Bagan Serai,2,Masud Bin Untoi,5722,PERIKATAN,5682
Perak,N.07 Bagan Serai,Bagan Serai,3,Sellar Sabaratnam,5746,PDB,124
Perak,N.07 Bagan Serai,Bagan Serai,4,Shaari Bin Arshad,6812,SF,1094
Perak,N.08 Gunong Semanggol,Gunong Semanggol,1,Maturidi Bin Hj. Zakaria,6813,PDB,218
Perak,N.08 Gunong Semanggol,Gunong Semanggol,2,Ahmad Bin Haji Yusof,268,PERIKATAN,5390
Perak,N.08 Gunong Semanggol,Gunong Semanggol,3,Baharuddin Latif,447,PAS,3676
Perak,N.09 Taiping,Taiping,1,N. M. Krishnan,6816,BEBAS,1031
Perak,N.09 Taiping,Taiping,2,Ng Siew Gek,6817,PDB,4021
Perak,N.09 Taiping,Taiping,3,Ong Kean Lim,6818,SF,2077
Perak,N.09 Taiping,Taiping,4,Goh Chok Sam,5744,PERIKATAN,7318
Perak,N.10 Matang,Matang,1,Lim Beh @ Lim Tuan Hooi @ Lim Kim Keat,6820,BEBAS,134
Perak,N.10 Matang,Matang,2,Ho Min Siang,6821,SF,1536
Perak,N.10 Matang,Matang,3,Haji Idris Bin Haji Bashah,6822,PAS,2371
Perak,N.10 Matang,Matang,4,Wan Othman Bin Wan Omar,5747,PERIKATAN,9173
Perak,N.10 Matang,Matang,5,Mohd. Noor Bin Mohamed,280,PDB,2082
Perak,N.11 Sungei Manik,Sungei Manik,1,Yahaya Shuban Bin Haji Harun,5788,PERIKATAN,3296
Perak,N.11 Sungei Manik,Sungei Manik,2,Zaharullail Bin Md. Salleh,6826,PDB,192
Perak,N.11 Sungei Manik,Sungei Manik,3,Haji Rais,6827,PAS,2072
Perak,N.12 Bandar,Bandar,1,Haji Ahmad Razali Bin Haji Mohamad,5790,PERIKATAN,4470
Perak,N.12 Bandar,Bandar,2,Jaafar Sidik Bin Maamor,452,PDB,401
Perak,N.12 Bandar,Bandar,3,Haji Md. Wajib Bin Uda Ismail,6830,PAS,1536
Perak,N.13 Senggang,Senggang,1,A. M. Azmie,6831,PAS,2438
Perak,N.13 Senggang,Senggang,2,Zaidah Binti Hashim,6832,SF,2055
Perak,N.13 Senggang,Senggang,3,Mohamad Kassim Bin Mohd. Din,6833,PERIKATAN,5610
Perak,N.13 Senggang,Senggang,4,Fakharudin Bin Kamarudin,6834,PDB,909
Perak,N.14 Padang Rengas,Padang Rengas,1,Rashid Karim,6835,PAS,2855
Perak,N.14 Padang Rengas,Padang Rengas,2,Haji Abdullah Bin H. A. Raof,6836,PERIKATAN,6017
Perak,N.14 Padang Rengas,Padang Rengas,3,Dr. S. Underwood,453,BEBAS,767
Perak,N.14 Padang Rengas,Padang Rengas,4,Abu Bakar Bin Haji Kasim,6838,SF,1254
Perak,N.14 Padang Rengas,Padang Rengas,5,Mohd. Nur. Bin Mohd. Akas,6839,PDB,422
Perak,N.15 Karai,Karai,1,Haji Ariffin Bin Haji Hamzah,6840,PAS,536
Perak,N.15 Karai,Karai,2,Mohammad Ali Zaini Bin Haji Mohd. Zain,6841,PERIKATAN,4412
Perak,N.15 Karai,Karai,3,Samsudin Bin Harun,928,PKR,1092
Perak,N.16 Jalong,Jalong,1,Yeoh Eng Chai,6843,PKR,2141
Perak,N.16 Jalong,Jalong,2,Lee Khen,6844,SF,827
Perak,N.16 Jalong,Jalong,3,See Khoon Lim,5786,PERIKATAN,4960
Perak,N.17 Blanja,Blanja,1,Ahmad Alias Bin Mohd. Aliff,6846,PERIKATAN,6530
Perak,N.17 Blanja,Blanja,2,Raja Haji Shahar Shah,6847,BEBAS,520
Perak,N.17 Blanja,Blanja,3,Hj. Nordin Bin Hj. Wahab,6848,PAS,2623
Perak,N.17 Blanja,Blanja,4,Abu Hassan Bin Ibrahim,6849,PDB,298
Perak,N.18 Kampong Gajah,Kampong Gajah,1,P. Norashid Bin Haji Idris,6850,PDB,810
Perak,N.18 Kampong Gajah,Kampong Gajah,2,Kamarudin Bin Montak,6851,PAS,2181
Perak,N.18 Kampong Gajah,Kampong Gajah,3,Saaudi Bin Ahmad Zakaria,6852,PERIKATAN,3817
Perak,N.18 Kampong Gajah,Kampong Gajah,4,Mohd. Hassan Bin Abd. Rais,6853,BEBAS,769
Perak,N.19 Pengkalan Bharu,Pengkalan Bharu,1,Mokhtar Bin Haji A. Manap,6854,PDB,1826
Perak,N.19 Pengkalan Bharu,Pengkalan Bharu,2,Abdul Rahim Bin Mat Saleh,5752,PAS,2169
Perak,N.19 Pengkalan Bharu,Pengkalan Bharu,3,Haji Ishak Bin Haji Mahmud,5751,PERIKATAN,5259
Perak,N.20 Ayer Tawar,Ayer Tawar,1,S. R. Chandran,6857,PKR,4422
Perak,N.20 Ayer Tawar,Ayer Tawar,2,Khoo Chong Poi,6858,BEBAS,269
Perak,N.20 Ayer Tawar,Ayer Tawar,3,Ng Kuok Thai,6859,PERIKATAN,5926
Perak,N.21 Lekir,Lekir,1,Wong Ting Sing,941,PERIKATAN,5141
Perak,N.21 Lekir,Lekir,2,Yee Meng Chye,6861,PKR,2819
Perak,N.22 Lumut,Lumut,1,Too Joon Hing,42,PDB,4407
Perak,N.22 Lumut,Lumut,2,Liew Why Hone,646,PERIKATAN,5848
Perak,N.23 Pekan Lama,Pekan Lama,1,D. R. Seenivasagam,36,PKR,7548
Perak,N.23 Pekan Lama,Pekan Lama,2,A. K. S. Maniam,6865,PERIKATAN,4410
Perak,N.23 Pekan Lama,Pekan Lama,3,Wong Kim Thim,467,SF,1162
Perak,N.24 Pekan Bharu,Pekan Bharu,1,Choong Peng Soon,6867,PERIKATAN,4600
Perak,N.24 Pekan Bharu,Pekan Bharu,2,Chan Swee Ho,307,PKR,7089
Perak,N.25 Pasir Puteh,Pasir Puteh,1,Pang Kau,6869,SF,1717
Perak,N.25 Pasir Puteh,Pasir Puteh,2,Foo Kuan Sze,6870,PKR,10253
Perak,N.25 Pasir Puteh,Pasir Puteh,3,Lim Song Hee,6871,PERIKATAN,6671
Perak,N.26 Kuala Pari,Kuala Pari,1,Choy Kok Kuan,306,PERIKATAN,5040
Perak,N.26 Kuala Pari,Kuala Pari,2,S. P. Seenivasagam,469,PKR,11305
Perak,N.27 Chemor,Chemor,1,Low Sin Yean,472,SF,1295
Perak,N.27 Chemor,Chemor,2,Ng Sin Yoon,6875,PERIKATAN,3758
Perak,N.27 Chemor,Chemor,3,Chin Kee Seong,6876,PKR,3155
Perak,N.28 Sungei Raja,Sungei Raja,1,Yeap Kheng Yam,6877,PERIKATAN,3803
Perak,N.28 Sungei Raja,Sungei Raja,2,R. C. M. Rayan,930,PKR,3627
Perak,N.29 Tanjong Tualang,Tanjong Tualang,1,Looi Ah Leck,6879,PKR,2703
Perak,N.29 Tanjong Tualang,Tanjong Tualang,2,Cheong Kai Choong,6880,PERIKATAN,3864
Perak,N.29 Tanjong Tualang,Tanjong Tualang,3,Mow Tham Kim,6881,SF,783
Perak,N.30 Pusing,Pusing,1,Khong Kok Yat,310,PKR,5981
Perak,N.30 Pusing,Pusing,2,Choong Tien Chuan,6883,PERIKATAN,5776
Perak,N.31 Gopeng,Gopeng,1,Chai Ken Fook,6884,SF,2141
Perak,N.31 Gopeng,Gopeng,2,Haji Ahmad Bin Haji Marap,6885,PAS,1341
Perak,N.31 Gopeng,Gopeng,3,Choy Chooi Yooi,6886,PERIKATAN,5844
Perak,N.32 Kuala Dipang,Kuala Dipang,1,Yap Boon En,6887,PKR,5962
Perak,N.32 Kuala Dipang,Kuala Dipang,2,Kong Hoi,6888,SF,2757
Perak,N.32 Kuala Dipang,Kuala Dipang,3,Oh Kay Seng,931,PERIKATAN,7013
Perak,N.33 Bidor,Bidor,1,Felix Anthony,6890,PKR,1213
Perak,N.33 Bidor,Bidor,2,Leow Yeon Seong,6891,BEBAS,1726
Perak,N.33 Bidor,Bidor,3,Chan Chong Yueng,6892,SF,741
Perak,N.33 Bidor,Bidor,4,V. Punnusamy Pillai,6893,PERIKATAN,3875
Perak,N.34 Slim,Slim,1,Zakaria Bin A. Maraf,1200,PERIKATAN,5308
Perak,N.34 Slim,Slim,2,Kok Yin Chye,6895,PKR,234
Perak,N.34 Slim,Slim,3,Cheah Wai Cheong,6896,SF,2275
