state,dun,area_name,ballot_order,name,candidate_uid,party,party_uid,votes
Perak,N.01 Temengor,Temengor,1,Shamsuddin Bin Din,908,BN,25,4591
Perak,N.01 Temengor,Temengor,2,Abdul Rahim Bin Abdullah,2972,PAS,3,1692
Perak,N.01 Temengor,Temengor,3,Mat Yunos Bin Abd. Munir,9759,DAP,18,902
Perak,N.02 Kenering,Kenering,1,Wan Mohamed Bin Wan Teh,7619,BN,25,4692
Perak,N.02 Kenering,Kenering,2,Zainol Bin Othman,9761,PAS,3,2009
Perak,N.02 Kenering,Kenering,3,Mohd. Yusof Bin Othman,8974,DAP,18,1998
Perak,N.03 Selama,Selama,1,Haji Abd. Aziz Bin Haji Ahmad,9763,BN,25,5208
Perak,N.03 Selama,Selama,2,Ahmad Bin Yusoh,1434,PAS,3,2281
Perak,N.03 Selama,Selama,3,M. Mustafa Zakaria,9765,DAP,18,124
Perak,N.04 Batu Kurau,Batu Kurau,1,Abdul Manan Bin Mohd. Ali,9766,BN,25,6416
Perak,N.04 Batu Kurau,Batu Kurau,2,Haji Puteh Bin Haji Abd. Latiff,6802,PAS,3,2526
Perak,N.04 Batu Kurau,Batu Kurau,3,Che Rose Bin Haji Abdullah,8635,DAP,18,105
Perak,N.05 Simpang Lima,Simpang Lima,1,Ismail Abd. Rauf,8621,BN,25,6445
Perak,N.05 Simpang Lima,Simpang Lima,2,Harun Hashim,9770,PAS,3,4094
Perak,N.05 Simpang Lima,Simpang Lima,3,Haji Samsudin Bin Haji Johari,9771,DAP,18,1013
Perak,N.05 Simpang Lima,Simpang Lima,4,Shaarani Bin Haji Mohamed,1169,BEBAS,1,199
Perak,N.06 Kuala Kurau,Kuala Kurau,1,Abdul Rahman Haji Moktar,9773,PAS,3,5132
Perak,N.06 Kuala Kurau,Kuala Kurau,2,Haji Ahmad Talhah Bin Haji Arpan,9774,BN,25,4929
Perak,N.06 Kuala Kurau,Kuala Kurau,3,Haji Ahmad Bin Bakar,6805,DAP,18,3560
Perak,N.07 Alor Pongsu,Alor Pongsu,1,Mohamed Bin Abas,9776,BN,25,8039
Perak,N.07 Alor Pongsu,Alor Pongsu,2,Ustaz Wahab Noor,9777,PAS,3,3813
Perak,N.07 Alor Pongsu,Alor Pongsu,3,Jelani Bin Saman,9778,DAP,18,1914
Perak,N.08 Gunong Semanggol,Gunong Semanggol,1,Zainal Abidin Bin Zin,1438,BN,25,5939
Perak,N.08 Gunong Semanggol,Gunong Semanggol,2,Baharuddin Haji Abd. Latiff,9780,PAS,3,4100
Perak,N.08 Gunong Semanggol,Gunong Semanggol,3,Idham Affandi Bin Ahmad,9781,DAP,18,144
Perak,N.09 Lintang,Lintang,1,Mohamed Bashir H. M. Bahari,8627,BN,25,0
Perak,N.10 Jalong,Jalong,1,Dr Lim Keng Yaik,9783,BN,25,5762
Perak,N.10 Jalong,Jalong,2,Ngan Siong Hing,926,DAP,18,5610
Perak,N.10 Jalong,Jalong,3,Lee Heng,9785,UPP,41,108
Perak,N.11 Kamunting,Kamunting,1,Ahmad Bin Nawi,9786,BN,25,6370
Perak,N.11 Kamunting,Kamunting,2,Zainal Abidin Bin Ahmad,1444,DAP,18,3109
Perak,N.11 Kamunting,Kamunting,3,Haji Salahudin (Haji Awang) Bin Awang Ismail,9788,PAS,3,1646
Perak,N.12 Kelian Pauh,Kelian Pauh,1,Lim Eng Chuan,449,DAP,18,13398
Perak,N.12 Kelian Pauh,Kelian Pauh,2,Dr Ng Ah Thoong,9790,BN,25,9257
Perak,N.12 Kelian Pauh,Kelian Pauh,3,Mai Bin Mat,9791,PAS,3,770
Perak,N.13 Changkat Jering,Changkat Jering,1,Ang Chin Wah,7638,BN,25,7806
Perak,N.13 Changkat Jering,Changkat Jering,2,Yahaya Bin Haji Yaacob,9793,DAP,18,3870
Perak,N.13 Changkat Jering,Changkat Jering,3,Ahmad Bin Haji Abdullah,9794,PAS,3,1940
Perak,N.14 Bukit Gantang,Bukit Gantang,1,Ahmad Bin Mansor,8463,BN,25,5842
Perak,N.14 Bukit Gantang,Bukit Gantang,2,Mat Rodzi Bin Haji Zakaria,9796,PAS,3,2776
Perak,N.14 Bukit Gantang,Bukit Gantang,3,Kamaruddin Bin Md. Noh,9797,DAP,18,1392
Perak,N.15 Lenggong,Lenggong,1,Saidin Bin Haji Mat Piah,8651,BN,25,6112
Perak,N.15 Lenggong,Lenggong,2,Alias Bin Abdul Hamid,9799,PAS,3,1647
Perak,N.15 Lenggong,Lenggong,3,Haji Ahmad Bin Haji Sidik,9800,DAP,18,1463
Perak,N.16 Lubok Merbau,Lubok Merbau,1,Mior Aris Bin Mior Abu Bakar,9801,BN,25,4751
Perak,N.16 Lubok Merbau,Lubok Merbau,2,Mohamad Bin Haji Junid,1165,PAS,3,3655
Perak,N.16 Lubok Merbau,Lubok Merbau,3,Abdul Karim Bin Lan,8654,DAP,18,331
Perak,N.17 Bukit Chandan,Bukit Chandan,1,Wong Yee Kao,9804,BN,25,5380
Perak,N.17 Bukit Chandan,Bukit Chandan,2,Kuan Boon Hooi,8656,DAP,18,3202
Perak,N.17 Bukit Chandan,Bukit Chandan,3,Hashim Bin Haji Mad Nor @ Haji Nor,9806,PAS,3,2896
Perak,N.18 Manong,Manong,1,Shafie Bin Mat Saman,7647,BN,25,2965
Perak,N.18 Manong,Manong,2,Zabidin Bin Alang Othman,1178,PAS,3,2039
Perak,N.18 Manong,Manong,3,Ahmad Bin Mohd. Nasir,9809,DAP,18,693
Perak,N.19 Chemor,Chemor,1,Yap Boon En,6887,BN,25,13641
Perak,N.19 Chemor,Chemor,2,Mohd. Fadlan Bin Yahaya,919,DAP,18,9727
Perak,N.20 Gopeng,Gopeng,1,P. Patto,912,DAP,18,9544
Perak,N.20 Gopeng,Gopeng,2,Chung Koy Fah,9813,BN,25,8641
Perak,N.20 Gopeng,Gopeng,3,Raja Idris Bin Raja Hassan,9814,PAS,3,1052
Perak,N.21 Guntong,Guntong,1,Mohd. Salleh Bin Nakhoda Itam,934,DAP,18,12197
Perak,N.21 Guntong,Guntong,2,M. Singaram,9816,BN,25,10231
Perak,N.22 Kepayang,Kepayang,1,Lim Cho Hock,643,DAP,18,17848
Perak,N.22 Kepayang,Kepayang,2,R. Jegaheesa,9818,BN,25,7414
Perak,N.22 Kepayang,Kepayang,3,Ng Thor Fung,9819,BEBAS,1,228
Perak,N.23 Pasir Puteh,Pasir Puteh,1,Chiang Heng Kai,936,DAP,18,16086
Perak,N.23 Pasir Puteh,Pasir Puteh,2,Wu Lian Hwa,9821,BN,25,9917
Perak,N.24 Kuala Pari,Kuala Pari,1,Lim Nyit Sin,8680,DAP,18,12787
Perak,N.24 Kuala Pari,Kuala Pari,2,Tan Tiew Bock,9823,BN,25,7352
Perak,N.25 Pengkalan Bharu,Pengkalan Bharu,1,Abd. Malik Bin Haji Ahmad,9824,BN,25,4888
Perak,N.25 Pengkalan Bharu,Pengkalan Bharu,2,Khartirgamer A/L Nagalingam,9825,DAP,18,2278
Perak,N.25 Pengkalan Bharu,Pengkalan Bharu,3,Jaafar Bin Puteh,9826,PAS,3,799
Perak,N.25 Pengkalan Bharu,Pengkalan Bharu,4,Ismail Bin Ahmad,14419,BEBAS,1,277
Perak,N.26 Pantai Remis,Pantai Remis,1,Heong Heng Keng,9828,DAP,18,7338
Perak,N.26 Pantai Remis,Pantai Remis,2,Paramjik Singh,9829,BN,25,4338
Perak,N.26 Pantai Remis,Pantai Remis,3,Mohamed Bin Darus,9830,PAS,3,492
Perak,N.27 Belanja,Belanja,1,Ahmad Azizuddin Bin Haji Zainal Abidin,9831,BN,25,6178
Perak,N.27 Belanja,Belanja,2,Abas Bin Mat Said,1187,DAP,18,3669
Perak,N.27 Belanja,Belanja,3,Hassan Shaari Bin Alang Pintal,9833,PAS,3,2327
Perak,N.28 Bota,Bota,1,Rokiah Binti Kayat,9834,BN,25,5577
Perak,N.28 Bota,Bota,2,Mahmud Bin Zainal Abidin,935,PAS,3,3352
Perak,N.28 Bota,Bota,3,Ngah Bin Mat Baki,9836,DAP,18,2957
Perak,N.29 Tanjong Tualang,Tanjong Tualang,1,Cheong Kai Fu,8700,BN,25,7284
Perak,N.29 Tanjong Tualang,Tanjong Tualang,2,Sum Cheok Leng,9838,DAP,18,5782
Perak,N.29 Tanjong Tualang,Tanjong Tualang,3,Mohamad Ramli Bin Mohd. Salleh,9839,PAS,3,370
Perak,N.30 Kampar,Kampar,1,Lee Kak Hoi,8701,DAP,18,9331
Perak,N.30 Kampar,Kampar,2,Lim Tong Kwai,9841,BN,25,4320
Perak,N.30 Kampar,Kampar,3,Chan Heng Woh,7688,BEBAS,1,2854
Perak,N.31 Tapah,Tapah,1,Lim Yoon Yook,8706,BN,25,5993
Perak,N.31 Tapah,Tapah,2,Ibrahim Bin Singgeh,944,DAP,18,4269
Perak,N.31 Tapah,Tapah,3,Haji Mahfud Bin Haji Anwar,9845,PAS,3,400
Perak,N.32 Chenderiang,Chenderiang,1,Abdul Wahab Bin Abu Bakar,2089,BN,25,5706
Perak,N.32 Chenderiang,Chenderiang,2,Kalimuthu A/L Ranggayah,9847,DAP,18,2872
Perak,N.33 Sitiawan,Sitiawan,1,S. Raja Segran,9848,BN,25,6604
Perak,N.33 Sitiawan,Sitiawan,2,Ting Chek Ming,9849,DAP,18,5513
Perak,N.33 Sitiawan,Sitiawan,3,C. Sc. Sellapan,9850,BEBAS,1,891
Perak,N.33 Sitiawan,Sitiawan,4,Haji Ibrahim Bin Haji Hasan,5328,PAS,3,820
Perak,N.34 Pangkor,Pangkor,1,Cherng Chien Chang,8715,BN,25,5953
Perak,N.34 Pangkor,Pangkor,2,Phung Ah See @ Phung Teik Hua,9853,DAP,18,5112
