state,dun,ballot_order,name,candidate_uid,party,party_uid,votes
Perak,N.01 Temengor,1,Haji Md. Arif Bin Yaacob,7620,PAS,3,3984
Perak,N.01 Temengor,2,Wan Abdullah Bin Wan Im,8301,BN,25,8256
Perak,N.02 Kenering,1,Johan Bin Lahamat,11962,BN,25,6923
Perak,N.02 Kenering,2,Ustaz Haji Yusoff Haji Mokhtar,13135,S46,56,4846
Perak,N.03 Selama,1,Md. Kassim Bin Mahmud,11965,BN,25,8805
Perak,N.03 Selama,2,Ahmad Bin Yusoh,1434,PAS,3,2509
Perak,N.03 Selama,3,Mohamad Rodzi Bin Awang Kechek,13138,BEBAS,1,198
Perak,N.04 Batu Kurau,1,Raja Ahmad Zainuddin Bin Raja Haji Omar,2672,BN,25,8307
Perak,N.04 Batu Kurau,2,Kamarudin Bin Awang Basir,11968,PAS,3,3422
Perak,N.05 Titi Serong,1,Cikgu Khalid Bin Abd. Hamid,13141,PAS,3,5519
Perak,N.05 Titi Serong,2,Mohd Taib Hanafiah,13142,BN,25,8481
Perak,N.06 Kuala Kurau,1,Ustaz Hashim Bin Haji Walad,13143,PAS,3,3628
Perak,N.06 Kuala Kurau,2,Ahmad Shariffudin Aziz,11971,BN,25,5910
Perak,N.06 Kuala Kurau,3,Clement De Brito,9489,DAP,18,4493
Perak,N.07 Alor Pongsu,1,Mohamed Bin Abas,9776,BN,25,7381
Perak,N.07 Alor Pongsu,2,Ustaz Rahmat Husin,13147,PAS,3,4360
Perak,N.08 Gunung Semanggol,1,Samsuddin Bin Man,10888,BN,25,8077
Perak,N.08 Gunung Semanggol,2,Ustaz Abd. Halim Ali,13149,PAS,3,6636
Perak,N.09 Sapetang,1,Au How Cheong,942,BN,25,7899
Perak,N.09 Sapetang,2,Ahmad Bin Baharom,13151,S46,56,5801
Perak,N.10 Changkat Jering,1,Mohamad Razlan Bin Haji Hamid,1446,BN,25,9507
Perak,N.10 Changkat Jering,2,Dr. Azizan Bin Haji Ismail,13153,PAS,3,5922
Perak,N.11 Kamunting,1,Haji Zulkifli Bin Hussein,13154,BN,25,14028
Perak,N.11 Kamunting,2,Dato' Khalid Nasir,13155,S46,56,6945
Perak,N.12 Assam Kumbang,1,Siew Kok Kan,10898,BN,25,6922
Perak,N.12 Assam Kumbang,2,Ong Chin Lee,13157,BEBAS,1,3722
Perak,N.12 Assam Kumbang,3,Lim Yan Chiow,1733,DAP,18,12112
Perak,N.13 Lenggong,1,Haji Talha Bin Haji Ismail,13159,BN,25,6867
Perak,N.13 Lenggong,2,Haji Nuruddin Mansor,13160,S46,56,3711
Perak,N.14 Lubok Merbau,1,Cikgu Hilmi,13161,PAS,3,3909
Perak,N.14 Lubok Merbau,2,Jamal Nasir Bin Rasdi,13162,BN,25,7453
Perak,N.15 Lintang,1,Haji Padil Harun,13163,BN,25,8180
Perak,N.15 Lintang,2,Mahalil Bin Mohammad Ishak,13164,S46,56,3349
