state,dun,area_name,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Perak,N.01 Pengkalan Hulu,Pengkalan Hulu,13924,11611,281,279
Perak,N.02 Temengor,Temengor,18801,15803,32,324
Perak,N.03 Kenering,Kenering,15830,13597,216,284
Perak,N.04 Kota Tampan,Kota Tampan,12120,10139,38,159
Perak,N.05 Selama,Selama,15403,13373,101,183
Perak,N.06 Kubu Gajah,Kubu Gajah,12611,10724,25,170
Perak,N.07 Batu Kurau,Batu Kurau,18563,16003,37,222
Perak,N.08 Titi Serong,Titi Serong,28107,24321,96,341
Perak,N.09 Kuala Kurau,Kuala Kurau,23315,19985,45,282
Perak,N.10 Alor Pongsu,Alor Pongsu,17666,14841,21,339
Perak,N.11 Gunong Semanggol,Gunong Semanggol,18287,15624,26,224
Perak,N.12 Selinsing,Selinsing,18839,15919,18,280
Perak,N.13 Kuala Sepetang,Kuala Sepetang,25119,21673,31,420
Perak,N.14 Changkat Jering,Changkat Jering,33095,28264,79,281
Perak,N.15 Trong,Trong,13043,11081,16,163
Perak,N.16 Kamunting,Kamunting,27348,22999,106,212
Perak,N.17 Pokok Assam,Pokok Assam,22360,18018,32,159
Perak,N.18 Aulong,Aulong,28440,22896,61,254
Perak,N.19 Chenderoh,Chenderoh,13617,11559,16,196
Perak,N.20 Lubok Merbau,Lubok Merbau,14901,12671,24,178
Perak,N.21 Lintang,Lintang,23433,19287,2,374
Perak,N.22 Jalong,Jalong,28163,22330,41,427
Perak,N.23 Manjoi,Manjoi,51036,43639,51,698
Perak,N.24 Hulu Kinta,Hulu Kinta,38399,32536,2,616
Perak,N.25 Canning,Canning,35181,28032,38,302
Perak,N.26 Tebing Tinggi,Tebing Tinggi,19006,14662,44,243
Perak,N.27 Pasir Pinji,Pasir Pinji,27631,22423,36,227
Perak,N.28 Bercham,Bercham,32816,27269,80,288
Perak,N.29 Kepayang,Kepayang,22098,17566,34,240
Perak,N.30 Buntong,Buntong,22847,18219,24,312
Perak,N.31 Jelapang,Jelapang,30032,24590,15,431
Perak,N.32 Menglembu,Menglembu,30670,24886,32,265
Perak,N.33 Tronoh,Tronoh,26885,20664,18,351
Perak,N.34 Bukit Chandan,Bukit Chandan,15979,13471,37,238
Perak,N.35 Manong,Manong,17561,14812,46,187
Perak,N.36 Pengkalan Baharu,Pengkalan Baharu,17459,14414,26,233
Perak,N.37 Pantai Remis,Pantai Remis,31746,25172,40,419
Perak,N.38 Belanja,Belanja,15010,12671,28,224
Perak,N.39 Bota,Bota,18493,15942,45,337
Perak,N.40 Malim Nawar,Malim Nawar,24615,18593,40,304
Perak,N.41 Keranji,Keranji,21111,16014,28,205
Perak,N.42 Tualang Sekah,Tualang Sekah,17893,14665,54,347
Perak,N.43 Sungai Rapat,Sungai Rapat,42873,36647,12,460
Perak,N.44 Simpang Pulai,Simpang Pulai,32101,26824,44,303
Perak,N.45 Teja,Teja,22118,17877,31,464
Perak,N.46 Chenderiang,Chenderiang,21750,17542,52,525
Perak,N.47 Ayer Kuning,Ayer Kuning,23735,19415,62,353
Perak,N.48 Sungai Manik,Sungai Manik,25028,20818,62,516
Perak,N.49 Kampong Gajah,Kampong Gajah,26470,22665,45,440
Perak,N.50 Sitiawan,Sitiawan,28546,23133,35,334
Perak,N.51 Pasir Panjang,Pasir Panjang,35940,30733,21,465
Perak,N.52 Pangkor,Pangkor,23814,19790,27,254
Perak,N.53 Rungkup,Rungkup,15287,12506,22,267
Perak,N.54 Hutan Melintang,Hutan Melintang,24637,20513,41,636
Perak,N.55 Pasir Bedamar,Pasir Bedamar,31411,25031,67,281
Perak,N.56 Changkat Jong,Changkat Jong,29072,23758,42,435
Perak,N.57 Sungkai,Sungkai,19285,15460,67,276
Perak,N.58 Slim,Slim,22320,19016,62,303
Perak,N.59 Behrang,Behrang,22894,18923,50,496
