state,dun,ballot_order,name,candidate_uid,party,party_uid,votes
Perlis,N.01 Titi Tinggi,1,Yaacob Bin Man,19814,BEBAS,1,968
Perlis,N.01 Titi Tinggi,2,Khaw Hock Kong,19815,BN,25,3925
Perlis,N.01 Titi Tinggi,3,Teh Seng Chuan,19816,DAP,18,2439
Perlis,N.02 Beseri,1,Datuk Mat Rawi Bin Kassim,19817,BN,25,3636
Perlis,N.02 Beseri,2,Wan Kharizal,18204,PAS,3,3096
Perlis,N.03 Chuping,1,Wan Md Fishaal,19819,PKR,11,2812
Perlis,N.03 Chuping,2,Asmaiza Binti Ahmad,19820,BN,25,5688
Perlis,N.04 Mata Ayer,1,Ammar Gazali,19821,PKR,11,1750
Perlis,N.04 Mata Ayer,2,Cikgu Khairi Bin Hasan,19822,BN,25,3739
Perlis,N.05 Santan,1,Sabry Bin Ahmad,16874,BN,25,4209
Perlis,N.05 Santan,2,Anuar Tahir,4152,PAS,3,3125
Perlis,N.06 Bintong,1,Rela Binti Ahmad,19825,BN,25,5255
Perlis,N.06 Bintong,2,Abd Jamil Kamis,19826,PAS,3,4018
Perlis,N.07 Sena,1,Jamil Bin Saad,19827,BN,25,5418
Perlis,N.07 Sena,2,Dato' Ahmad Rizal Effande B. Zainol,19828,BEBAS,1,321
Perlis,N.07 Sena,3,Tuan Marja Binti Tuan Mat,19829,PKR,11,3494
Perlis,N.08 Indera Kayangan,1,Por Choo Chor,19830,BN,25,3171
Perlis,N.08 Indera Kayangan,2,Lawyer Ameir,19831,BEBAS,1,404
Perlis,N.08 Indera Kayangan,3,Chan Ming Kai,4000,PKR,11,4263
Perlis,N.09 Kuala Perlis,1,Shaari Bin Ludin,19833,BEBAS,1,191
Perlis,N.09 Kuala Perlis,2,Cikgu Mat Hassan,18214,BN,25,4758
Perlis,N.09 Kuala Perlis,3,Noor Amin Bin Ahmad,19835,PKR,11,3374
Perlis,N.10 Kayang,1,Ustaz Ya'Akub Bin Abu Seman,19836,PAS,3,3595
Perlis,N.10 Kayang,2,Ahmad Bakri Bin Dato' Ali,18217,BN,25,4259
Perlis,N.11 Pauh,1,Ustaz Idris Yaacob,19838,PAS,3,3387
Perlis,N.11 Pauh,2,Azlan Bin Man,19839,BN,25,4769
Perlis,N.12 Tambun Tulang,1,Ismail Bin Kasim,6428,BN,25,5286
Perlis,N.12 Tambun Tulang,2,Azhar Bin Ameir,19841,PKR,11,2805
Perlis,N.13 Guar Sanji,1,Zulmi Sabri,19842,PAS,3,3308
Perlis,N.13 Guar Sanji,2,Cikgu Jafperi Bin Othman,16890,BN,25,4235
Perlis,N.14 Simpang Empat,1,Russele Eizan,19844,PAS,3,3277
Perlis,N.14 Simpang Empat,2,Nurulhisham Bin Yaakob,19845,BN,25,3362
Perlis,N.15 Sanglang,1,Zainudin Bin Yom,3634,BEBAS,1,222
Perlis,N.15 Sanglang,2,Ustaz Fathul Bari,19847,BN,25,3511
Perlis,N.15 Sanglang,3,Cikgu Shukri,19848,PAS,3,3632
