state,dun,ballot_order,name,candidate_uid,party,party_uid,votes
Pulau Pinang,N.01 Penaga,1,Haji Hassan Bin Haji Mohd. Noh,8503,BN,25,5231
Pulau Pinang,N.01 Penaga,2,Ismail Bin Hamid,9670,PAS,3,3269
Pulau Pinang,N.02 Bertam,1,Abdul Rahman Bin Haji Abbas,9671,BN,25,3645
Pulau Pinang,N.02 Bertam,2,Said Bin Taib,7612,PAS,3,2288
Pulau Pinang,N.03 Tasek Gelugor,1,Md. Noor Bin Ahmad,8505,BN,25,2811
Pulau Pinang,N.03 Tasek Gelugor,2,Tan Bin Siang,8506,DAP,18,1966
Pulau Pinang,N.03 Tasek Gelugor,3,Haji Ishak Bin Yaakob,9675,PAS,3,1384
Pulau Pinang,N.03 Tasek Gelugor,4,Mustapha Bin Hussein,611,KITA,29,437
Pulau Pinang,N.04 Bagan Ajam,1,Cek Gu Ibrahim Bin Ab. Razak,8510,BN,25,5941
Pulau Pinang,N.04 Bagan Ajam,2,Ahmad Abdul Rahman,9678,PAS,3,3167
Pulau Pinang,N.05 Bagan Jermal,1,Dr Sak Cheng Lum,2045,BN,25,5640
Pulau Pinang,N.05 Bagan Jermal,2,Chua Ban Hock,9680,SDP,33,4304
Pulau Pinang,N.05 Bagan Jermal,3,Phee Joo Teik,5649,BEBAS,1,3875
Pulau Pinang,N.06 Bagan Dalam,1,T. Subbiah,8518,BN,25,5747
Pulau Pinang,N.06 Bagan Dalam,2,N. Shanmugam,9683,DAP,18,5684
Pulau Pinang,N.06 Bagan Dalam,3,Loh Kim Heng,1148,SDP,33,857
Pulau Pinang,N.06 Bagan Dalam,4,Abdul Hamid Bin Abdullah,232,PAS,3,845
Pulau Pinang,N.07 Sungei Dua,1,Haji Zabidi Bin Haji Ali,2,PAS,3,3543
Pulau Pinang,N.07 Sungei Dua,2,Hindon Binti Hashim,9687,BN,25,2839
Pulau Pinang,N.08 Kubang Semang,1,Haji Mohamad Nor Bin Haji Bakar,7565,BN,25,4212
Pulau Pinang,N.08 Kubang Semang,2,Ismail Bin Yusoff,5940,PAS,3,3500
Pulau Pinang,N.09 Penanti,1,Abdullah Bin Mohamad @ Mahmud,8530,BN,25,3488
Pulau Pinang,N.09 Penanti,2,Md. Jamil Bin Hassan,9691,PAS,3,3069
Pulau Pinang,N.09 Penanti,3,Jaafar Bin Ahmad,8529,KITA,29,390
Pulau Pinang,N.10 Bukit Tengah,1,Liang Thau Sang,9693,BN,25,3728
Pulau Pinang,N.10 Bukit Tengah,2,Ong Chin Siong,8536,DAP,18,3164
Pulau Pinang,N.10 Bukit Tengah,3,Haji Musa Bin Haji Mohd. Yatim,620,PAS,3,2319
Pulau Pinang,N.11 Pekan Bukit Mertajam,1,Seow Hun Khim,9696,DAP,18,8512
Pulau Pinang,N.11 Pekan Bukit Mertajam,2,Oh Teck Aun,890,BN,25,5451
Pulau Pinang,N.11 Pekan Bukit Mertajam,3,V. Aparoo,9698,KITA,29,181
Pulau Pinang,N.12 Machang Bubok,1,Lim Heng Tee,8545,BN,25,3301
Pulau Pinang,N.12 Machang Bubok,2,Ooi Chew Fong,9700,DAP,18,2782
Pulau Pinang,N.12 Machang Bubok,3,Hussein Bin Ismail,9291,PAS,3,2318
Pulau Pinang,N.12 Machang Bubok,4,Gurdial Singh,9702,KITA,29,130
Pulau Pinang,N.12 Machang Bubok,5,Ustaz Ismail Helmy,9703,BEBAS,1,100
Pulau Pinang,N.13 Bukit Tambun,1,Ng Swee Ching,8550,BN,25,3815
Pulau Pinang,N.13 Bukit Tambun,2,Koay Boon Seng,7586,DAP,18,2749
Pulau Pinang,N.14 Sungai Bakap,1,Teoh Kooi Sneah,8551,BN,25,2583
Pulau Pinang,N.14 Sungai Bakap,2,Khoo Soo Kheng,1152,BEBAS,1,2264
Pulau Pinang,N.14 Sungai Bakap,3,Yusoff Bin Sulaiman,9708,BEBAS,1,1633
Pulau Pinang,N.14 Sungai Bakap,4,Shaik Adam,8546,PAS,3,513
Pulau Pinang,N.14 Sungai Bakap,5,Teow Sang Seng,9710,DAP,18,356
Pulau Pinang,N.14 Sungai Bakap,6,Khor Ewe Tien,9711,SDP,33,99
Pulau Pinang,N.15 Sungei Acheh,1,Ahmad Bin Saleh,1957,BN,25,5294
Pulau Pinang,N.15 Sungei Acheh,2,Md. Noor Bin Shaari,9713,DAP,18,2792
Pulau Pinang,N.15 Sungei Acheh,3,Ahmad Bin Wahi,9714,PAS,3,507
Pulau Pinang,N.15 Sungei Acheh,4,Haji Hanafiah,9715,BEBAS,1,389
Pulau Pinang,N.16 Telok Bahang,1,Ahmad Radhi Bin Pachee,9716,BN,25,4413
Pulau Pinang,N.16 Telok Bahang,2,Osman Bin Din,9717,PSRM,26,2548
Pulau Pinang,N.16 Telok Bahang,3,Abdul Rahman Bin Haji Junus,7590,BEBAS,1,1319
Pulau Pinang,N.16 Telok Bahang,4,Ibrahim Bin Saad,2349,PAS,3,207
Pulau Pinang,N.17 Sungai Nibong,1,Dr Tan Chong Teik,9720,BN,25,6636
Pulau Pinang,N.17 Sungai Nibong,2,Mohideen Abdul Kader,896,PSRM,26,4074
Pulau Pinang,N.17 Sungai Nibong,3,Hussain Bin Drani,1157,PAS,3,1279
Pulau Pinang,N.18 Bayan Lepas,1,Khalid Ahmad,8568,BN,25,6900
Pulau Pinang,N.18 Bayan Lepas,2,Othman Bin Taib,2160,PSRM,26,2886
Pulau Pinang,N.18 Bayan Lepas,3,Omar Bin Hassan,9725,PAS,3,560
Pulau Pinang,N.19 Tanjong Bunga,1,Khor Gark Kim,2053,BN,25,9637
Pulau Pinang,N.19 Tanjong Bunga,2,Khoo Soo Hoe,1421,DAP,18,4464
Pulau Pinang,N.19 Tanjong Bunga,3,Gopal Nair,9728,SDP,33,322
Pulau Pinang,N.20 Ayer Itam,1,Peter Dason,900,DAP,18,7643
Pulau Pinang,N.20 Ayer Itam,2,David Choong Ewe Leong,2050,BN,25,6421
Pulau Pinang,N.20 Ayer Itam,3,Oh Keng Seng,681,SDP,33,517
Pulau Pinang,N.21 Paya Terubong,1,Chin Nuok Soo,9732,DAP,18,5525
