state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Pulau Pinang,N.01 Penaga,9207,7393,7,252
Pulau Pinang,N.02 Bertam,13854,10916,16,342
Pulau Pinang,N.03 Pinang Tunggal,8007,6650,7,278
Pulau Pinang,N.04 Ara Rendang,11150,9100,16,247
Pulau Pinang,N.05 Sungai Dua,11292,9112,20,278
Pulau Pinang,N.06 Telok Ayer Tawar,12785,9881,181,442
Pulau Pinang,N.07 Bagan Jermal,22569,18066,18,341
Pulau Pinang,N.08 Mak Mandin,19833,14965,46,298
Pulau Pinang,N.09 Prai,14092,10388,9,234
Pulau Pinang,N.10 Seberang Jaya,15781,12404,21,396
Pulau Pinang,N.11 Permatang Pasir,13054,10708,7,297
Pulau Pinang,N.12 Penanti,11691,9171,7,265
Pulau Pinang,N.13 Berapit,20247,15893,165,302
Pulau Pinang,N.14 Machang Bubok,17719,14476,100,338
Pulau Pinang,N.15 Bukit Tengah,16384,12974,152,321
Pulau Pinang,N.16 Sungai Bakap,13581,10562,9,357
Pulau Pinang,N.17 Jawi,18646,14879,8,440
Pulau Pinang,N.18 Sungai Acheh,10994,8572,4,236
Pulau Pinang,N.19 Tanjong Bunga,19362,14490,16,316
Pulau Pinang,N.20 Ayer Itam,21247,15730,43,249
Pulau Pinang,N.21 Kebun Bunga,16418,12056,46,240
Pulau Pinang,N.22 Padang Kota,16941,12290,69,293
Pulau Pinang,N.23 Pengkalan Kota,25220,19394,18,374
Pulau Pinang,N.24 Kampong Kolam,18727,13784,27,317
Pulau Pinang,N.25 Datok Keramat,19797,14528,24,253
Pulau Pinang,N.26 Sungai Pinang,21931,16275,33,414
Pulau Pinang,N.27 Batu Lanchang,20399,15873,25,295
Pulau Pinang,N.28 Bukit Gelugor,16805,12197,44,142
Pulau Pinang,N.29 Paya Terubong,22254,17258,22,312
Pulau Pinang,N.30 Batu Uban,28523,20841,174,398
Pulau Pinang,N.31 Telok Bahang,14059,10553,12,264
Pulau Pinang,N.32 Telok Kumbar,13085,10164,17,310
Pulau Pinang,N.33 Bayan Lepas,23569,18281,202,515
