state,dun,ballot_order,name,candidate_uid,party,party_uid,votes
Sabah,N.01 Banggi,1,Datu Amir Kahar Bin Datu Mustapha,2509,BN,25,2854
Sabah,N.01 Banggi,2,Salbin Bin Muksin,14591,PBS,48,1840
Sabah,N.01 Banggi,3,Ghazali Bin Harris,14592,BERSEKUTU,49,454
Sabah,N.01 Banggi,4,Tam Chiu Moi @ Oi Yen,14593,BEBAS,1,38
Sabah,N.02 Kudat,1,Chong Kah Kiat,8934,BN,25,6935
Sabah,N.02 Kudat,2,Wong Sze Phin,12503,BERSEKUTU,49,481
Sabah,N.02 Kudat,3,Kong Hong Ming @ Kong Fo Min,14596,PBS,48,5447
Sabah,N.02 Kudat,4,Ahmad @ Tawang Bin Jalil,14597,SETIA,62,105
Sabah,N.03 Bengkoka,1,Paulus Itom @ Paul Tom,11160,BEBAS,1,558
Sabah,N.03 Bengkoka,2,Dg. Maimunah Binti Datu Mustapha,14599,BERSEKUTU,49,211
Sabah,N.03 Bengkoka,3,Tsen Kwet Chong,14600,SETIA,62,97
Sabah,N.03 Bengkoka,4,Rahim @ Richard Bin Mazagi,14601,PBS,48,2121
Sabah,N.03 Bengkoka,5,Masrani Bin Parman,12293,BN,25,4042
Sabah,N.04 Matunggong,1,Atong Bin Mangabis,14603,PBS,48,5131
Sabah,N.04 Matunggong,2,Berman Bin Angkap,3534,BERSEKUTU,49,282
Sabah,N.04 Matunggong,3,Markus Bin Majihi,13426,BN,25,3407
Sabah,N.04 Matunggong,4,Junan Bin Olok @ Abd Karim,14606,SETIA,62,59
Sabah,N.05 Tandek,1,Joe Santi,14607,BERSEKUTU,49,463
Sabah,N.05 Tandek,2,Saibul Bin Supu,10091,BN,25,4412
Sabah,N.05 Tandek,3,Johnity @ Maximus Bin Ongkili,2511,PBS,48,5671
Sabah,N.06 Tempasuk,1,Abd. Salam Bin Gibang @ Abdul Kadir,14610,PBS,48,4176
Sabah,N.06 Tempasuk,2,Musbah B. Jamli,14611,BN,25,4911
Sabah,N.06 Tempasuk,3,Paumin @ Mohd Aminuddin Bin Aling,4312,PAS,3,239
Sabah,N.06 Tempasuk,4,Masud Bin Nanang,14613,SETIA,62,38
Sabah,N.06 Tempasuk,5,Dausin @ Lawrence Bin Pangalin @ Joe,14614,BEBAS,1,61
Sabah,N.06 Tempasuk,6,Ibrahim Bin Linggam,14615,BERSEKUTU,49,368
Sabah,N.07 Kadamaian,1,Lidu @ Serirama Bin Johari,14616,BERSEKUTU,49,151
Sabah,N.07 Kadamaian,2,Timbon @ Herbert Bin Lagadan,14617,PBS,48,6583
Sabah,N.07 Kadamaian,3,Baggai Bin Basirun,10116,BN,25,2725
Sabah,N.08 Usukan,1,Mudry Bin Nasir,2859,BERSEKUTU,49,894
Sabah,N.08 Usukan,2,Saidil @ Saidi Bin Simoi,2831,PBS,48,3503
Sabah,N.08 Usukan,3,Md Salleh Md Said,2513,BN,25,7127
Sabah,N.09 Tamparuli,1,Mojilip Bin Bumburing @ Wilfred,8978,BN,25,3939
Sabah,N.09 Tamparuli,2,Manggoh Arow @ Monggoh Orow,1884,BERSEKUTU,49,475
Sabah,N.09 Tamparuli,3,Linggu @ Edward Bin Bukut,14624,PBS,48,6125
Sabah,N.10 Sulaman,1,Hajiji Bin Haji Noor,12333,BN,25,6571
Sabah,N.10 Sulaman,2,Utuh @ Rakam Bin Sijim,14626,PBS,48,3127
Sabah,N.10 Sulaman,3,Hamdin @ Din Bin Abd Kadir,14627,SETIA,62,100
Sabah,N.10 Sulaman,4,Mohamed Daud Bin Abdillah,14628,BERSEKUTU,49,886
Sabah,N.11 Kiulu,1,Lovis Rampas,14629,PBS,48,5007
Sabah,N.11 Kiulu,2,Gisin Bin Lombut,8981,BN,25,1622
Sabah,N.11 Kiulu,3,Seibing Bin Gunting,14631,BERSEKUTU,49,142
Sabah,N.12 Inanam,1,Christina Lorline Stephen Tibok,14632,BN,25,4940
Sabah,N.12 Inanam,2,Judy Hiew Mui Nyuk,14633,BERSEKUTU,49,1081
Sabah,N.12 Inanam,3,Goh Chin Lok @ Johnny Goh,2518,PBS,48,9648
Sabah,N.13 Likas,1,Saudin Bin Kadis,14635,BEBAS,1,100
Sabah,N.13 Likas,2,Yong Teck Lee,2837,BN,25,9110
Sabah,N.13 Likas,3,Gamparon Bin Lajah @ Mohd. Zulkifli Bin Lajah,1607,SETIA,62,318
Sabah,N.13 Likas,4,Yahya Bin V.P. Kassim,14638,PAS,3,200
Sabah,N.13 Likas,5,Harris Bin Mohd Salleh,1609,BERSEKUTU,49,3576
Sabah,N.13 Likas,6,Chong Eng Leong @ Ching Eng Leong,1904,PBS,48,4148
Sabah,N.14 Api-Api,1,Chin Chen Fui,14641,BERSEKUTU,49,1040
Sabah,N.14 Api-Api,2,Datuk Chau Tet On,13500,BN,25,5963
Sabah,N.14 Api-Api,3,Yee Moh Chai,2519,PBS,48,9146
Sabah,N.15 Sembulan,1,Yong Oui Fah,14644,PBS,48,5464
Sabah,N.15 Sembulan,2,Chow Chin Thong @ Chau Chin Tang,13502,BN,25,5161
Sabah,N.15 Sembulan,3,Tan Kok Sui,14646,BERSEKUTU,49,2109
Sabah,N.15 Sembulan,4,Datu Bara Bin Datu Alawaddin,14647,BEBAS,1,70
Sabah,N.16 Moyog,1,Clarence Dicsenol Bongkos Malakun,13491,PBS,48,10870
Sabah,N.16 Moyog,2,Jomilon Mojuntin @ Conrad Mojuntin,3208,BEBAS,1,59
Sabah,N.16 Moyog,3,Bernard Giluk Dompok,1898,BN,25,6482
Sabah,N.16 Moyog,4,Legacy @ Ignatius John Matayun,14651,BEBAS,1,20
Sabah,N.16 Moyog,5,Cletus Sipain Mojingol,14652,PASOK,43,18
Sabah,N.16 Moyog,6,Benedict Sakunil Mansul,14653,BERSEKUTU,49,285
Sabah,N.17 Petagas,1,Yahyah @ Yahya Bin Hussin @ Ag. Husin,13506,BN,25,9234
Sabah,N.17 Petagas,2,Dini @ Mohd Dini Bin Matkan @ Mohd Khan,14655,BERSEKUTU,49,960
Sabah,N.17 Petagas,3,Musa Abdul Rahman,14656,SETIA,62,122
Sabah,N.17 Petagas,4,Uda Bin Sulai,14657,PBS,48,5447
Sabah,N.18 Kawang,1,Pengiran Othman Rauf @ Awang,1598,SETIA,62,117
