state,dun,area_name,ballot_order,name,candidate_uid,party,party_uid,votes
Sabah,N.01 Banggi,Banggi,1,Kusugan Bin Ali,17080,PPRS,77,105
Sabah,N.01 Banggi,Banggi,2,Datuk Abd Mijul Bin Unaini,20077,BN,25,3234
Sabah,N.01 Banggi,Banggi,3,Abidula Bin Amsana,10070,PHRS,78,198
Sabah,N.01 Banggi,Banggi,4,Mohammad Mohamarin,20079,WARISAN,74,3613
Sabah,N.01 Banggi,Banggi,5,Norlaji Bin Amir Hassan,20080,SOLIDARITI,80,367
Sabah,N.01 Banggi,Banggi,6,Abdul Nasir Bin Jamaluddin,20081,PKS,28,43
Sabah,N.02 Tanjong Kapor,Tanjong Kapor,1,Thomas Tsen,20082,PCS,75,481
Sabah,N.02 Tanjong Kapor,Tanjong Kapor,2,Chong Chen Bin,20083,WARISAN,74,9124
Sabah,N.02 Tanjong Kapor,Tanjong Kapor,3,Teo Chee Kang,17084,BN,25,6132
Sabah,N.02 Tanjong Kapor,Tanjong Kapor,4,Allaidly Binti Poyon,20085,PPRS,77,446
Sabah,N.02 Tanjong Kapor,Tanjong Kapor,5,Aliasgar Bin Omolong,20086,PAS,3,617
Sabah,N.03 Pitas,Pitas,1,Datuk Bolkiah Bin Hj Ismail,18421,BN,25,5606
Sabah,N.03 Pitas,Pitas,2,Dausieh Binti Queck @ Paraman,18422,PAS,3,262
Sabah,N.03 Pitas,Pitas,3,Pransol Tiying,20089,ANAKNEGERI,83,400
Sabah,N.03 Pitas,Pitas,4,Bakir Bin Mancaing,20090,PHRS,78,1527
Sabah,N.03 Pitas,Pitas,5,Ramlah Binti Nasir,20091,PKS,28,508
Sabah,N.03 Pitas,Pitas,6,Maklin Masiau,20092,WARISAN,74,4324
Sabah,N.04 Matunggong,Matunggong,1,Marunsai Bin Dawai,18425,SOLIDARITI,80,2968
Sabah,N.04 Matunggong,Matunggong,2,Sazalye Donol Bin Abdullah,20094,PKR,11,5259
Sabah,N.04 Matunggong,Matunggong,3,Julita Mojungki,20095,BN,25,6946
Sabah,N.04 Matunggong,Matunggong,4,Jornah Mozihim,20096,PCS,75,1348
Sabah,N.04 Matunggong,Matunggong,5,Rahim Bin Madhakong,20097,PKS,28,98
Sabah,N.05 Tandek,Tandek,1,Johnson Bin Assan @ Johnson Gaban,20098,PCS,75,553
Sabah,N.05 Tandek,Tandek,2,Baintin Adun,20099,WARISAN,74,4285
Sabah,N.05 Tandek,Tandek,3,Datuk Anita Baranting,20100,BN,25,8877
Sabah,N.05 Tandek,Tandek,4,Joel Masilung,20101,SOLIDARITI,80,3621
Sabah,N.06 Tempasuk,Tempasuk,1,Suwah Bulleh,20102,SOLIDARITI,80,1494
Sabah,N.06 Tempasuk,Tempasuk,2,Mustaqim Bin Aling,20103,PAS,3,521
Sabah,N.06 Tempasuk,Tempasuk,3,Musbah Haji Jamli,20104,BN,25,7742
Sabah,N.06 Tempasuk,Tempasuk,4,Mustapha Sakmud,5064,PKR,11,5478
Sabah,N.07 Kadamaian,Kadamaian,1,Mail Bin Balinu,20106,PCS,75,764
Sabah,N.07 Kadamaian,Kadamaian,2,Rubbin Guribah,20107,SOLIDARITI,80,3034
Sabah,N.07 Kadamaian,Kadamaian,3,Lukia Binti Indan,17104,PKR,11,3567
Sabah,N.07 Kadamaian,Kadamaian,4,Satail Bin Manjungkat,20109,PAS,3,129
Sabah,N.07 Kadamaian,Kadamaian,5,Ewon Benedick,5073,BN,25,6861
Sabah,N.08 Usukan,Usukan,1,Datuk Japlin Bin Akim,17108,BN,25,8738
Sabah,N.08 Usukan,Usukan,2,Abdul Bahkrin Bin Mohd Yusof,20112,WARISAN,74,7513
Sabah,N.08 Usukan,Usukan,3,Amsor Bin Tuah,20113,BEBAS,1,70
Sabah,N.08 Usukan,Usukan,4,Adzmin Bin Awang,20114,PAS,3,355
Sabah,N.09 Tamparuli,Tamparuli,1,Datuk Jahid Jahim,20115,BN,25,6818
Sabah,N.09 Tamparuli,Tamparuli,2,Dausil Bin Kundayong,20116,PKR,11,4738
Sabah,N.09 Tamparuli,Tamparuli,3,Mojilip Bin Bumburing @ Wilfred,8978,PCS,75,2541
Sabah,N.09 Tamparuli,Tamparuli,4,Jasmin Bin Dulin,20118,SOLIDARITI,80,901
Sabah,N.10 Sulaman,Sulaman,1,Haji Hajiji Bin Haji Noor,20119,BN,25,12966
Sabah,N.10 Sulaman,Sulaman,2,Abdullah Sani Bin Daud,20120,WARISAN,74,5192
Sabah,N.10 Sulaman,Sulaman,3,Arifin Bin Harith,18450,PHRS,78,467
Sabah,N.11 Kiulu,Kiulu,1,Joniston Bin Lumai @ Bangkuai,18457,BN,25,4336
Sabah,N.11 Kiulu,Kiulu,2,Gaibin Ransoi,17115,PCS,75,543
Sabah,N.11 Kiulu,Kiulu,3,Jo-Anna Sue Henley Rampas,5058,WARISAN,74,2893
Sabah,N.11 Kiulu,Kiulu,4,Terence Sinti,18456,SOLIDARITI,80,2457
Sabah,N.12 Karambunai,Karambunai,1,Azhar Matussin,20126,WARISAN,74,14157
