state,dun,ballot_order,name,candidate_uid,party,party_uid,votes
Sarawak,N.01 Lundu,1,Chong Kim Mook,1931,SUPP,20,1496
Sarawak,N.01 Lundu,2,Sidi Munan,6102,PESAKA,22,1275
Sarawak,N.01 Lundu,3,T. K. Suud Bin Udin,6103,PERIKATAN,2,1198
Sarawak,N.01 Lundu,4,Charles Linang,6104,SNAP,19,1105
Sarawak,N.01 Lundu,5,Jimmy Sim Moh Huat,6105,BEBAS,1,82
Sarawak,N.01 Lundu,6,Peter Chung,6106,BEBAS,1,67
Sarawak,N.02 Bau,1,Ong Ah Khim,6107,SUPP,20,2902
Sarawak,N.02 Bau,2,Michael Sadin,6108,SNAP,19,2225
Sarawak,N.02 Bau,3,Aloysius Dom Nagok,1329,PERIKATAN,2,1257
Sarawak,N.02 Bau,4,Gabriel Dan Anak Nganjau,6110,PESAKA,22,818
Sarawak,N.02 Bau,5,Ong Guan Cheng,1330,BEBAS,1,539
Sarawak,N.03 Kuching Barat,1,Cheng Yew Kiew,6112,PERIKATAN,2,5410
Sarawak,N.03 Kuching Barat,2,Ong Kee Hui,748,SUPP,20,4103
Sarawak,N.03 Kuching Barat,3,Haji Mohd. Ali Bin Ahmad,6114,SNAP,19,1076
Sarawak,N.03 Kuching Barat,4,King Shih Fan,6115,BEBAS,1,192
Sarawak,N.04 Kuching Timor,1,Stephen K. T. Yong,757,SUPP,20,7560
Sarawak,N.04 Kuching Timor,2,Lo Yik Fong,6117,PERIKATAN,2,989
Sarawak,N.04 Kuching Timor,3,Thomas Lim Thian Huat,6118,SNAP,19,641
Sarawak,N.04 Kuching Timor,4,Teo Sing Chiu,6119,BEBAS,1,124
Sarawak,N.04 Kuching Timor,5,Kenneth Lau Ah Lah,749,BEBAS,1,81
Sarawak,N.05 Semariang,1,Ajibah Abol,6121,PERIKATAN,2,3233
Sarawak,N.05 Semariang,2,Abdul Kadir Merican,6122,SUPP,20,971
Sarawak,N.05 Semariang,3,Chegu Shukri,6123,BEBAS,1,954
Sarawak,N.05 Semariang,4,Abang Bueng Bin Abang Amin,6124,SNAP,19,526
Sarawak,N.05 Semariang,5,Haji Ben Bin Jomel,6125,BEBAS,1,250
Sarawak,N.06 Sekama,1,Sim Kheng Hong,6126,SUPP,20,4435
Sarawak,N.06 Sekama,2,Clarence Tan,6127,PERIKATAN,2,2236
Sarawak,N.06 Sekama,3,Paul F. Kueh Jee It,6128,SNAP,19,738
Sarawak,N.06 Sekama,4,Chai Kuet Sung,6129,BEBAS,1,180
Sarawak,N.07 Sebandi,1,Ikhwan Bin Abang Haji Zainei,6130,PERIKATAN,2,3755
Sarawak,N.07 Sebandi,2,Tua Kampong Suaidi,6131,SUPP,20,1530
Sarawak,N.07 Sebandi,3,Abang Haji Adenan Bin Abang Haji Azahari,6132,PESAKA,22,1069
Sarawak,N.08 Muara Tuang,1,Mohamad Musa,6133,PERIKATAN,2,1934
Sarawak,N.08 Muara Tuang,2,Chung Kok Chiong,6134,SUPP,20,1232
Sarawak,N.08 Muara Tuang,3,Dato Abang Othman,6135,SNAP,19,717
Sarawak,N.08 Muara Tuang,4,Arthur Ernest Muda,6136,BEBAS,1,294
Sarawak,N.09 Batu Kawah,1,Chong Kuin Kong,6137,SUPP,20,3748
Sarawak,N.09 Batu Kawah,2,Mrs Kong Yu Siung,6138,SNAP,19,1650
Sarawak,N.09 Batu Kawah,3,Shii Dai Seng,6139,PERIKATAN,2,1534
Sarawak,N.10 Bengoh,1,Segus Ak Ginyai,6140,SUPP,20,1796
Sarawak,N.10 Bengoh,2,Akui Ak Asu,6141,SNAP,19,1532
Sarawak,N.10 Bengoh,3,George Si Ricord,1624,PESAKA,22,498
Sarawak,N.10 Bengoh,4,Haji Mohamed Bin Haji Bakeri,6143,PERIKATAN,2,231
Sarawak,N.10 Bengoh,5,William Nais,6144,BEBAS,1,230
Sarawak,N.11 Tarat,1,Nelson Kundai Ngareng,1338,SNAP,19,3160
Sarawak,N.11 Tarat,2,Dato' Teo Kui Seng,6146,PERIKATAN,2,2091
Sarawak,N.11 Tarat,3,Nyadang Ak Nador,6147,SUPP,20,2062
Sarawak,N.12 Tebakang,1,Michael Ben,6148,SNAP,19,2869
Sarawak,N.12 Tebakang,2,Richard Dampeng,1055,SUPP,20,1920
Sarawak,N.12 Tebakang,3,Justin Ahan Ak Engkoyong,6150,PERIKATAN,2,1606
Sarawak,N.13 Semera,1,Lee Thiam Kee (Puteh),6151,PERIKATAN,2,3092
Sarawak,N.13 Semera,2,Wan Alkap,6152,SNAP,19,1240
Sarawak,N.13 Semera,3,Salleh Bin Zen,6153,SUPP,20,497
Sarawak,N.14 Gedong,1,Abang Haji Abdulrahim,6154,PERIKATAN,2,1757
Sarawak,N.14 Gedong,2,Kapitan Liew Ming Chung,6155,SNAP,19,1647
Sarawak,N.14 Gedong,3,Andrew Jika Landau,6156,PESAKA,22,600
Sarawak,N.14 Gedong,4,Entri Ak Tusan,6157,SUPP,20,522
Sarawak,N.15 Lingga-Sebuyau,1,Dato' Penghulu Tawi Sli,6158,PESAKA,22,2134
Sarawak,N.15 Lingga-Sebuyau,2,Augustine Mercer Ak Jangga,6159,SNAP,19,1915
Sarawak,N.15 Lingga-Sebuyau,3,Barbara Bay,6160,SUPP,20,1160
Sarawak,N.15 Lingga-Sebuyau,4,Awg. Morni Bin Awg. Jaya,6161,PERIKATAN,2,698
Sarawak,N.15 Lingga-Sebuyau,5,Sydney Sentu,6162,BEBAS,1,98
Sarawak,N.16 Simanggang,1,Nelson Liap Kudu,6163,SNAP,19,2513
Sarawak,N.16 Simanggang,2,Hollis Ak Tini,768,SUPP,20,1879
Sarawak,N.16 Simanggang,3,Rabaie Bin Ahmad (Wang),6165,PERIKATAN,2,1048
Sarawak,N.16 Simanggang,4,Jimbai Ak Maja,6166,PESAKA,22,718
Sarawak,N.16 Simanggang,5,Awang Johari Bin Pengiran Azid,6167,BEBAS,1,279
Sarawak,N.16 Simanggang,6,Joshua Jangga,6168,BEBAS,1,192
Sarawak,N.16 Simanggang,7,Goh Teo Chun,6169,BEBAS,1,143
Sarawak,N.16 Simanggang,8,Anthony Jiram,6170,BEBAS,1,73
Sarawak,N.17 Engkilili-Skrang,1,Simon Dembab Maja,6171,PESAKA,22,1101
Sarawak,N.17 Engkilili-Skrang,2,Chang Shui Foh,6172,SUPP,20,976
Sarawak,N.17 Engkilili-Skrang,3,Pengeran Ak Bliang,6173,SNAP,19,946
Sarawak,N.17 Engkilili-Skrang,4,Legan Ak Penghulu Narok,6174,BEBAS,1,225
Sarawak,N.18 Ulu Ai,1,David Ak Jemut,2888,SNAP,19,934
Sarawak,N.18 Ulu Ai,2,Tutong Ak Ningkan,1063,PESAKA,22,889
Sarawak,N.18 Ulu Ai,3,Rabit Ak Nanang,6177,SUPP,20,531
Sarawak,N.18 Ulu Ai,4,Penghulu Manau,6178,BEBAS,1,351
Sarawak,N.18 Ulu Ai,5,Ebai Ak Inyang,6179,BEBAS,1,86
Sarawak,N.18 Ulu Ai,6,Ahmad Bin Ibrahim @ Leek,6180,PERIKATAN,2,80
Sarawak,N.19 Saribas,1,Kihok Bin Amat,6181,PERIKATAN,2,1849
Sarawak,N.19 Saribas,2,Jocelyn Beduru Ak Makap,6182,SNAP,19,1312
Sarawak,N.19 Saribas,3,Haji Hamzawi Bin Haji Omar,6183,PESAKA,22,747
Sarawak,N.19 Saribas,4,Denis Luat,6184,BEBAS,1,252
Sarawak,N.19 Saribas,5,Cr Laili,6185,BEBAS,1,181
Sarawak,N.20 Layar,1,Dato' Stephen Kalong Ningkan,1065,SNAP,19,2546
Sarawak,N.20 Layar,2,Charles H. Ingka,6187,BEBAS,1,1157
Sarawak,N.20 Layar,3,Edmund Derom,6188,PESAKA,22,713
Sarawak,N.20 Layar,4,Juing Insoll,6189,BEBAS,1,209
Sarawak,N.21 Kalaka,1,Wan Alwi Bin Tuanku Ibrahim,6190,PESAKA,22,1963
Sarawak,N.21 Kalaka,2,Al-Ustaz Haji Abg. Kadir Hassan,6191,PERIKATAN,2,1407
Sarawak,N.21 Kalaka,3,Willian Ak Lampas,6192,SNAP,19,1164
Sarawak,N.21 Kalaka,4,Haji Jais Bin Sejin,6193,BEBAS,1,83
Sarawak,N.22 Krian,1,Dunstan Endawi Ak Enchana,1635,SNAP,19,2933
Sarawak,N.22 Krian,2,Meling Ak Jan,6195,PESAKA,22,872
Sarawak,N.22 Krian,3,Robinson Jelemin,6196,SUPP,20,824
Sarawak,N.23 Kuala Rajang,1,Dato' Haji Abdul Rahman Ya'Kub,789,PERIKATAN,2,2161
Sarawak,N.23 Kuala Rajang,2,Drahman Bin Karia,6198,SUPP,20,831
Sarawak,N.23 Kuala Rajang,3,Ainie Bin Dhoby,6199,SNAP,19,743
Sarawak,N.23 Kuala Rajang,4,Then Kwan Long (Mok),787,BEBAS,1,656
Sarawak,N.23 Kuala Rajang,5,Biliang Ak Tinggi,6201,PESAKA,22,371
Sarawak,N.23 Kuala Rajang,6,Majidi Bin Suhaili,6202,BEBAS,1,103
Sarawak,N.24 Repok,1,Khoo Peng Loong,793,SUPP,20,2399
Sarawak,N.24 Repok,2,Chen Ko Ming,784,PERIKATAN,2,1787
Sarawak,N.24 Repok,3,Ngo King Huong,6205,SNAP,19,844
Sarawak,N.24 Repok,4,Ching Ting Chick,788,BEBAS,1,58
Sarawak,N.25 Matu-Daro,1,Awang Hipni Bin Pengiran Anu,6207,PERIKATAN,2,3360
Sarawak,N.25 Matu-Daro,2,Awang Mashor Bin Awg. Laga,6208,PESAKA,22,565
Sarawak,N.25 Matu-Daro,3,George Bin Haji Drahman,6209,SUPP,20,506
Sarawak,N.25 Matu-Daro,4,Waini Bin Haji Sahari,6210,BEBAS,1,429
Sarawak,N.25 Matu-Daro,5,Sia Siong Yung,6211,BEBAS,1,136
Sarawak,N.25 Matu-Daro,6,Abang Haji Abdul Razak,6212,SNAP,19,124
Sarawak,N.25 Matu-Daro,7,Haji Rosli Bin Kiok,6213,BEBAS,1,46
Sarawak,N.26 Binatang,1,Anthony Teo Tiao Gin,6214,SUPP,20,3048
Sarawak,N.26 Binatang,2,Luk Tai Lik,6215,PERIKATAN,2,2130
Sarawak,N.26 Binatang,3,Sandom Ak Nyuak,6216,PESAKA,22,1077
Sarawak,N.26 Binatang,4,Teng Tun Hsin,6217,SNAP,19,849
Sarawak,N.27 Sibu Tengah,1,Chew Kim Poon,6218,SUPP,20,4470
Sarawak,N.27 Sibu Tengah,2,Chieng Hie Kwong,1354,PERIKATAN,2,2098
Sarawak,N.27 Sibu Tengah,3,Yap Siew Hoe,6220,SNAP,19,493
Sarawak,N.27 Sibu Tengah,4,Lim Ung Chiew,796,BEBAS,1,380
