state,dun,area_name,ballot_order,name,candidate_uid,party,party_uid,votes
Sarawak,N.01 Lundu,Lundu,1,Mohamed Shamsuddin Bin Mokhtar,1930,BEBAS,1,2854
Sarawak,N.01 Lundu,Lundu,2,Chong Kim Mook,1931,BN,25,2861
Sarawak,N.01 Lundu,Lundu,3,Jonathan Saban,7976,BEBAS,1,290
Sarawak,N.01 Lundu,Lundu,4,Andrew Jipem Ak. Nayok,7977,BEBAS,1,920
Sarawak,N.02 Tasik Biru,Tasik Biru,1,Ku Fut Nam,7978,BEBAS,1,2675
Sarawak,N.02 Tasik Biru,Tasik Biru,2,Patrick Anek Uren,1617,BEBAS,1,5127
Sarawak,N.02 Tasik Biru,Tasik Biru,3,Aloysius Dom Nagok,1329,BEBAS,1,543
Sarawak,N.02 Tasik Biru,Tasik Biru,4,Lee Nyan Choi,745,BN,25,1518
Sarawak,N.03 Padungan,Padungan,1,Cheng Yew Kiew,6112,BN,25,1861
Sarawak,N.03 Padungan,Padungan,2,Tan Meng Chong,7983,BEBAS,1,8041
Sarawak,N.03 Padungan,Padungan,3,Sim Kwang Yang,1620,DAP,18,5877
Sarawak,N.03 Padungan,Padungan,4,Sieh Tzu Tsing,7985,BEBAS,1,59
Sarawak,N.03 Padungan,Padungan,5,Tan Tak Seng,7986,BEBAS,1,174
Sarawak,N.04 Stampin,Stampin,1,Chan Kay Heng,7987,DAP,18,3809
Sarawak,N.04 Stampin,Stampin,2,Junaidi Bin Samail,7988,BEBAS,1,293
Sarawak,N.04 Stampin,Stampin,3,Peter Ng Eng Lim @ Bujang Singka,7989,BEBAS,1,164
Sarawak,N.04 Stampin,Stampin,4,Datuk Amar Sim Kheng Hong,7990,BN,25,10924
Sarawak,N.05 Petra Jaya,Petra Jaya,1,Lona Osman,7991,PAJAR,35,1643
Sarawak,N.05 Petra Jaya,Petra Jaya,2,Hafsah Binti Harun,7992,BN,25,6183
Sarawak,N.06 Satok,Satok,1,Wan Ahmadul Badwi Wan Ibrahim,7993,PAJAR,35,2293
Sarawak,N.06 Satok,Satok,2,Abang Abu Bakar Bin Datu Bandar Abang Haji Mustapha,1638,BN,25,10506
Sarawak,N.06 Satok,Satok,3,Kho King Hing,7995,BEBAS,1,740
Sarawak,N.07 Sebandi,Sebandi,1,Sharifah Mordiah Binti Tengku Fauzi,7996,BN,25,3966
Sarawak,N.07 Sebandi,Sebandi,2,Mohd. Nasir Bin Haji Daing Hosen,7997,PAJAR,35,703
Sarawak,N.08 Muara Tuang,Muara Tuang,1,Adenan Bin Hj. Satem,7998,BN,25,4227
Sarawak,N.08 Muara Tuang,Muara Tuang,2,Bujang Ali Nor,7999,PAJAR,35,805
Sarawak,N.09 Batu Kawah,Batu Kawah,1,Anga A/K Soret @ John Lawrence,8000,BEBAS,1,2046
Sarawak,N.09 Batu Kawah,Batu Kawah,2,Chong Kiun Kong,6137,BN,25,7208
Sarawak,N.10 Bengoh,Bengoh,1,Wilfred Nissom,8002,BEBAS,1,3894
Sarawak,N.10 Bengoh,Bengoh,2,Shyu Li Hua,8003,DAP,18,159
Sarawak,N.10 Bengoh,Bengoh,3,Datuk Stephen Yong,8004,BN,25,4115
