state,dun,area_name,ballot_order,name,candidate_uid,party,votes
Sarawak,N.01 Lundu,Lundu,1,Winston Tujang Ak Pata,9091,BEBAS,44
Sarawak,N.01 Lundu,Lundu,2,Jehim Ak. Milos,9092,BEBAS,891
Sarawak,N.01 Lundu,Lundu,3,Ahmad Bin Som,9093,BEBAS,208
Sarawak,N.01 Lundu,Lundu,4,Ramsay Noel Jitam,9094,BN,4146
Sarawak,N.01 Lundu,Lundu,5,Mohamad Shamsuddin Bin Mokhtar,1930,BEBAS,2092
Sarawak,N.01 Lundu,Lundu,6,Hasan @ Hassan Bin Mawi,9096,BEBAS,127
Sarawak,N.02 Tasik Biru,Tasik Biru,1,Patau Ak. Rubis @ Dr Patau Rubis,9097,SNAP,7064
Sarawak,N.02 Tasik Biru,Tasik Biru,2,Peter Ak. Minos,9098,BN,4389
Sarawak,N.02 Tasik Biru,Tasik Biru,3,Guing Ak Nyangu @ Aloysius Dom Nagok,1614,BEBAS,114
Sarawak,N.03 Padungan,Padungan,1,Alexander John Shek Kwok Bun,9100,SNAP,1058
Sarawak,N.03 Padungan,Padungan,2,Song Swee Guan,2553,BN,11665
Sarawak,N.03 Padungan,Padungan,3,Sim Keng Soon @ Sim Kwang Yang,1934,DAP,8121
Sarawak,N.04 Stampin,Stampin,1,Yong Sen Chan,9103,DAP,6719
Sarawak,N.04 Stampin,Stampin,2,Sim Kheng Hong,6126,BN,15429
Sarawak,N.05 Petra Jaya,Petra Jaya,1,Eden Bin Abdullah,8039,BERSATU,544
Sarawak,N.05 Petra Jaya,Petra Jaya,2,Mohd. Pauzi Bin Bol Hassan,9106,BEBAS,1265
Sarawak,N.05 Petra Jaya,Petra Jaya,3,Hafsah Binti Harun,7992,BN,6107
Sarawak,N.06 Satok,Satok,1,Abg. Abd. Rahman Zohari Bin Tun Abd. Haji Openg,9108,BN,10234
Sarawak,N.06 Satok,Satok,2,Abg. Ariffin Bin Abg. Sebli @ Abg. Bunsu,9109,BERSATU,1638
Sarawak,N.07 Sebandi,Sebandi,1,Bujang B. Bakar,9110,BEBAS,1406
Sarawak,N.07 Sebandi,Sebandi,2,Abg. Saufi Adenan @ Abng Supi Bin Abd Adenan,9111,BERSATU,66
Sarawak,N.07 Sebandi,Sebandi,3,Datuk Patinggi Hj. Abdul Taib B Mahmud,754,BN,3720
Sarawak,N.08 Muara Tuang,Muara Tuang,1,Abang Hj. Mohd. Kassim B. Abg. Mohd. Taha,9113,BERSATU,292
Sarawak,N.08 Muara Tuang,Muara Tuang,2,Abng Ibrahim B. Abang Othman,9114,BEBAS,822
Sarawak,N.08 Muara Tuang,Muara Tuang,3,Adenan Bin Haji Satem,7998,BN,4518
Sarawak,N.09 Batu Kawah,Batu Kawah,1,Chong Kiun Kong,6137,BN,7517
Sarawak,N.09 Batu Kawah,Batu Kawah,2,Anga Ak Soret @ John Lawrence,8000,BEBAS,984
Sarawak,N.09 Batu Kawah,Batu Kawah,3,Peter Ak Nuab,9118,BEBAS,1441
Sarawak,N.10 Bengoh,Bengoh,1,Wilfred Rata Nissom,2228,BEBAS,5720
Sarawak,N.10 Bengoh,Bengoh,2,William Tanyuh Ak Nub,9120,BN,4594
Sarawak,N.10 Bengoh,Bengoh,3,George Siricord,1624,BEBAS,96
Sarawak,N.11 Tarat,Tarat,1,Robert Jacob Ridu,8006,BN,3950
Sarawak,N.11 Tarat,Tarat,2,Rahun Anak Dabak,761,BEBAS,3502
Sarawak,N.11 Tarat,Tarat,3,Bangik Ak Kandong,9124,BEBAS,105
Sarawak,N.11 Tarat,Tarat,4,Chai Mok Shin,9125,BEBAS,633
Sarawak,N.11 Tarat,Tarat,5,Narayanan Sachidanandan,9126,BEBAS,574
Sarawak,N.12 Tebakang,Tebakang,1,Frederick Bayoi Manggi,9127,BEBAS,2507
Sarawak,N.12 Tebakang,Tebakang,2,Nelson Kundai Ngareng,1338,BEBAS,359
Sarawak,N.12 Tebakang,Tebakang,3,Michael Ben Ak Panggi,9129,SNAP,4046
Sarawak,N.12 Tebakang,Tebakang,4,Lainus Ak Andrew Luwak,1937,PBDS,2949
Sarawak,N.13 Semera,Semera,1,Tan Guek Liang,9131,BEBAS,1198
Sarawak,N.13 Semera,Semera,2,Wan Alkap B. Tuanku Esim,9132,BEBAS,1666
Sarawak,N.13 Semera,Semera,3,Wan Wahab B Wan Sanusi,9133,BN,2462
Sarawak,N.13 Semera,Semera,4,Salleh B Zen,6153,BEBAS,43
Sarawak,N.14 Gedong,Gedong,1,Mohammed Tawan Bin Abdullah @ Hilary Tawan Ak Masan,9135,BN,2675
Sarawak,N.14 Gedong,Gedong,2,Ahmad B. Derahman @ Jaraie B. Drahman,9136,BEBAS,1211
Sarawak,N.14 Gedong,Gedong,3,Mathew Ain Ak Numan,9137,BEBAS,205
Sarawak,N.14 Gedong,Gedong,4,Junaidi B. Solhassan,9138,BEBAS,203
Sarawak,N.14 Gedong,Gedong,5,Bujang Bin Brahim @ Bukang Bin Haji Brahim,9139,BEBAS,297
Sarawak,N.15 Lingga,Lingga,1,Wan Akil B. Tuanku Mahmud,9140,BEBAS,116
Sarawak,N.15 Lingga,Lingga,2,Donald Lawan,1940,BEBAS,122
Sarawak,N.15 Lingga,Lingga,3,Daniel Tajem Ak Miri,1942,PBDS,4562
Sarawak,N.15 Lingga,Lingga,4,Mursidi @ Mohd Morshidi B. Hj Umi,9143,BEBAS,122
Sarawak,N.15 Lingga,Lingga,5,Jacob Ak. Imang,2244,SNAP,3167
Sarawak,N.16 Sri Aman,Sri Aman,1,Ngu Piew Seng,9145,BEBAS,2661
Sarawak,N.16 Sri Aman,Sri Aman,2,Abg. Hj. Taha B. Dt. Abg. Hj. Zain,9146,BEBAS,1527
Sarawak,N.16 Sri Aman,Sri Aman,3,Hollis Ak Tini,768,BN,4101
Sarawak,N.16 Sri Aman,Sri Aman,4,Shamsuddin B. Abdullah,2560,BEBAS,136
Sarawak,N.17 Engkilili,Engkilili,1,Jonathan Narwin Ak. Jinggong,1062,PBDS,984
Sarawak,N.17 Engkilili,Engkilili,2,Sing Cho Nang,9150,BEBAS,1461
Sarawak,N.17 Engkilili,Engkilili,3,Simon Dembab Ak Maja,1345,BEBAS,495
Sarawak,N.17 Engkilili,Engkilili,4,Richard Tawan Ak Sedu,9152,BEBAS,921
Sarawak,N.17 Engkilili,Engkilili,5,Kua Siang How,1343,BEBAS,29
Sarawak,N.17 Engkilili,Engkilili,6,Wilson Allie Ak Banyie,9154,SNAP,1043
Sarawak,N.18 Batang Air,Batang Air,1,Sylvester Langit Ak. Uming,9155,SNAP,1421
Sarawak,N.18 Batang Air,Batang Air,2,David Ak. Jemut,9156,PBDS,1413
Sarawak,N.18 Batang Air,Batang Air,3,Benedict Bujang Ak. Tembak,9157,BEBAS,1009
Sarawak,N.19 Saribas,Saribas,1,Mohd. Parhi B. Hj. Bujang,9158,BEBAS,1893
Sarawak,N.19 Saribas,Saribas,2,Haji Zainuddin Bin Haji Satem,8028,BN,3119
Sarawak,N.19 Saribas,Saribas,3,Abg. Madzhi B. Abg. Hj. Dahlan,9160,BEBAS,1467
Sarawak,N.20 Layar,Layar,1,Alfred Jabu Anak Numpang,7126,BN,5053
Sarawak,N.20 Layar,Layar,2,Razali B. Sabang @ Mohamad Razali,9162,BEBAS,1326
Sarawak,N.21 Kelaka,Kelaka,1,Jong Nam Hin,9163,BEBAS,690
Sarawak,N.21 Kelaka,Kelaka,2,Mohd. Rambli Bin Hj Omar,9164,BEBAS,1055
Sarawak,N.21 Kelaka,Kelaka,3,Wan Yusof Bin Tuk Datuk Patinggi Tuanku Hj. Bujang,8031,BN,3828
Sarawak,N.21 Kelaka,Kelaka,4,Jong Tahi Bee,9166,BEBAS,528
Sarawak,N.21 Kelaka,Kelaka,5,Othman Bin Kawi,3655,BEBAS,120
Sarawak,N.22 Krian,Krian,1,Datuk Peter Tinggom Ak Kamarau,1947,SNAP,2307
Sarawak,N.22 Krian,Krian,2,Andau Ak Japar,9169,BEBAS,162
Sarawak,N.22 Krian,Krian,3,John Antau Ak Linggang,1946,BEBAS,853
Sarawak,N.22 Krian,Krian,4,Langgu Ak. Saga @ Edmind,9171,PBDS,2752
Sarawak,N.22 Krian,Krian,5,Solomon Buyong Ak Igoh,9172,BEBAS,65
Sarawak,N.23 Kuala Rajang,Kuala Rajang,1,Sa'Adi B. Olia,9173,BN,3305
Sarawak,N.23 Kuala Rajang,Kuala Rajang,2,Lamasudin Bin Salleh @ Dr Udie Bin Salleh,9174,BEBAS,1850
Sarawak,N.24 Matu-Daro,Matu-Daro,1,Wahab Hj. Dollah,9175,BN,0
Sarawak,N.25 Repok,Repok,1,Teng Lung Chi,9176,BN,5791
Sarawak,N.25 Repok,Repok,2,Chong Siew Chiang,1352,DAP,5065
Sarawak,N.26 Meradong,Meradong,1,Wan Zainalabidin Bin Wan Kassim,9178,BEBAS,101
Sarawak,N.26 Meradong,Meradong,2,Hii King Hiong,9179,BN,3857
Sarawak,N.26 Meradong,Meradong,3,Joseph Salang A.K Gandum,9180,BEBAS,2960
Sarawak,N.26 Meradong,Meradong,4,Teo Siang Hai,8046,BEBAS,33
Sarawak,N.26 Meradong,Meradong,5,Ting Yii Hiep,9182,DAP,2095
Sarawak,N.27 Maling,Maling,1,Ling Sie Ming,1642,DAP,5583
Sarawak,N.27 Maling,Maling,2,Wong Soon Kai,1641,BN,21803
Sarawak,N.28 Seduan,Seduan,1,Mohd Syaifuddin Suyong Bin Abdullah @ Vero Wells Suyong,9185,BEBAS,176
Sarawak,N.28 Seduan,Seduan,2,Wong Sie Lee,9186,BEBAS,1887
Sarawak,N.28 Seduan,Seduan,3,Ting Ing Mieng,7147,BN,7445
Sarawak,N.29 Igan,Igan,1,Boniface Jubilee B. Ganem,9188,BEBAS,365
Sarawak,N.29 Igan,Igan,2,Tiong Chong Chu,9189,BN,2813
Sarawak,N.29 Igan,Igan,3,Linus Ak. Lembang,9190,BEBAS,927
Sarawak,N.29 Igan,Igan,4,Neo Ak Senen,9191,BEBAS,399
Sarawak,N.30 Dudong,Dudong,1,Joseph Tan Chok Tiong @ Joseph Chock Chung Tang,9192,SNAP,2695
Sarawak,N.30 Dudong,Dudong,2,Wifred Kiroh Ak Jeram,9193,BEBAS,2870
Sarawak,N.30 Dudong,Dudong,3,Sabang Ak. Lembong @ Raymond,9194,BEBAS,2387
Sarawak,N.31 Balingian,Balingian,1,Awang Morsidi Bin Awang Buyu,9195,PBDS,640
Sarawak,N.31 Balingian,Balingian,2,Wong Sing Hong @ Janggau,9196,DAP,737
Sarawak,N.31 Balingian,Balingian,3,Enggai Ak Antasin,9197,BEBAS,1111
Sarawak,N.31 Balingian,Balingian,4,Wan Habib Bin Syed Mahmud,1938,BN,3777
Sarawak,N.32 Oya,Oya,1,Haji Salleh Jafaruddin,1358,BN,0
Sarawak,N.33 Pakan,Pakan,1,Jawie Wilson Masing,9200,PBDS,2040
Sarawak,N.33 Pakan,Pakan,2,William Ikom,9201,SNAP,1779
Sarawak,N.33 Pakan,Pakan,3,Kasa Ak. Jingga,9202,BEBAS,202
Sarawak,N.34 Meluan,Meluan,1,Brayan Anak Jalang,9203,BEBAS,105
Sarawak,N.34 Meluan,Meluan,2,Engtingi Ak. Manggoi,9204,BEBAS,97
Sarawak,N.34 Meluan,Meluan,3,Geman Ak. Itam,9205,SNAP,1977
Sarawak,N.34 Meluan,Meluan,4,Ambrose Gramong Ak. Jelian,9206,PBDS,1966
Sarawak,N.35 Machan,Machan,1,Gramong Juna,8070,PBDS,3017
Sarawak,N.35 Machan,Machan,2,Stephen Jinggut Ak Ajub,9208,SNAP,2134
Sarawak,N.35 Machan,Machan,3,Bartholomew Aji Ak Lanyau,9209,BEBAS,82
Sarawak,N.36 Ngemah,Ngemah,1,Thomas Babai Ak Lias,9210,SNAP,1468
Sarawak,N.36 Ngemah,Ngemah,2,Joseph Unting Ak Umang,9211,BEBAS,860
Sarawak,N.36 Ngemah,Ngemah,3,Joseph Anak Kudi,8071,PBDS,1948
Sarawak,N.37 Katibas,Katibas,1,Toh Tze Bin @ Toh Tze Hua,9213,BEBAS,460
Sarawak,N.37 Katibas,Katibas,2,Tawai Ak Lalang,9214,BEBAS,216
Sarawak,N.37 Katibas,Katibas,3,Ambrose Blikau Ak. Enturan,8075,BN,2155
Sarawak,N.37 Katibas,Katibas,4,Baleng Ak Jingin,9216,BEBAS,1636
Sarawak,N.38 Pelagus,Pelagus,1,Lawrence Ak Baling,9217,BEBAS,453
Sarawak,N.38 Pelagus,Pelagus,2,Bueng Ak Kudi,9218,SNAP,2567
Sarawak,N.38 Pelagus,Pelagus,3,Jonathan Sabai Ak. Ajing,7164,PBDS,1998
Sarawak,N.39 Baleh,Baleh,1,Peter Gani Ak Kiai,8081,SNAP,1646
Sarawak,N.39 Baleh,Baleh,2,Joseph Ak Jenggot,9221,BEBAS,1300
Sarawak,N.39 Baleh,Baleh,3,James Jemot Ak. Maseng,9222,PBDS,2717
Sarawak,N.40 Belaga,Belaga,1,Stanley Ajang Batok,9223,BEBAS,575
Sarawak,N.40 Belaga,Belaga,2,Nyipa Kilah @ Nipah Batok,9224,BEBAS,1261
Sarawak,N.40 Belaga,Belaga,3,Tajang Laing,6282,BN,1900
