state,dun,area_name,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Selangor,N.01 Sungei Ayer Tawar,Sungei Ayer Tawar,8438,6029,0,359
Selangor,N.02 Sabak,Sabak,8979,6124,0,476
Selangor,N.03 Sungai Besar,Sungai Besar,10746,7207,0,468
Selangor,N.04 Sungai Panjang,Sungai Panjang,10324,6571,0,464
Selangor,N.05 Sekinchan,Sekinchan,10354,7382,0,486
Selangor,N.06 Sungai Burong,Sungai Burong,10725,7728,0,512
Selangor,N.07 Kalumpang,Kalumpang,11974,9215,0,596
Selangor,N.08 Kuala Kubu Baru,Kuala Kubu Baru,11928,8804,0,4955
Selangor,N.09 Batang Kali,Batang Kali,10842,8478,0,499
Selangor,N.10 Permatang,Permatang,11619,8639,0,591
Selangor,N.11 Asam Jawa,Asam Jawa,10935,8245,0,533
Selangor,N.12 Jeram,Jeram,10458,7880,0,537
Selangor,N.13 Rawang,Rawang,15291,11567,0,443
Selangor,N.14 Gombak,Gombak,32550,23432,0,1332
Selangor,N.15 Ampang,Ampang,33509,24924,0,789
Selangor,N.16 Dusun Tua,Dusun Tua,11207,8208,0,543
Selangor,N.17 Kajang,Kajang,15708,12374,0,362
Selangor,N.18 Semenyih,Semenyih,10787,8461,0,458
Selangor,N.19 Kapar,Kapar,10880,8747,0,303
Selangor,N.20 Sementa,Sementa,13516,9745,0,671
Selangor,N.21 Selat Kelang,Selat Kelang,25583,19470,0,818
Selangor,N.22 Bukit Raja,Bukit Raja,24613,18009,0,716
Selangor,N.23 Bandar Kelang,Bandar Kelang,0,0,0,0
Selangor,N.24 Kampong Jawa,Kampong Jawa,13862,9327,0,63
Selangor,N.25 Petaling Jaya,Petaling Jaya,51469,37961,0,3774
Selangor,N.26 Sungai Way,Sungai Way,23093,16822,0,470
Selangor,N.27 Serdang,Serdang,16049,12922,0,555
Selangor,N.28 Panglima Garang,Panglima Garang,0,0,0,0
Selangor,N.29 Banting,Banting,11262,8887,0,547
Selangor,N.30 Morib,Morib,8974,7024,0,379
Selangor,N.31 Dengkil,Dengkil,9544,7467,0,515
Selangor,N.32 Sungai Pelek,Sungai Pelek,9872,7866,0,552
Selangor,N.33 Batu Laut,Batu Laut,8442,6887,0,331
