state,dun,area_name,ballot_order,name,candidate_uid,party,votes
Selangor,N.01 Sungai Air Tawar,Sungai Air Tawar,1,Tasrip @ Hj. Shamsuddin Bin Hj. Abdul Rahman,12109,PAS,1282
Selangor,N.01 Sungai Air Tawar,Sungai Air Tawar,2,Dato' Haji Zainal Bin Dahalan,12110,BN,4929
Selangor,N.02 Sabak,Sabak,1,Ariffin Bin Ayob,516,PAS,1602
Selangor,N.02 Sabak,Sabak,2,Mohd. Yusup Bin A. Latib,12112,BN,4740
Selangor,N.03 Sungai Besar,Sungai Besar,1,Abu Samah Bin Nordin,12113,BN,5218
Selangor,N.03 Sungai Besar,Sungai Besar,2,Ruslan Bin Haji Ahmad,11009,PAS,2030
Selangor,N.04 Sungai Panjang,Sungai Panjang,1,Ariffin Bin Hj. Mat Rawi @ Hj Rawi,9914,BN,4936
Selangor,N.04 Sungai Panjang,Sungai Panjang,2,Abdul Rahman Bin Awang,1494,PAS,1560
Selangor,N.05 Sekincan,Sekincan,1,Sim Keng Seik,12117,BN,3963
Selangor,N.05 Sekincan,Sekincan,2,Arbain Bin Hassan,12118,PAS,1485
Selangor,N.05 Sekincan,Sekincan,3,Low Sek Moah,12119,DAP,1749
Selangor,N.06 Sungai Burung,Sungai Burung,1,Jaafar @ Dollah Sukor @ Abdul Shukur Haji Shiraj Bin Haji Siraj @ Haji Sirat,12120,BN,4103
Selangor,N.06 Sungai Burung,Sungai Burung,2,Shaari Bin Saet,11014,PAS,1897
Selangor,N.07 Kelompang,Kelompang,1,Ramli Bin Abd. Rahman,11018,BN,8803
Selangor,N.07 Kelompang,Kelompang,2,Muhammad Shaari Bin Muhammad Nor,12123,PAS,1246
Selangor,N.08 Kuala Kubu Baharu,Kuala Kubu Baharu,1,Mohamed Arif Bin Dato' Haji Kamaruddin,1496,SDP,701
Selangor,N.08 Kuala Kubu Baharu,Kuala Kubu Baharu,2,Wong Ah Taih,12125,BN,3962
Selangor,N.08 Kuala Kubu Baharu,Kuala Kubu Baharu,3,Dr. Leow Hok Len,12126,DAP,3481
Selangor,N.09 Batang Kali,Batang Kali,1,Muhammad Bin Muhammad Taib,11022,BN,0
Selangor,N.10 Sungai Tinggi,Sungai Tinggi,1,Yusoff Bin Hassan,12128,BN,4965
Selangor,N.10 Sungai Tinggi,Sungai Tinggi,2,Mohamed Jamil @ Jamil Bin Haji Nawawi,12129,PAS,1369
Selangor,N.11 Permatang,Permatang,1,Mohamed Khalip Bin Ahmad @ Khalid Bin Hj. Ahmad,11024,BN,5674
Selangor,N.11 Permatang,Permatang,2,Suarin Bin Ibrahim,12131,PAS,2098
Selangor,N.12 Seri Cahaya,Seri Cahaya,1,Dato' M. Mahalingam A/L Muthukrishnen,2430,BN,5210
Selangor,N.12 Seri Cahaya,Seri Cahaya,2,Dato' Raja Nasron Bin Raja Ishak,12133,NASMA,1986
Selangor,N.12 Seri Cahaya,Seri Cahaya,3,Sinniah A/L Periannan,11026,DAP,1069
Selangor,N.13 Jeram,Jeram,1,Miskam @ Miskon Bin Setera @ Sutero,11031,BN,7045
Selangor,N.13 Jeram,Jeram,2,Kasmani Bin Kasan Variro,12136,PAS,1704
Selangor,N.14 Sementa,Sementa,1,Hj. Mohd. Amin Bin Hj. Abd. Moin @ Hj. Abd. Muin,12137,BN,6610
Selangor,N.14 Sementa,Sementa,2,Mohd. Yusof Bin Jasmin,2435,PAS,1900
Selangor,N.15 Selat Klang,Selat Klang,1,Che Onn Bin Hj. Ismail,8822,BN,8851
Selangor,N.15 Selat Klang,Selat Klang,2,Hj. Aziz Bin Hamzah,12140,PAS,3418
Selangor,N.16 Rawang,Rawang,1,Tang See Hang,11034,BN,9446
Selangor,N.16 Rawang,Rawang,2,Tai Sing Ng,12142,DAP,4668
Selangor,N.16 Rawang,Rawang,3,Hasbolah Bin Mohd. Arif,12143,PAS,921
Selangor,N.17 Gombak Setia,Gombak Setia,1,Kaharudin Bin Mo Min,12144,BN,10962
Selangor,N.17 Gombak Setia,Gombak Setia,2,Ahmad Najih Bin Yusof,12145,PAS,1921
Selangor,N.18 Paya Jaras,Paya Jaras,1,Syed Meer Wahid Bin Syed Ibrahim,12146,PAS,1938
Selangor,N.18 Paya Jaras,Paya Jaras,2,Saidin Tamby,12147,BN,13992
Selangor,N.18 Paya Jaras,Paya Jaras,3,Hong Chin Poh,2085,DAP,6805
Selangor,N.19 Hulu Kelang,Hulu Kelang,1,Ibrahim B. Moksen,12149,PAS,2529
Selangor,N.19 Hulu Kelang,Hulu Kelang,2,Rakibah Bt. Hj. Abd. Manap,12150,BN,10250
Selangor,N.20 Keramat,Keramat,1,Yap Hon Chu @ Yap Hun Choo,12151,DAP,3335
Selangor,N.20 Keramat,Keramat,2,Ajus Bin Jais,997,PAS,1166
Selangor,N.20 Keramat,Keramat,3,Mufti Bin Suib,12153,BN,8175
Selangor,N.21 Pandan,Pandan,1,Mohd. Fahmi Bin Ibrahim,11040,BN,0
