state,dun,ballot_order,name,candidate_uid,party,party_uid,votes
Selangor,N.01 Sungai Air Tawar,1,Haji Zamri Bin Yahya,21431,PAS,3,3997
Selangor,N.01 Sungai Air Tawar,2,Rizam,21432,BN,25,5437
Selangor,N.01 Sungai Air Tawar,3,Mohd Hamizar Bin Sulaiman,21433,PKR,11,3921
Selangor,N.02 Sabak,1,Sallehuddin,21434,BN,25,6851
Selangor,N.02 Sabak,2,Ahmad Mustain Bin Othman,21435,PKR,11,6981
Selangor,N.02 Sabak,3,Ustaz Haji Sallehen Bin Mukhyi,15596,PAS,3,6183
Selangor,N.03 Sungai Panjang,1,Mohd Imran Bin Tamrin,21437,BN,25,10530
Selangor,N.03 Sungai Panjang,2,Ustazah Mariam,21438,PKR,11,8446
Selangor,N.03 Sungai Panjang,3,Ustaz Mohd Razali Bin Saari,21439,PAS,3,6999
Selangor,N.04 Sekinchan,1,Ng Suee Lim,15601,PKR,11,7863
Selangor,N.04 Sekinchan,2,Ustaz Haji Mohd Fadlin Bin Taslimin,15597,PAS,3,2351
Selangor,N.04 Sekinchan,3,Lee Yee Yuan,21442,BN,25,5019
Selangor,N.05 Hulu Bernam,1,Haji Amran Sakir,21443,PKR,11,8144
Selangor,N.05 Hulu Bernam,2,Salleh Ri,21444,PAS,3,2554
Selangor,N.05 Hulu Bernam,3,Datuk Rosni Binti Sohar,19858,BN,25,8164
Selangor,N.06 Kuala Kubu Baharu,1,Wong Koon Mun,18238,BN,25,6967
Selangor,N.06 Kuala Kubu Baharu,2,Lee Kee Hiong,14038,PKR,11,14101
Selangor,N.06 Kuala Kubu Baharu,3,Naharudin Bin Abdul Rashid,21448,PAS,3,3306
Selangor,N.07 Batang Kali,1,Datuk Hj Mat Nadzari Bin Ahmad Dahlan,21449,BN,25,13221
Selangor,N.07 Batang Kali,2,Harumaini Bin Haji Omar,4767,PKR,11,21536
Selangor,N.07 Batang Kali,3,Hj Md Hasnizan Harun,21451,PAS,3,7408
Selangor,N.08 Sungai Burong,1,Dato' Hj. Mohd Shamsudin,21452,BN,25,8741
Selangor,N.08 Sungai Burong,2,Ustaz Dr. Zamri Mantop,21453,PAS,3,6411
Selangor,N.08 Sungai Burong,3,Mohd Tarmizi Bin Lazim,21454,PKR,11,5323
Selangor,N.09 Permatang,1,Rozana Zainal Abidin,21455,PKR,11,9208
Selangor,N.09 Permatang,2,Muhammad Jafarudin Bin Sheik Daud,21456,PAS,3,2746
Selangor,N.09 Permatang,3,Datuk Sulaiman Razak,21457,BN,25,8050
Selangor,N.10 Bukit Melawati,1,Jakiran Bin Jacomah,19873,BN,25,8355
Selangor,N.10 Bukit Melawati,2,Cikgu Rashid,20557,PAS,3,3261
Selangor,N.10 Bukit Melawati,3,Juwairiya Zulkifli,21460,PKR,11,11050
Selangor,N.11 Ijok,1,Kumaran A/L Tamil Dassen,21461,PRM,57,76
Selangor,N.11 Ijok,2,K.R. Parthiban,18246,BN,25,6800
Selangor,N.11 Ijok,3,Idris Bin Ahmad,10558,PKR,11,8914
Selangor,N.11 Ijok,4,Jefri Bin Mejan,21464,PAS,3,3942
Selangor,N.12 Jeram,1,Mohd Shaid Bin Rosli,21465,PKR,11,7087
Selangor,N.12 Jeram,2,Ustaz Mohd Noor,21466,PAS,3,4326
Selangor,N.12 Jeram,3,Cikgu Zahar,21467,BN,25,5896
Selangor,N.13 Kuang,1,Datuk Abdul Shukur Bin Idrus,21468,BN,25,6985
Selangor,N.13 Kuang,2,Ustaz Mohd Fauzan Madzlan,21469,PAS,3,5672
Selangor,N.13 Kuang,3,Salleh Amiruddin,4782,PKR,11,9845
Selangor,N.13 Kuang,4,Mohd Rafie Bin Mohammad Arif,21471,PRM,57,44
Selangor,N.14 Rawang,1,Kong Tuck Wah,21472,PAS,3,2259
Selangor,N.14 Rawang,2,Sr. Azman Bin Mohd. Noor,21473,BEBAS,1,644
Selangor,N.14 Rawang,3,Chua Wei Kiat,21474,PKR,11,29946
Selangor,N.14 Rawang,4,Chan Wun Hoong,4781,BN,25,6086
Selangor,N.15 Taman Templer,1,Zaidy Bin Abdul Talib,21476,PAS,3,10459
Selangor,N.15 Taman Templer,2,Dato' Ir Hj Md Nasir Bin Ibrahim,21477,BN,25,7580
Selangor,N.15 Taman Templer,3,Koh Swe Yong,3074,PRM,57,82
Selangor,N.15 Taman Templer,4,Mohd Sany Hamzan,4799,PKR,11,18362
Selangor,N.15 Taman Templer,5,Dr. Rajandran,21480,PAP,84,108
Selangor,N.16 Sungai Tua,1,Badrul Acong,21481,BEBAS,1,268
Selangor,N.16 Sungai Tua,2,Datuk N. Rawisandran,21482,BN,25,6072
Selangor,N.16 Sungai Tua,3,Ustaz Mad China,21483,PAS,3,4530
Selangor,N.16 Sungai Tua,4,Amirudin Shari,4785,PKR,11,17446
Selangor,N.17 Gombak Setia,1,Megat Zulkarnain Bin Omardin,4788,BN,25,11113
Selangor,N.17 Gombak Setia,2,Hilman Idham,21486,PKR,11,24157
Selangor,N.17 Gombak Setia,3,Ustaz Hasbullah Ridzwan,21487,PAS,3,11758
Selangor,N.18 Hulu Kelang,1,Ustaz Farhan @ Kamalulhysham,21488,PAS,3,7573
Selangor,N.18 Hulu Kelang,2,Ismail Bin Ahmad,14419,BN,25,10397
Selangor,N.18 Hulu Kelang,3,Saari Bin Sungib,19892,PKR,11,25746
Selangor,N.19 Bukit Antarabangsa,1,Sharifah Haslizah Binti Syed Ariffin,21491,PAS,3,2311
Selangor,N.19 Bukit Antarabangsa,2,Diva Aa,21492,BEBAS,1,90
Selangor,N.19 Bukit Antarabangsa,3,Dato' Seri Azmin Ali,4784,PKR,11,30892
Selangor,N.19 Bukit Antarabangsa,4,Salwa Hj. Yunus,21494,BN,25,5380
Selangor,N.19 Bukit Antarabangsa,5,Ahmad Bin Kamarudin,21495,PRM,57,116
Selangor,N.20 Lembah Jaya,1,Khasim Bin Abdul Aziz,18268,PAS,3,7358
Selangor,N.20 Lembah Jaya,2,Haniza Talha,4769,PKR,11,22512
Selangor,N.20 Lembah Jaya,3,Norizwan,21498,PRM,57,177
Selangor,N.20 Lembah Jaya,4,Muhamad Nizam,21499,BN,25,7722
Selangor,N.21 Pandan Indah,1,Izham Bin Hashim,21500,PKR,11,24914
Selangor,N.21 Pandan Indah,2,Dato' Iskandar A. Samad,21501,PAS,3,7517
Selangor,N.21 Pandan Indah,3,Datuk Haji Haniff Bin Koslan,21502,BN,25,8528
Selangor,N.22 Teratai,1,Ben Liew Pok Boon,19901,BN,25,4784
Selangor,N.22 Teratai,2,Jenice Lee Ying Ha,4176,PRM,57,529
Selangor,N.22 Teratai,3,Irman Wahab,21505,PAS,3,5028
Selangor,N.22 Teratai,4,Lai Wai Chong (Bryan),21506,PKR,11,34453
Selangor,N.23 Dusun Tua,1,Haji Mohd Zin Bin Isa,21507,BN,25,11903
Selangor,N.23 Dusun Tua,2,Edry Faizal,21508,PKR,11,22325
Selangor,N.23 Dusun Tua,3,Razaly Bin Hassan,19906,PAS,3,7771
Selangor,N.24 Semenyih,1,Datuk Haji Johan Bin Abd Aziz,4802,BN,25,14464
Selangor,N.24 Semenyih,2,Haji Mad Shahmiour Mat Kosim,21511,PAS,3,6966
Selangor,N.24 Semenyih,3,Arul,19907,PSM,68,1293
Selangor,N.24 Semenyih,4,Bakhtiar Bin Mohd Nor,21513,PKR,11,23428
Selangor,N.25 Kajang,1,Hee Loy Sian,3440,PKR,11,39055
Selangor,N.25 Kajang,2,Dennis Wan,4180,PRM,57,103
Selangor,N.25 Kajang,3,Teh Yeow Meng,21516,BN,25,7097
Selangor,N.25 Kajang,4,Zaiton Binti Ahmad,21517,PAS,3,8300
Selangor,N.26 Sungai Ramal,1,Hj. Mazwan Johar,21518,PKR,11,24591
Selangor,N.26 Sungai Ramal,2,Abdul Rahim Bin Mohd Amin,12207,BN,25,9372
Selangor,N.26 Sungai Ramal,3,Ustaz Nushi Dato Mahfodz,21520,PAS,3,13961
Selangor,N.27 Balakong,1,Mohamad Ibrahim Ghazali,21521,PAS,3,6230
Selangor,N.27 Balakong,2,Ng Tien Chee (Eddie),19920,PKR,11,41768
Selangor,N.27 Balakong,3,Ir Lim Chin Wah,21523,BN,25,5874
Selangor,N.28 Seri Kembangan,1,Ean Yong Hian Wah,16968,PKR,11,34659
Selangor,N.28 Seri Kembangan,2,Chang Toong Woh,21525,BN,25,3514
Selangor,N.29 Seri Serdang,1,Dr Mariah Mahmud,3100,PKR,11,27088
Selangor,N.29 Seri Serdang,2,Hjh. Noor Hanim Ismail,21527,PAS,3,5552
Selangor,N.29 Seri Serdang,3,Mohamad Satim Bin Diman,14479,BN,25,12725
Selangor,N.30 Kinrara,1,Ng Sze Han,19925,PKR,11,52207
Selangor,N.30 Kinrara,2,Chiew Kai Heng,21530,BN,25,6995
Selangor,N.30 Kinrara,3,Dato Jonathan Lim Ying Ran,21531,PAS,3,3732
Selangor,N.31 Subang Jaya,1,Michelle Ng Mei Sze,21532,PKR,11,55354
Selangor,N.31 Subang Jaya,2,Toh Sin Wah,3785,BEBAS,1,228
Selangor,N.31 Subang Jaya,3,Mejar (B) Chong Ah Watt,21534,BN,25,7082
Selangor,N.32 Seri Setia,1,Mohd Ghazali Bin Daud,21535,PAS,3,4563
Selangor,N.32 Seri Setia,2,Dr. S. Vignes,21536,BEBAS,1,217
Selangor,N.32 Seri Setia,3,Datuk Haji Yusoff Hm Haniff,21537,BN,25,9878
Selangor,N.32 Seri Setia,4,Dr. Shaharuddin B. Badaruddin,21538,PKR,11,29250
Selangor,N.33 Taman Medan,1,Ariffin Bin Mahaiyuddin,21539,PAS,3,5090
Selangor,N.33 Taman Medan,2,Ustaz Syamsul Firdaus,21540,PKR,11,21712
Selangor,N.33 Taman Medan,3,Abdul Mutalif Bin Abdul Rahim,21541,BN,25,10772
Selangor,N.34 Bukit Gasing,1,Rajiv Rishyakaran,21542,PKR,11,29366
Selangor,N.34 Bukit Gasing,2,David Sew Kah Heng,21543,PAS,3,890
Selangor,N.34 Bukit Gasing,3,Chai Ko Thing,21544,BN,25,3531
Selangor,N.35 Kampung Tunku,1,Lim Yi Wei,21545,PKR,11,34477
Selangor,N.35 Kampung Tunku,2,Tan Gim Tuan Gt,4822,BN,25,4033
Selangor,N.36 Bandar Utama,1,Ch'Ng Soo Chau,21547,BN,25,3882
Selangor,N.36 Bandar Utama,2,Jamaliah Binti Jamaluddin,21548,PKR,11,38651
Selangor,N.36 Bandar Utama,3,Peter Chong,6106,BEBAS,1,188
Selangor,N.37 Bukit Lanjan,1,Elizabeth Wong,18304,PKR,11,47748
Selangor,N.37 Bukit Lanjan,2,Syed Abdul Razak,21551,BN,25,7515
Selangor,N.38 Paya Jaras,1,Dato' Zein Isma,21552,BN,25,8304
Selangor,N.38 Paya Jaras,2,Hanafi Bin Zulkapli,21553,PAS,3,6042
Selangor,N.38 Paya Jaras,3,Mohd Khairuddin,18305,PKR,11,20376
Selangor,N.39 Kota Damansara,1,Hajah Halimaton Saadiah,21555,BN,25,10737
Selangor,N.39 Kota Damansara,2,Shatiri Mansor,21556,PKR,11,26440
Selangor,N.39 Kota Damansara,3,Siti Rohaya Binti Ahad,21557,PAS,3,5633
Selangor,N.39 Kota Damansara,4,A. Sivarajan,21558,PSM,68,435
Selangor,N.40 Kota Anggerik,1,Jumaeah Binti Masdi,21559,BN,25,8924
Selangor,N.40 Kota Anggerik,2,Najwan Halimi,21560,PKR,11,26947
Selangor,N.40 Kota Anggerik,3,Ustaz Ahmad Dusuki,21561,PAS,3,9943
Selangor,N.41 Batu Tiga,1,Rodziah Ismail,4789,PKR,11,27638
Selangor,N.41 Batu Tiga,2,Haji Abdul Halim Bin Omar,21563,PAS,3,7793
Selangor,N.41 Batu Tiga,3,Ahmad Mua'Adzam Shah Bin Ya'Akop,21564,BN,25,12022
Selangor,N.42 Meru,1,Khairul Anuar Bin Saimun,21565,BN,25,8057
Selangor,N.42 Meru,2,Manikavasagam,3446,PRM,57,346
Selangor,N.42 Meru,3,Noor Najhan Bin Mohamad Salleh,21567,PAS,3,7804
Selangor,N.42 Meru,4,Alex Shee Chee Weng,21568,BEBAS,1,72
Selangor,N.42 Meru,5,Ustaz Fakhrulrazi Mokhtar,21569,PKR,11,17665
Selangor,N.43 Sementa,1,Saroni Bin Judi,21570,BN,25,12497
Selangor,N.43 Sementa,2,Dr Daroyah Binti Alwi,4834,PKR,11,17867
Selangor,N.43 Sementa,3,Gandhi A/P Nagamuthu,21572,PRM,57,120
Selangor,N.43 Sementa,4,Wan Hasrina Binti Wan Hassan,16936,PAS,3,7696
Selangor,N.44 Selat Klang,1,Abdul Rashid Bin  Asari,21574,PKR,11,12266
Selangor,N.44 Selat Klang,2,Mohd Khairi Bin Hussin,21575,BN,25,9949
Selangor,N.44 Selat Klang,3,Jeichandran A/L Wadivelu,21576,PRM,57,52
Selangor,N.44 Selat Klang,4,Dr Halimah Ali,4836,PAS,3,11766
Selangor,N.44 Selat Klang,5,Zainal Azwar Bin Kamaruddin,21578,BEBAS,1,49
Selangor,N.45 Bandar Baru Klang,1,Teoh Kah Yeong,21579,BN,25,5098
Selangor,N.45 Bandar Baru Klang,2,Dato' Teng Chang Khim,19966,PKR,11,44926
Selangor,N.46 Pelabuhan Klang,1,Dato Seikh Rajesh Bin Dato Sri Seikh Ahmad,21581,BN,25,9415
Selangor,N.46 Pelabuhan Klang,2,Azmizam Zaman Huri,21582,PKR,11,15837
Selangor,N.46 Pelabuhan Klang,3,Shan @ Shanmugam,21583,PSM,68,128
Selangor,N.46 Pelabuhan Klang,4,Khalid Bin Nayan,21584,PAS,3,2925
Selangor,N.47 Pandamaran,1,Santokh Singh,21585,PAS,3,1459
Selangor,N.47 Pandamaran,2,Tony Leong Tuck Chee,21586,PKR,11,41552
Selangor,N.47 Pandamaran,3,Tee Hooi Ling,4841,BN,25,5689
Selangor,N.48 Sentosa,1,Gunaraj,21588,PKR,11,38106
Selangor,N.48 Sentosa,2,Rajan Manikesavan,21589,PAS,3,1722
Selangor,N.48 Sentosa,3,Dato' R.S.Maniam,21590,BN,25,4506
Selangor,N.48 Sentosa,4,M . Thilai,21591,PRM,57,79
Selangor,N.48 Sentosa,5,Ps Rajoo,21592,BEBAS,1,95
Selangor,N.49 Sungai Kandis,1,Hanafiah Bin Husin,19982,PRM,57,76
Selangor,N.49 Sungai Kandis,2,Kamaruzzaman Bin Johari,21594,BN,25,11518
Selangor,N.49 Sungai Kandis,3,Shuhaimi Haji Shafiei,18329,PKR,11,23998
Selangor,N.49 Sungai Kandis,4,Mohd Yusof,21596,PAS,3,7573
Selangor,N.50 Kota Kemuning,1,Abdul Razak Ismail,11883,PSM,68,226
Selangor,N.50 Kota Kemuning,2,Burhan Bin Adnan,21598,PAS,3,6978
Selangor,N.50 Kota Kemuning,3,Ganabatirau Veraman,4844,PKR,11,28617
Selangor,N.50 Kota Kemuning,4,Tiew Hock Huat,21600,BN,25,4601
Selangor,N.50 Kota Kemuning,5,Rajasekaran,21601,BEBAS,1,93
Selangor,N.51 Sijangkang,1,Mohd Hamidi Bin Abu Bakar,21602,PKR,11,11011
Selangor,N.51 Sijangkang,2,Dato' Sulaiman Bin Mohd Karli,21603,BN,25,10420
Selangor,N.51 Sijangkang,3,Dr Ahmad Yunus Bin Hairi,17001,PAS,3,12688
Selangor,N.52 Banting,1,Ng Siok Hwa,21605,BN,25,4547
Selangor,N.52 Banting,2,Lau Weng San,18300,PKR,11,21846
Selangor,N.52 Banting,3,Philip Tan Choon Swee,21607,PRM,57,311
Selangor,N.53 Morib,1,Dr Mohd Sallehuddin Hafiz,21608,PAS,3,7329
Selangor,N.53 Morib,2,Hajjah Rozana,21609,BN,25,8883
Selangor,N.53 Morib,3,Haji Hasnul Bin Baharuddin,19993,PKR,11,11000
Selangor,N.54 Tanjong Sepat,1,Ir. Mohd Haslin Bin Hassan,18337,PAS,3,4273
Selangor,N.54 Tanjong Sepat,2,Haji Borhan Bin Aman Shah,21612,PKR,11,9828
Selangor,N.54 Tanjong Sepat,3,Dato Dr Karim Mansor,18338,BN,25,7124
Selangor,N.55 Dengkil,1,Adhif Syan Bin Abdullah,21614,PKR,11,21172
Selangor,N.55 Dengkil,2,Yusmi Haniff Bin Ariffin,21615,PAS,3,8422
Selangor,N.55 Dengkil,3,Shahrum Bin Mohd Sharif,19998,BN,25,14238
Selangor,N.56 Sungai Pelek,1,Dato' Ng Chok Sin,21617,BN,25,6898
Selangor,N.56 Sungai Pelek,2,Harry Arul Raj A/L Krishnan,21618,PAP,84,79
Selangor,N.56 Sungai Pelek,3,Ronnie Liu Tian Khiew,2740,PKR,11,13484
Selangor,N.56 Sungai Pelek,4,Hjh Rohaya Binti Datuk Mohd Shahir,21620,PAS,3,5200
