state,dun,area_name,ballot_order,name,candidate_uid,party,party_uid,votes
Terengganu,N.01 Kuala Besut,Kuala Besut,1,Abu Bakar Bin Ahmad,409,PERIKATAN,2,942
Terengganu,N.01 Kuala Besut,Kuala Besut,2,Haji Wan Said Bin Haji Mohd. Nor,5930,PAS,3,1303
Terengganu,N.01 Kuala Besut,Kuala Besut,3,Wan Ali Bin Jusoh,5931,SF,8,1058
Terengganu,N.02 Kampong Raja,Kampong Raja,1,Wan Ishak Bin Ali,5932,PERIKATAN,2,677
Terengganu,N.02 Kampong Raja,Kampong Raja,2,Mohd. Senari Bin Yunus,5933,PAS,3,1070
Terengganu,N.02 Kampong Raja,Kampong Raja,3,Wan Abdullah Bin Musa,5934,SF,8,379
Terengganu,N.02 Kampong Raja,Kampong Raja,4,Idris Bin Hassan,5935,NEG,9,305
Terengganu,N.03 Ulu Besut,Ulu Besut,1,Zainal Abidin Bin Mohamed Amin,5936,PERIKATAN,2,435
Terengganu,N.03 Ulu Besut,Ulu Besut,2,Husin Bin Jusoh,5937,PAS,3,1528
Terengganu,N.03 Ulu Besut,Ulu Besut,3,Ibrahim Bin Ismail,5938,SF,8,702
Terengganu,N.03 Ulu Besut,Ulu Besut,4,Mohd. Fauzi Bin Hussain,5939,NEG,9,173
Terengganu,N.04 Busut Tengah,Busut Tengah,1,Ismail Bin Yusof,5940,PERIKATAN,2,488
Terengganu,N.04 Busut Tengah,Busut Tengah,2,Haji Mohamed Bin Ismail,5941,PAS,3,1994
Terengganu,N.04 Busut Tengah,Busut Tengah,3,Omar Bin Ahmad,5288,NEG,9,235
Terengganu,N.05 Setiu,Setiu,1,Mohamad Yusoff Bin Hj. Md. Amin,5943,PERIKATAN,2,611
Terengganu,N.05 Setiu,Setiu,2,Mohd. Daud Bin Abdul Samad,410,PAS,3,1964
Terengganu,N.05 Setiu,Setiu,3,Abdul Ghani Bin Sulong,5945,SF,8,376
Terengganu,N.05 Setiu,Setiu,4,Che' Mohd. Zin Bin Haji Mohd. Amin,5946,NEG,9,80
Terengganu,N.06 Batu Rakit,Batu Rakit,1,Mohamed Amin Bin Mohamed,5947,SF,8,334
Terengganu,N.06 Batu Rakit,Batu Rakit,2,Haji Abdullah Bin Bidin,5948,NEG,9,974
Terengganu,N.06 Batu Rakit,Batu Rakit,3,Mohd. Rashid Bin Su Mahmud,5949,PAS,3,514
Terengganu,N.06 Batu Rakit,Batu Rakit,4,Mansor Bin Mohamed,5950,PERIKATAN,2,2267
Terengganu,N.07 Kuala Nerus,Kuala Nerus,1,Haji Abas Bin Haji Mohamed,5951,PAS,3,1655
Terengganu,N.07 Kuala Nerus,Kuala Nerus,2,Ibrahim Fikri,5952,PERIKATAN,2,1954
Terengganu,N.08 Jeram,Jeram,1,Mohamed Said Bin Abdullah,5953,PERIKATAN,2,1270
Terengganu,N.08 Jeram,Jeram,2,Ahmad Azzam,4729,PAS,3,1776
Terengganu,N.08 Jeram,Jeram,3,Syed Salleh Bin Mustafa,5955,NEG,9,442
Terengganu,N.09 Langkap,Langkap,1,Ngah Bin Awang,5956,PAS,3,685
Terengganu,N.09 Langkap,Langkap,2,Abdul Rahman Bin Long,5957,PERIKATAN,2,774
Terengganu,N.09 Langkap,Langkap,3,Ismail Bin Abas,5958,NEG,9,910
