state,dun,ballot_order,name,candidate_uid,party,party_uid,votes
Terengganu,N.01 Kuala Besut,1,Ustaz Husain Bin Awang,13341,PAS,3,3502
Terengganu,N.01 Kuala Besut,2,Dato' Wan Zakaria Bin Wan Abd. Rahman,13342,BN,25,3765
Terengganu,N.02 Kampung Raja,1,Haji Mohd Noor Bin Ismail,13343,S46,56,3869
Terengganu,N.02 Kampung Raja,2,Ustaz Abdullah Muhammad,13344,BN,25,4209
Terengganu,N.03 Jertih,1,Haji Abdul Majid Bin Ahmad,13345,BN,25,3785
Terengganu,N.03 Jertih,2,Ustaz Abdul Latif Mohamad,13346,PAS,3,4382
Terengganu,N.04 Hulu Besut,1,Daud Bin Abd Kadir,8869,PAS,3,3609
Terengganu,N.04 Hulu Besut,2,Haji Daud Bin Abu Bakar,13348,BN,25,4123
Terengganu,N.05 Jabi,1,Haji Hassan Bin Haji Said,7525,BN,25,3174
Terengganu,N.05 Jabi,2,Ustaz Haji Zahari Muhammad,13350,PAS,3,4210
Terengganu,N.06 Permaisuri,1,Shafi'I Bin Omar,5844,BN,25,4792
Terengganu,N.06 Permaisuri,2,Alias Bin Zainal,13352,S46,56,2883
Terengganu,N.07 Langkap,1,Ustaz Haji Mahmood Sulaiman,13353,PAS,3,2288
Terengganu,N.07 Langkap,2,Mamat Ghazalee Abd Rahman,13354,BN,25,3811
Terengganu,N.08 Batu Rakit,1,Hussain Bin Mohammad,13355,BEBAS,1,85
Terengganu,N.08 Batu Rakit,2,Dr. Abdul Wahab Bin Ngah,13356,BN,25,4008
Terengganu,N.08 Batu Rakit,3,Zulkifli Bin Chik,13357,S46,56,2629
Terengganu,N.09 Tepuh,1,Abdullah @ Wahab Bin Said,13358,BN,25,4966
Terengganu,N.09 Tepuh,2,Ustaz Haji Abu Bakar Bin Abdullah,6314,PAS,3,3924
Terengganu,N.10 Teluk Pasu,1,Ustaz Awang Abu Bakar,8893,PAS,3,4011
Terengganu,N.10 Teluk Pasu,2,Ustaz Hj. Abdul Rahman Bin Mohd,13361,BN,25,4642
Terengganu,N.11 Seberang Takir,1,Ustaz Haji Yong Bin Haji Mahmud,13362,S46,56,2092
Terengganu,N.11 Seberang Takir,2,Dato' Haji Abdul Rashid Bin Ngah,12232,BN,25,4925
Terengganu,N.12 Bukit Tunggal,1,Hj. Ahmad Kassim @ Ghazali Bin Hj. Endut,13364,BN,25,3150
Terengganu,N.12 Bukit Tunggal,2,Hj. Adam @ Hj. Mansor Bin Ali,13365,S46,56,3387
Terengganu,N.13 Bandar,1,Haji Harun Bin Jusoh,13366,PAS,3,4682
Terengganu,N.13 Bandar,2,Ng Chai Hing,13367,DAP,18,1519
Terengganu,N.13 Bandar,3,Wong Foon Meng,13368,BN,25,3956
Terengganu,N.13 Bandar,4,Ghazali Bin Mohamad,13369,BEBAS,1,99
Terengganu,N.14 Ladang,1,Dato' Abu Bakar Daud,2648,BN,25,5178
Terengganu,N.14 Ladang,2,Dato Haji Salleh Bin Ismail,13371,S46,56,3211
Terengganu,N.15 Batu Buruk,1,Rasid Bin Musa,13372,BEBAS,1,86
Terengganu,N.15 Batu Buruk,2,Wan Abd. Muttali Bin Embong,13373,PAS,3,6048
Terengganu,N.15 Batu Buruk,3,Haji Zulkifli Bin Mohd Nasir,13374,BN,25,5064
Terengganu,N.16 Wakaf Mempelam,1,Haji Mohd Abdul Wahid Bin Haji Endut,12236,PAS,3,6383
Terengganu,N.16 Wakaf Mempelam,2,Wan Deraman Bin Wan Nik,2033,BEBAS,1,104
Terengganu,N.16 Wakaf Mempelam,3,Abd. Latif Bin Mohd,1706,BN,25,5220
Terengganu,N.17 Serada,1,Hj. Yusof @ Jusoh Bin Musa,13378,BN,25,5077
Terengganu,N.17 Serada,2,Che Hashim @ Mohd Yasin,13379,S46,56,487
Terengganu,N.17 Serada,3,Ustaz Haji Kasim Bin Ahmad,13380,PAS,3,4293
Terengganu,N.18 Bukit Payung,1,Us. Hj. Baharudin Bin Mohd,13381,PAS,3,4163
Terengganu,N.18 Bukit Payung,2,Mazlan Bin Awang,12246,BN,25,4146
Terengganu,N.19 Ru Rendang,1,Ustaz Abdul Latif Bin Musa,13383,BN,25,3897
Terengganu,N.19 Ru Rendang,2,Haji Abdul Hadi Bin Haji Awang,10052,PAS,3,4750
Terengganu,N.20 Binjai,1,Ustaz Haji Muhamad Ali,13385,PAS,3,3749
Terengganu,N.20 Binjai,2,Hj. Muda Bin Mamat,13386,BN,25,4394
Terengganu,N.21 Telemung,1,Dato' Haji Ahmad Sidi Bin Ismail,13387,BN,25,4198
Terengganu,N.21 Telemung,2,Aziz Bin Ahmad,13388,S46,56,2286
Terengganu,N.22 Manir,1,Hj. Awang Abu Bakar B Sulong,13389,BN,25,3387
Terengganu,N.22 Manir,2,Hj. Harun Bin Taib,2035,PAS,3,3810
Terengganu,N.23 Kuala Berang,1,Daud Bin Hassan,13391,PAS,3,3080
Terengganu,N.23 Kuala Berang,2,Wan Muda Bin Mohd,11113,BN,25,4433
Terengganu,N.24 Tanggul,1,Tengku Sri Paduka Raja,13393,S46,56,3461
Terengganu,N.24 Tanggul,2,Haji Mustafa Bin Muda,2344,BN,25,3445
Terengganu,N.25 Mercang,1,Dr Muhammad Abdullah,13395,PAS,3,3804
Terengganu,N.25 Mercang,2,Haji Harun Bin Ali,13396,BN,25,3962
Terengganu,N.26 Jerangau,1,Muda Bin Abdullah,5961,BN,25,3713
Terengganu,N.26 Jerangau,2,Mohd Zawawi Bin Abdul Ghani,13398,S46,56,2253
Terengganu,N.27 Sura,1,Ibrahim Bin Awang,13399,BN,25,5350
Terengganu,N.27 Sura,2,Haji Mustafa Bin Ali,2038,PAS,3,4305
Terengganu,N.28 Paka,1,Engku Bijaya Sura,13401,BN,25,5557
Terengganu,N.28 Paka,2,Ustaz Ismail Haitami,13402,S46,56,4172
Terengganu,N.29 Kemasik,1,Bakar Bin Ali,13403,BN,25,4756
Terengganu,N.29 Kemasik,2,Yusof Bin Haji Tahir,12272,PAS,3,2347
Terengganu,N.30 Kijal,1,Ahmad Bin Said,5767,BN,25,4029
Terengganu,N.30 Kijal,2,Ustaz Haji Awang Dagang Yusof,13406,PAS,3,2195
Terengganu,N.31 Cukai,1,Dato' Wan Mokhtar Bin Ahmad,10067,BN,25,6206
Terengganu,N.31 Cukai,2,Dr. Haji Alias Bin Abdul Rahman,13408,S46,56,4422
Terengganu,N.32 Bukit Bandi,1,Harun Hasan,13409,BN,25,6153
Terengganu,N.32 Bukit Bandi,2,Omar Bakar,13410,S46,56,2788
