date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Johor,N.01 Bukit Serampang,1,90,Haji Hassan Bin Haji Yunos,PERIKATAN,1,UMNO,1,PERIKATAN,5429,76.80011317017966,1,won
1959-05-20,SE-01,Johor,N.01 Bukit Serampang,2,5667,Haji Abdul Rahman Bin Mahmood,BEBAS,0,BEBAS,0,ALONE,743,10.510680435705192,3,lost_deposit
1959-05-20,SE-01,Johor,N.01 Bukit Serampang,3,5668,Omar Bin Ahmad,NEG,7,NEG,0,ALONE,897,12.689206394115152,2,lost
1959-05-20,SE-01,Johor,N.02 Jorak,1,5664,Haji Othman Bin Haji Mohd. Saat,PERIKATAN,1,UMNO,1,PERIKATAN,6396,75.4957507082153,1,won
1959-05-20,SE-01,Johor,N.02 Jorak,2,5665,Haji Othman Bin Haji Azhari,NEG,7,NEG,0,ALONE,1742,20.561850802644006,2,lost
1959-05-20,SE-01,Johor,N.02 Jorak,3,5666,Turus Bin Daing Melebeh,PAS,4,PAS,0,ALONE,334,3.9423984891406985,3,lost_deposit
1959-05-20,SE-01,Johor,N.03 Labis,1,5677,Elias Bin Abu Bakar,PERIKATAN,1,UMNO,1,PERIKATAN,4112,83.67928367928369,1,won
1959-05-20,SE-01,Johor,N.03 Labis,2,5678,Abdul Wahab Bin Mohd. Yassin,NEG,7,NEG,0,ALONE,802,16.320716320716322,2,lost
1959-05-20,SE-01,Johor,N.04 Bekok,1,5675,Chia Chin Koon,PERIKATAN,3,MCA,1,PERIKATAN,2985,48.6235543248086,2,lost
1959-05-20,SE-01,Johor,N.04 Bekok,2,5676,Phang Voon Liat,BEBAS,0,BEBAS,0,ALONE,3154,51.3764456751914,1,won
1959-05-20,SE-01,Johor,N.05 Bandar Maharani,1,5657,Abd. Ghani Bin Hasim,SF,10,PR,2,SF,1812,18.934169278996865,2,lost
1959-05-20,SE-01,Johor,N.05 Bandar Maharani,2,5658,Chua Song Lim,PERIKATAN,3,MCA,1,PERIKATAN,6410,66.98014629049112,1,won
1959-05-20,SE-01,Johor,N.05 Bandar Maharani,3,5659,Nasir Bin Haji Bakar,NEG,7,NEG,0,ALONE,1348,14.085684430512016,3,lost
1959-05-20,SE-01,Johor,N.06 Parit Bakar,1,5654,Ali Bin Salleh,PAS,4,PAS,0,ALONE,291,4.11656528504739,3,lost_deposit
1959-05-20,SE-01,Johor,N.06 Parit Bakar,2,5655,Kosai Bin Haji Mohd. Salleh,PERIKATAN,1,UMNO,1,PERIKATAN,4874,68.94893195642948,1,won
1959-05-20,SE-01,Johor,N.06 Parit Bakar,3,5656,Mohamed Bin Junid,NEG,7,NEG,0,ALONE,1904,26.934502758523127,2,lost
1959-05-20,SE-01,Johor,N.07 Parit Jawa,1,5652,Twahir Bin Demangnatir,PAS,4,PAS,0,ALONE,1532,15.19238397461325,2,lost
1959-05-20,SE-01,Johor,N.07 Parit Jawa,2,5653,Suleiman Bin Ninam Shah,PERIKATAN,1,UMNO,1,PERIKATAN,8552,84.80761602538675,1,won
1959-05-20,SE-01,Johor,N.08 Simpang Kiri,1,5650,Tan Chin Cheong,PERIKATAN,3,MCA,1,PERIKATAN,6370,67.69394261424017,1,won
1959-05-20,SE-01,Johor,N.08 Simpang Kiri,2,5651,Haji Mahfoz Bin Haji Ali,NEG,7,NEG,0,ALONE,3040,32.30605738575983,2,lost
1959-05-20,SE-01,Johor,N.09 Broleh,1,5641,Abdul Wahid Bin Suleiman,PERIKATAN,1,UMNO,1,PERIKATAN,5384,55.94347464671654,1,won
1959-05-20,SE-01,Johor,N.09 Broleh,2,5642,Hj. Ahmad Bin H. Mohd. Paiman,NEG,7,NEG,0,ALONE,1998,20.76059850374065,3,lost
1959-05-20,SE-01,Johor,N.09 Broleh,3,5643,Abd. Manap Bin Jamhari,SF,10,PR,2,SF,2242,23.29592684954281,2,lost
1959-05-20,SE-01,Johor,N.10 Bandar Penggaram,1,5638,Wook Bin Ibrahim,NEG,7,NEG,0,ALONE,1233,21.620199894792215,2,lost
1959-05-20,SE-01,Johor,N.10 Bandar Penggaram,2,5639,Tan Peng Khoon,PERIKATAN,3,MCA,1,PERIKATAN,4470,78.37980010520779,1,won
1959-05-20,SE-01,Johor,N.11 Tanjong Sembrong,1,5647,Haji Mohamed Noor Bin Juma'At,PERIKATAN,1,UMNO,1,PERIKATAN,5739,68.84596928982725,1,won
1959-05-20,SE-01,Johor,N.11 Tanjong Sembrong,2,5648,Haji Abdul Hamid Bin Haji Abdul Karim,NEG,7,NEG,0,ALONE,2009,24.10028790786948,2,lost
1959-05-20,SE-01,Johor,N.11 Tanjong Sembrong,3,5649,Jalailani Bin Haji Abdullah,PAS,4,PAS,0,ALONE,588,7.053742802303263,3,lost_deposit
1959-05-20,SE-01,Johor,N.12 Ayer Hitam,1,5644,Haji Hassan Bin Haji Noor,NEG,7,NEG,0,ALONE,2041,24.40803635493901,2,lost
1959-05-20,SE-01,Johor,N.12 Ayer Hitam,2,5645,Noddin Bin Haji Hashim,PERIKATAN,1,UMNO,1,PERIKATAN,6005,71.81296340588375,1,won
1959-05-20,SE-01,Johor,N.12 Ayer Hitam,3,5646,Hashim Bin Irrakal,PAS,4,PAS,0,ALONE,316,3.7790002391772304,3,lost_deposit
1959-05-20,SE-01,Johor,N.13 Gunong Lambak,1,282,Lee Ah Leng,SF,5,LPM,2,SF,2615,50.87548638132296,1,won
1959-05-20,SE-01,Johor,N.13 Gunong Lambak,2,5635,Woo See Tiam,PERIKATAN,3,MCA,1,PERIKATAN,2525,49.12451361867704,2,lost
1959-05-20,SE-01,Johor,N.14 Sri Lalang,1,5636,Cheong Soo Kheng,PERIKATAN,3,MCA,1,PERIKATAN,2595,52.53036437246964,1,won
1959-05-20,SE-01,Johor,N.14 Sri Lalang,2,5637,Mohd. Zain Bin Mohamed,SF,10,PR,2,SF,2345,47.469635627530366,2,lost
1959-05-20,SE-01,Johor,N.15 Kota Tinggi,1,5610,Ismail Bin Sa'Adon,PERIKATAN,1,UMNO,1,PERIKATAN,2212,57.86031912110907,1,won
1959-05-20,SE-01,Johor,N.15 Kota Tinggi,2,5611,P. Subramaniam,SF,5,LPM,2,SF,974,25.477373790217108,2,lost
1959-05-20,SE-01,Johor,N.15 Kota Tinggi,3,2381,Ma'On Bin Omar,NEG,7,NEG,0,ALONE,637,16.662307088673817,3,lost
1959-05-20,SE-01,Johor,N.16 Johore Lama,1,5613,Lee Yeak Khim,PERIKATAN,3,MCA,1,PERIKATAN,2722,69.97429305912597,1,won
1959-05-20,SE-01,Johor,N.16 Johore Lama,2,5614,Syed Abu Bakar Bin Ja'Afar,NEG,7,NEG,0,ALONE,1168,30.025706940874038,2,lost
1959-05-20,SE-01,Johor,N.17 Rengit,1,284,A. Jamil Bin Sulaiman,PAS,4,PAS,0,ALONE,613,7.041929925330271,3,lost_deposit
1959-05-20,SE-01,Johor,N.17 Rengit,2,5630,Mohd. Don Bin Abdullah,NEG,7,NEG,0,ALONE,3189,36.63411832280299,2,lost
1959-05-20,SE-01,Johor,N.17 Rengit,3,5631,Hj. Taha Bin Hj. Zakaria,PERIKATAN,1,UMNO,1,PERIKATAN,4903,56.323951751866744,1,won
1959-05-20,SE-01,Johor,N.18 Benut,1,5627,Ab. Latif Bin Othman,PAS,4,PAS,0,ALONE,1109,13.17571581323512,3,lost
1959-05-20,SE-01,Johor,N.18 Benut,2,5628,Yeo Lin Thiam,BEBAS,0,BEBAS,0,ALONE,2530,30.058215516217178,2,lost
1959-05-20,SE-01,Johor,N.18 Benut,3,5629,Bachok Alias Haji Hashim,PERIKATAN,1,UMNO,1,PERIKATAN,4778,56.766068670547696,1,won
1959-05-20,SE-01,Johor,N.19 Pontian Dalam,1,5622,Lebi Mohamed Bin Yacob,PERIKATAN,1,UMNO,1,PERIKATAN,3458,47.3633748801534,1,won
1959-05-20,SE-01,Johor,N.19 Pontian Dalam,2,280,Zahid Bin Abdul Karim,SF,10,PR,2,SF,1864,25.530749212436653,2,lost
1959-05-20,SE-01,Johor,N.19 Pontian Dalam,3,5624,Haji Abdul Samad Bin Haji Mohamed Noor,NEG,7,NEG,0,ALONE,793,10.861525818381043,4,lost_deposit
1959-05-20,SE-01,Johor,N.19 Pontian Dalam,4,5625,Ahmad Bin Haji Hassan,PAS,4,PAS,0,ALONE,288,3.944665114367895,5,lost_deposit
1959-05-20,SE-01,Johor,N.19 Pontian Dalam,5,5626,Haji Omar Bin Haji Abdullah,BEBAS,0,BEBAS,0,ALONE,898,12.299684974661005,3,lost_deposit
1959-05-20,SE-01,Johor,N.20 Pontian Kechil,1,5640,Abdullah Bin Mohsin,PERIKATAN,1,UMNO,1,PERIKATAN,0,,1,won_uncontested
1959-05-20,SE-01,Johor,N.21 Rengam,1,5633,Alwi Bin Haji Jawal,NEG,7,NEG,0,ALONE,795,13.116647417917834,2,lost
1959-05-20,SE-01,Johor,N.21 Rengam,2,5634,Haji Ismail Bin Hassan,PERIKATAN,1,UMNO,1,PERIKATAN,5266,86.88335258208217,1,won
1959-05-20,SE-01,Johor,N.22 Senai-Kulai,1,5632,Soh Kim Siam,SF,5,LPM,2,SF,2963,50.468404019758125,1,won
1959-05-20,SE-01,Johor,N.22 Senai-Kulai,2,287,Chan Chong Wen,PERIKATAN,3,MCA,1,PERIKATAN,2908,49.53159598024187,2,lost
