date,election,state,seat,voters_total,ballots_issued,ballots_not_returned,votes_rejected,votes_valid,majority,n_candidates,voter_turnout,majority_perc,votes_rejected_perc,ballots_not_returned_perc
1959-05-20,SE-01,Johor,N.01 Bukit Serampang,8853,7265,0,196,7069,4532,3,82.06257765729131,64.1109067760645,2.6978664831383345,0.0
1959-05-20,SE-01,Johor,N.02 Jorak,11197,8660,0,188,8472,4654,3,77.34214521746895,54.933899905571295,2.1709006928406467,0.0
1959-05-20,SE-01,Johor,N.03 Labis,7519,5231,0,317,4914,3310,2,69.57042159861683,67.35856735856736,6.060026763525139,0.0
1959-05-20,SE-01,Johor,N.04 Bekok,8029,6317,0,178,6139,169,2,78.67729480632707,2.7528913503827983,2.8177932562925436,0.0
1959-05-20,SE-01,Johor,N.05 Bandar Maharani,12762,9661,0,91,9570,4598,3,75.70130073656168,48.04597701149425,0.9419314770727667,0.0
1959-05-20,SE-01,Johor,N.06 Parit Bakar,10122,7172,0,103,7069,2970,3,70.8555621418692,42.01442919790635,1.4361405465699946,0.0
1959-05-20,SE-01,Johor,N.07 Parit Jawa,13093,10302,0,218,10084,7020,2,78.68326586725732,69.6152320507735,2.1160939623374104,0.0
1959-05-20,SE-01,Johor,N.08 Simpang Kiri,12613,9584,0,174,9410,3330,2,75.98509474351859,35.38788522848034,1.815525876460768,0.0
1959-05-20,SE-01,Johor,N.09 Broleh,12845,9757,0,133,9624,3142,3,75.95951732191514,32.64754779717373,1.363123911038229,0.0
1959-05-20,SE-01,Johor,N.10 Bandar Penggaram,8245,5782,0,79,5703,3237,2,70.12734990903577,56.75960021041557,1.3663092355586302,0.0
1959-05-20,SE-01,Johor,N.11 Tanjong Sembrong,11343,8515,0,179,8336,3730,3,75.06832407652297,44.74568138195777,2.1021726365237816,0.0
1959-05-20,SE-01,Johor,N.12 Ayer Hitam,11499,8472,0,110,8362,3964,3,73.67597182363684,47.40492705094475,1.2983947119924457,0.0
1959-05-20,SE-01,Johor,N.13 Gunong Lambak,6777,5311,0,171,5140,90,2,78.36800944370665,1.7509727626459144,3.2197326303897573,0.0
1959-05-20,SE-01,Johor,N.14 Sri Lalang,6806,5006,0,66,4940,250,2,73.55274757566853,5.060728744939271,1.3184178985217738,0.0
1959-05-20,SE-01,Johor,N.15 Kota Tinggi,5542,3906,0,83,3823,1238,3,70.47997112955612,32.38294533089197,2.124935995903738,0.0
1959-05-20,SE-01,Johor,N.16 Johore Lama,5444,3984,0,94,3890,1554,2,73.18148420279206,39.948586118251924,2.359437751004016,0.0
1959-05-20,SE-01,Johor,N.17 Rengit,10910,8944,0,239,8705,1714,3,81.97983501374885,19.689833429063757,2.6721824686940967,0.0
1959-05-20,SE-01,Johor,N.18 Benut,11440,8935,0,518,8417,2248,3,78.10314685314685,26.707853154330525,5.797425853385563,0.0
1959-05-20,SE-01,Johor,N.19 Pontian Dalam,9679,7475,0,174,7301,1594,5,77.22905258807728,21.83262566771675,2.327759197324415,0.0
1959-05-20,SE-01,Johor,N.20 Pontian Kechil,9060,0,0,0,0,0,1,,,,
