date,election,state,seat,voters_total,ballots_issued,ballots_not_returned,votes_rejected,votes_valid,majority,n_candidates,voter_turnout,majority_perc,votes_rejected_perc,ballots_not_returned_perc
1959-05-20,SE-01,Kelantan,N.01 Tumpat Barat,7919,5467,0,95,5372,3191,3,69.03649450688218,59.4005956813105,1.7376989207975122,0.0
1959-05-20,SE-01,Kelantan,N.02 Tumpat Tengah,8370,5881,0,119,5762,53,4,70.26284348864993,0.9198195071155848,2.0234653970413197,0.0
1959-05-20,SE-01,Kelantan,N.03 Tumpat Timor,8094,6321,0,98,6223,715,2,78.09488510007412,11.489635224168406,1.550387596899225,0.0
1959-05-20,SE-01,Kelantan,N.04 Kuala Kelantan,7345,5408,0,151,5257,1375,3,73.6283185840708,26.155602054403655,2.7921597633136095,0.0
1959-05-20,SE-01,Kelantan,N.05 Kota Bharu Utara,8014,6040,0,122,5918,2164,4,75.36810581482406,36.566407570125044,2.019867549668874,0.0
1959-05-20,SE-01,Kelantan,N.06 Kota Bharu Pantai,8616,6401,0,114,6287,3215,4,74.2920148560817,51.1372673771274,1.7809717231682551,0.0
1959-05-20,SE-01,Kelantan,N.07 Meranti,6908,5363,0,34,5329,4649,2,77.63462651997683,87.23963220116345,0.6339735222823046,0.0
1959-05-20,SE-01,Kelantan,N.08 Tendong,7546,5941,0,81,5860,3001,5,78.73045322024915,51.21160409556313,1.3634068338663525,0.0
1959-05-20,SE-01,Kelantan,N.09 Bandar Pasir Mas,7437,5518,0,61,5457,1942,3,74.19658464434585,35.58731903976544,1.1054729974628488,0.0
1959-05-20,SE-01,Kelantan,N.10 Bandar Hilir,7497,5290,0,35,5255,1282,5,70.56155795651594,24.39581351094196,0.6616257088846881,0.0
1959-05-20,SE-01,Kelantan,N.11 Bandar Hulu,8563,5595,0,78,5517,1272,4,65.33925026275837,23.05600870038064,1.394101876675603,0.0
1959-05-20,SE-01,Kelantan,N.12 Kota Bharu Tengah,8118,6211,0,129,6082,3151,4,76.5089923626509,51.80861558697797,2.0769602318467237,0.0
1959-05-20,SE-01,Kelantan,N.13 Bachok Utara,9546,7276,0,207,7069,4267,3,76.2204064529646,60.362144574904505,2.844969763606377,0.0
1959-05-20,SE-01,Kelantan,N.14 Bachok Tengah,8104,6373,0,251,6122,3511,4,78.64017769002962,57.35053903952957,3.938490506825671,0.0
1959-05-20,SE-01,Kelantan,N.15 Bachok Selatan,7732,6023,0,95,5928,3278,5,77.89705121572685,55.29689608636977,1.5772870662460567,0.0
1959-05-20,SE-01,Kelantan,N.16 Kota Bharu Timor,9158,7003,0,138,6865,3704,4,76.4686612797554,53.95484340859432,1.9705840354133943,0.0
1959-05-20,SE-01,Kelantan,N.17 Kota Bharu Barat,9294,7280,0,137,7143,4506,4,78.3301054443727,63.08273834523309,1.8818681318681318,0.0
1959-05-20,SE-01,Kelantan,N.18 Kota Bharu Selatan,8969,6897,0,67,6830,3707,5,76.89820492808562,54.27525622254758,0.9714368566043207,0.0
1959-05-20,SE-01,Kelantan,N.19 Rantau Panjang,5412,3897,0,69,3828,1280,3,72.00665188470067,33.437826541274816,1.770592763664357,0.0
1959-05-20,SE-01,Kelantan,N.20 Lemal,5916,4593,0,99,4494,2297,3,77.6369168356998,51.11259457053849,2.155453951665578,0.0
1959-05-20,SE-01,Kelantan,N.21 Tok Uban,7036,5639,0,67,5572,3206,2,80.14496873223422,57.537688442211056,1.1881539280014186,0.0
1959-05-20,SE-01,Kelantan,N.22 Pasir Puteh Utara,8300,6588,0,116,6472,3392,4,79.37349397590361,52.41038318912238,1.7607771706132362,0.0
1959-05-20,SE-01,Kelantan,N.23 Pasir Puteh Tengah,8518,6570,0,161,6409,539,3,77.13078187367927,8.410048369480418,2.450532724505327,0.0
1959-05-20,SE-01,Kelantan,N.24 Pasir Puteh Tenggara,9508,7440,0,161,7279,2661,3,78.24989482541018,36.55721939826899,2.163978494623656,0.0
1959-05-20,SE-01,Kelantan,N.25 Machang Utara,9611,8077,0,148,7929,1632,3,84.03912183955885,20.582671206961788,1.8323635012999877,0.0
1959-05-20,SE-01,Kelantan,N.26 Tanah Merah Timor,8865,6613,0,178,6435,1090,4,74.59672870840383,16.93861693861694,2.691667926810827,0.0
1959-05-20,SE-01,Kelantan,N.27 Tanah Merah Barat,7317,6020,0,189,5831,2480,5,82.27415607489408,42.53129823357914,3.1395348837209305,0.0
1959-05-20,SE-01,Kelantan,N.28 Machang Selatan,9636,7727,0,82,7645,1779,4,80.18887505188876,23.270111183780248,1.06121392519736,0.0
1959-05-20,SE-01,Kelantan,N.29 Ulu Kelantan Timor,8451,6153,0,211,5942,1073,4,72.80795172168975,18.057892965331536,3.4292215179587195,0.0
1959-05-20,SE-01,Kelantan,N.30 Ulu Kelantan Barat,4752,4007,0,54,3953,346,6,84.32239057239057,8.752845939792563,1.3476416271524831,0.0
1964-04-25,SE-02,Kelantan,N.01 Tumpat Barat,8237,6454,0,329,6125,2043,2,78.35376957630206,33.35510204081633,5.097613882863341,0.0
1964-04-25,SE-02,Kelantan,N.02 Tumpat Tengah,9154,7561,0,396,7165,1269,2,82.59777146602578,17.711095603628753,5.237402459992064,0.0
1964-04-25,SE-02,Kelantan,N.03 Tumpat Timor,8496,7214,0,295,6919,653,2,84.9105461393597,9.43778002601532,4.0892708622123655,0.0
1964-04-25,SE-02,Kelantan,N.04 Kuala Kelantan,7407,5803,0,304,5499,643,2,78.34480896449305,11.693035097290416,5.238669653627434,0.0
1964-04-25,SE-02,Kelantan,N.05 Kota Bharu Utara,9233,7267,0,349,6918,3132,2,78.7068125203076,45.27320034692108,4.802531993945232,0.0
1964-04-25,SE-02,Kelantan,N.06 Kota Bharu Pantai,8811,7098,0,343,6755,2507,2,80.55839291794348,37.11324944485566,4.832347140039447,0.0
1964-04-25,SE-02,Kelantan,N.07 Meranti,7605,5754,0,124,5630,4766,2,75.66074950690336,84.65364120781528,2.1550225929787974,0.0
1964-04-25,SE-02,Kelantan,N.08 Tendong,8536,6911,0,250,6661,2171,2,80.96298031865042,32.5927037982285,3.617421501953408,0.0
1964-04-25,SE-02,Kelantan,N.09 Bandar Pasir Mas,8523,6584,0,220,6364,1188,2,77.24979467323713,18.667504714016342,3.341433778857837,0.0
1964-04-25,SE-02,Kelantan,N.10 Bandar Hilir,9492,7153,0,283,6870,2444,2,75.35819637589549,35.574963609898106,3.956381937648539,0.0
1964-04-25,SE-02,Kelantan,N.11 Bandar Hulu,12222,8622,0,367,8255,63,2,70.54491899852725,0.7631738340399757,4.2565530039434005,0.0
1964-04-25,SE-02,Kelantan,N.12 Kota Bharu Tengah,9228,7547,0,335,7212,2236,2,81.78370177719982,31.003882418191903,4.438849874122168,0.0
1964-04-25,SE-02,Kelantan,N.13 Bachok Utara,9204,7784,0,438,7346,1724,2,84.57192524989135,23.468554315273618,5.626927029804728,0.0
1964-04-25,SE-02,Kelantan,N.14 Bachok Tengah,8552,7099,0,332,6767,1849,2,83.00982226379794,27.32377715383479,4.676715030285956,0.0
1964-04-25,SE-02,Kelantan,N.15 Bachok Selatan,8518,6967,0,302,6665,855,2,81.79150035219536,12.828207051762941,4.334720826754701,0.0
1964-04-25,SE-02,Kelantan,N.16 Kota Bharu Timor,10093,7952,0,350,7602,1884,2,78.78727831170119,24.78295185477506,4.401408450704225,0.0
1964-04-25,SE-02,Kelantan,N.17 Kota Bharu Barat,9483,7884,0,384,7500,4074,2,83.13824739006644,54.32,4.87062404870624,0.0
1964-04-25,SE-02,Kelantan,N.18 Kota Bharu Selatan,10402,8727,0,366,8361,1551,2,83.89732743703135,18.550412630068173,4.193881058783087,0.0
1964-04-25,SE-02,Kelantan,N.19 Rantau Panjang,6643,4791,0,177,4614,1100,2,72.12102965527623,23.840485478977026,3.6944270507201002,0.0
1964-04-25,SE-02,Kelantan,N.20 Lemal,6611,5170,0,251,4919,1667,2,78.20299500831946,33.88900182964017,4.854932301740813,0.0
1964-04-25,SE-02,Kelantan,N.21 Tok Uban,7510,6027,0,343,5684,1668,2,80.25299600532622,29.345531315974664,5.691056910569105,0.0
1964-04-25,SE-02,Kelantan,N.22 Pasir Puteh Utara,8789,7386,0,400,6986,1162,2,84.03686426214585,16.63326653306613,5.415651232060656,0.0
1964-04-25,SE-02,Kelantan,N.23 Pasir Puteh Tengah,9033,7800,0,342,7458,460,2,86.35004981733644,6.167873424510593,4.384615384615385,0.0
1964-04-25,SE-02,Kelantan,N.24 Pasir Puteh Tenggara,9220,8047,0,455,7592,590,2,87.27765726681127,7.771338250790305,5.654281098546042,0.0
1964-04-25,SE-02,Kelantan,N.25 Machang Utara,10333,8775,0,342,8433,133,2,84.9220942611052,1.577137436262303,3.897435897435898,0.0
