date,election,state,seat,voters_total,ballots_issued,ballots_not_returned,votes_rejected,votes_valid,majority,n_candidates,voter_turnout,majority_perc,votes_rejected_perc,ballots_not_returned_perc
1959-05-20,SE-01,Melaka,N.01 Tanjong Kling,4748,3798,0,46,3752,2742,2,79.99157540016849,73.08102345415777,1.2111637704054765,0.0
1959-05-20,SE-01,Melaka,N.02 Bukit Rambai,4091,2994,0,58,2936,1654,2,73.18504033243705,56.335149863760215,1.9372077488309953,0.0
1959-05-20,SE-01,Melaka,N.03 Batu Berendam,4771,4059,0,60,3999,815,2,85.07650387759381,20.38009502375594,1.4781966001478197,0.0
1959-05-20,SE-01,Melaka,N.04 Semabok,5009,3846,0,59,3787,1777,2,76.78179277300859,46.92368629522049,1.534061362454498,0.0
1959-05-20,SE-01,Melaka,N.05 Kandang,4876,4041,0,56,3985,1709,2,82.87530762920426,42.88582183186951,1.3857955951497154,0.0
1959-05-20,SE-01,Melaka,N.06 Kota Selatan,6313,4397,0,43,4354,255,3,69.64992871851734,5.856683509416628,0.977939504207414,0.0
1959-05-20,SE-01,Melaka,N.07 Kota Tengah,3688,2822,0,29,2793,268,3,76.51843817787419,9.595417114214106,1.0276399716513112,0.0
1959-05-20,SE-01,Melaka,N.08 Kota Barat,4238,3104,0,51,3053,832,4,73.2420953279849,27.251883393383558,1.6430412371134022,0.0
1959-05-20,SE-01,Melaka,N.09 Kota Utara,3775,2622,0,34,2588,1050,3,69.45695364238411,40.57187017001546,1.2967200610221206,0.0
1959-05-20,SE-01,Melaka,N.10 Kota Timor,4323,3175,0,36,3139,24,4,73.44436733749711,0.7645747053201656,1.1338582677165354,0.0
1959-05-20,SE-01,Melaka,N.11 Sungei Bharu,6002,4983,0,62,4921,1213,2,83.02232589136955,24.649461491566754,1.2442303833032309,0.0
1959-05-20,SE-01,Melaka,N.12 Ramuan China,3982,3387,0,50,3337,955,2,85.05775991963837,28.61851962840875,1.4762326542663124,0.0
1959-05-20,SE-01,Melaka,N.13 Masjid Tanah,4484,3508,0,99,3409,1611,2,78.23371989295272,47.25726019360516,2.82212086659065,0.0
1959-05-20,SE-01,Melaka,N.14 Alor Gajah,4487,3680,0,77,3603,2547,2,82.01470915979496,70.69109075770191,2.092391304347826,0.0
1959-05-20,SE-01,Melaka,N.15 Pulau Sebang,3975,3110,0,43,3067,1231,2,78.23899371069183,40.13694163677861,1.382636655948553,0.0
1959-05-20,SE-01,Melaka,N.16 Batang Malaka,5840,4661,0,148,4513,911,2,79.81164383561644,20.18612896077997,3.1752842737609956,0.0
1959-05-20,SE-01,Melaka,N.17 Rim,5104,4314,0,117,4197,2875,2,84.52194357366771,68.50131045985228,2.7121001390820583,0.0
1959-05-20,SE-01,Melaka,N.18 Jasin,5202,4003,0,107,3896,2138,2,76.95117262591312,54.87679671457906,2.67299525355983,0.0
1959-05-20,SE-01,Melaka,N.19 Serkam,4329,3568,0,48,3520,1194,2,82.42088242088242,33.92045454545455,1.345291479820628,0.0
1959-05-20,SE-01,Melaka,N.20 Sungei Rambai,4500,3536,0,85,3451,1241,2,78.57777777777778,35.960591133004925,2.403846153846154,0.0
1964-04-25,SE-02,Melaka,N.01 Tanjong Kling,5920,4970,0,145,4825,3185,3,83.9527027027027,66.01036269430051,2.9175050301810868,0.0
1964-04-25,SE-02,Melaka,N.02 Bukit Rambai,5630,4665,0,160,4505,1977,3,82.85968028419182,43.884572697003335,3.429796355841372,0.0
1964-04-25,SE-02,Melaka,N.03 Batu Berendam,6415,5475,0,204,5271,1699,3,85.34684333593141,32.23297287042307,3.7260273972602738,0.0
1964-04-25,SE-02,Melaka,N.04 Semabok,6460,5374,0,250,5124,2474,3,83.18885448916409,48.28259172521467,4.652028284331969,0.0
1964-04-25,SE-02,Melaka,N.05 Kandang,6144,5275,0,236,5039,3642,3,85.85611979166666,72.27624528676326,4.4739336492890995,0.0
1964-04-25,SE-02,Melaka,N.06 Kota Selatan,8801,7609,0,126,7483,308,3,86.4560845358482,4.11599625818522,1.6559337626494939,0.0
1964-04-25,SE-02,Melaka,N.07 Kota Tengah,5616,4855,0,65,4790,194,3,86.4494301994302,4.050104384133612,1.3388259526261586,0.0
1964-04-25,SE-02,Melaka,N.08 Kota Barat,6125,5232,0,99,5133,1251,3,85.42040816326531,24.371712448860315,1.8922018348623855,0.0
1964-04-25,SE-02,Melaka,N.09 Kota Utara,5584,4701,0,98,4603,1747,2,84.18696275071633,37.95350858135998,2.0846628376941077,0.0
1964-04-25,SE-02,Melaka,N.10 Kota Timor,7022,5992,0,130,5862,437,4,85.33181429792081,7.454793585806891,2.1695594125500666,0.0
1964-04-25,SE-02,Melaka,N.11 Sungei Bharu,7149,6151,0,246,5905,3165,3,86.04000559518813,53.598645215918715,3.999349699235897,0.0
1964-04-25,SE-02,Melaka,N.12 Ramuan China,5237,4424,0,170,4254,1951,3,84.47584494939852,45.862717442407146,3.842676311030741,0.0
1964-04-25,SE-02,Melaka,N.13 Masjid Tanah,6209,4997,0,229,4768,2533,3,80.47994846191014,53.125,4.582749649789874,0.0
1964-04-25,SE-02,Melaka,N.14 Alor Gajah,5497,4734,0,212,4522,2464,3,86.11970165544842,54.4891640866873,4.478242501056189,0.0
1964-04-25,SE-02,Melaka,N.15 Pulau Sebang,5351,4435,0,175,4260,1527,3,82.88170435432629,35.845070422535215,3.9458850056369785,0.0
1964-04-25,SE-02,Melaka,N.16 Batang Malaka,8158,6920,0,248,6672,2030,2,84.82471193920078,30.425659472422062,3.5838150289017343,0.0
1964-04-25,SE-02,Melaka,N.17 Rim,6616,5577,0,181,5396,2618,2,84.2956469165659,48.51742031134174,3.2454724762417073,0.0
1964-04-25,SE-02,Melaka,N.18 Jasin,6662,5472,0,209,5263,2427,2,82.13749624737316,46.11438343150295,3.8194444444444446,0.0
1964-04-25,SE-02,Melaka,N.19 Serkam,5430,4490,0,237,4253,1429,3,82.68876611418048,33.59981189748413,5.278396436525613,0.0
1964-04-25,SE-02,Melaka,N.20 Sungei Rambai,5559,4478,0,220,4258,1661,3,80.55405648497931,39.00892437764208,4.912907548012506,0.0
1969-05-10,SE-03,Melaka,N.01 Tanjong Kling,6901,5400,0,282,5118,1243,3,78.24952905376033,24.286830793278625,5.222222222222222,0.0
1969-05-10,SE-03,Melaka,N.02 Bukit Rambai,6448,4911,0,314,4597,113,4,76.16315136476427,2.4581248640417663,6.39380981470169,0.0
