date,election,state,seat,voters_total,ballots_issued,ballots_not_returned,votes_rejected,votes_valid,majority,n_candidates,voter_turnout,majority_perc,votes_rejected_perc,ballots_not_returned_perc
1959-05-20,SE-01,Negeri Sembilan,N.01 Sri Menanti,6123,4950,0,84,4866,1737,3,80.84272415482606,35.69667077681874,1.6969696969696972,0.0
1959-05-20,SE-01,Negeri Sembilan,N.02 Johol,5398,4231,0,175,4056,1165,3,78.38088180807706,28.722879684418146,4.136138028834791,0.0
1959-05-20,SE-01,Negeri Sembilan,N.03 Ulu Muar,5760,4751,0,111,4640,2396,2,82.48263888888889,51.637931034482754,2.336350242054304,0.0
1959-05-20,SE-01,Negeri Sembilan,N.04 Pilah,5392,4346,0,59,4287,1068,3,80.60089020771514,24.91252624212736,1.3575701794753796,0.0
1959-05-20,SE-01,Negeri Sembilan,N.05 Rantau,4885,3949,0,83,3866,524,3,80.83930399181168,13.55406104500776,2.101797923524943,0.0
1959-05-20,SE-01,Negeri Sembilan,N.06 Sungei Ujong,6924,4899,0,94,4805,692,4,70.75389948006932,14.401664932362124,1.918758930393958,0.0
1959-05-20,SE-01,Negeri Sembilan,N.07 Rahang,6869,4451,0,51,4400,126,2,64.79836948609696,2.8636363636363638,1.1458099303527296,0.0
1959-05-20,SE-01,Negeri Sembilan,N.08 Terentang,4506,3661,0,76,3585,522,4,81.24722592099423,14.560669456066947,2.0759355367385957,0.0
1959-05-20,SE-01,Negeri Sembilan,N.09 Kota,5321,4450,0,75,4375,405,3,83.63089644803608,9.257142857142856,1.6853932584269662,0.0
1959-05-20,SE-01,Negeri Sembilan,N.10 Tampin,4760,3952,0,76,3876,1957,3,83.02521008403362,50.49019607843137,1.9230769230769231,0.0
1959-05-20,SE-01,Negeri Sembilan,N.11 Gemas,3984,3297,0,69,3228,540,3,82.75602409638554,16.728624535315987,2.0928116469517746,0.0
1959-05-20,SE-01,Negeri Sembilan,N.12 Jimah,3227,2723,0,34,2689,1653,2,84.3817787418655,61.472666418743025,1.2486228424531767,0.0
1959-05-20,SE-01,Negeri Sembilan,N.13 Lukut,1573,1374,0,40,1334,186,2,87.3490146217419,13.943028485757122,2.911208151382824,0.0
1959-05-20,SE-01,Negeri Sembilan,N.14 Si Rusa,4535,3547,0,100,3447,1866,4,78.21389195148842,54.13402959094865,2.8192839018889204,0.0
1959-05-20,SE-01,Negeri Sembilan,N.15 Pasir Panjang,3811,3221,0,81,3140,796,4,84.51849908160588,25.35031847133758,2.5147469729897547,0.0
1959-05-20,SE-01,Negeri Sembilan,N.16 Linggi,2617,2186,0,55,2131,555,3,83.53076041268628,26.04411074612858,2.516010978956999,0.0
1959-05-20,SE-01,Negeri Sembilan,N.17 Kuala Klawang,5010,4279,0,78,4201,1819,2,85.40918163672654,43.29921447274459,1.822855807431643,0.0
1959-05-20,SE-01,Negeri Sembilan,N.18 Pertang,3217,2714,0,61,2653,245,3,84.36431457880012,9.234828496042216,2.2476050110537953,0.0
1959-05-20,SE-01,Negeri Sembilan,N.19 Bahau,3751,3157,0,99,3058,247,3,84.1642228739003,8.077174623937214,3.1358885017421603,0.0
1959-05-20,SE-01,Negeri Sembilan,N.20 Rompin,4555,3414,0,111,3303,131,3,74.95060373216246,3.966091432031486,3.2513181019332165,0.0
1959-05-20,SE-01,Negeri Sembilan,N.21 Jempol,4377,3452,0,61,3391,2125,2,78.86680374685858,62.66588027130639,1.7670915411355737,0.0
1959-05-20,SE-01,Negeri Sembilan,N.22 Lenggeng,5838,4697,0,215,4482,1382,4,80.45563549160671,30.834448906738064,4.577389823291463,0.0
1959-05-20,SE-01,Negeri Sembilan,N.23 Labu,4067,3455,0,83,3372,874,4,84.95205311040078,25.919335705812575,2.402315484804631,0.0
1959-05-20,SE-01,Negeri Sembilan,N.24 Bukit Nanas,4836,3750,0,52,3698,106,2,77.54342431761788,2.8664142779881017,1.3866666666666667,0.0
1964-04-25,SE-02,Negeri Sembilan,N.01 Sri Menanti,7108,5820,0,229,5591,3616,3,81.87957231288688,64.67537113217672,3.9347079037800685,0.0
1964-04-25,SE-02,Negeri Sembilan,N.02 Johol,5957,4925,0,323,4602,1451,5,82.67584354540877,31.529769665362885,6.558375634517767,0.0
1964-04-25,SE-02,Negeri Sembilan,N.03 Ulu Muar,6446,5371,0,298,5073,2185,3,83.32299100217189,43.07116104868914,5.5483150251349835,0.0
1964-04-25,SE-02,Negeri Sembilan,N.04 Pilah,6624,5388,0,201,5187,1586,3,81.34057971014492,30.576441102756892,3.7305122494432075,0.0
1964-04-25,SE-02,Negeri Sembilan,N.05 Rantau,6456,5201,0,229,4972,1945,3,80.56071871127634,39.11906677393403,4.402999423187849,0.0
1964-04-25,SE-02,Negeri Sembilan,N.06 Sungei Ujong,13007,9630,0,301,9329,1723,4,74.03705696932421,18.469289312895274,3.1256490134994803,0.0
1964-04-25,SE-02,Negeri Sembilan,N.07 Rahang,9541,7755,0,218,7537,1541,3,81.2807881773399,20.44580071646544,2.8110896196002577,0.0
1964-04-25,SE-02,Negeri Sembilan,N.08 Terentang,5114,4060,0,228,3832,718,4,79.38991005084083,18.73695198329854,5.615763546798029,0.0
1964-04-25,SE-02,Negeri Sembilan,N.09 Kota,6034,5013,0,207,4806,2056,3,83.07921776599271,42.77985851019559,4.129263913824058,0.0
1964-04-25,SE-02,Negeri Sembilan,N.10 Tampin,6869,5741,0,180,5561,1878,3,83.57839569078469,33.770904513576696,3.1353422748650064,0.0
1964-04-25,SE-02,Negeri Sembilan,N.11 Gemas,4970,4066,0,185,3881,1275,2,81.81086519114689,32.852357639783555,4.549926217412691,0.0
1964-04-25,SE-02,Negeri Sembilan,N.12 Jimah,5154,3962,0,290,3672,263,5,76.87233216918898,7.162309368191721,7.319535588086825,0.0
1964-04-25,SE-02,Negeri Sembilan,N.13 Lukut,2650,2032,0,120,1912,1008,4,76.67924528301887,52.719665271966534,5.905511811023622,0.0
1964-04-25,SE-02,Negeri Sembilan,N.14 Si Rusa,6070,4544,0,170,4374,1044,3,74.85996705107084,23.868312757201647,3.7411971830985915,0.0
1964-04-25,SE-02,Negeri Sembilan,N.15 Pasir Panjang,4792,3889,0,160,3729,907,3,81.15609348914859,24.322874765352644,4.114168166623811,0.0
1964-04-25,SE-02,Negeri Sembilan,N.16 Linggi,3417,2808,0,203,2605,755,2,82.17734855136084,28.982725527831093,7.229344729344729,0.0
1964-04-25,SE-02,Negeri Sembilan,N.17 Kuala Klawang,6771,5559,0,215,5344,2342,2,82.10013291980505,43.8248502994012,3.867602086706242,0.0
1964-04-25,SE-02,Negeri Sembilan,N.18 Pertang,4139,3566,0,119,3447,1374,4,86.1560763469437,39.860748476936465,3.3370723499719577,0.0
1964-04-25,SE-02,Negeri Sembilan,N.19 Bahau,6012,4777,0,205,4572,1314,3,79.45775116433799,28.74015748031496,4.291396273812016,0.0
1964-04-25,SE-02,Negeri Sembilan,N.20 Rompin,5417,3986,0,238,3748,606,2,73.58316411297766,16.16862326574173,5.970898143502258,0.0
1964-04-25,SE-02,Negeri Sembilan,N.21 Jempol,4808,4103,0,167,3936,2254,5,85.3369384359401,57.266260162601625,4.070192542042408,0.0
1964-04-25,SE-02,Negeri Sembilan,N.22 Lenggeng,8214,6790,0,279,6511,1533,3,82.66374482590699,23.544770388573184,4.108983799705449,0.0
1964-04-25,SE-02,Negeri Sembilan,N.23 Labu,6353,4985,0,192,4793,1019,3,78.4668660475366,21.260171082829128,3.851554663991976,0.0
1964-04-25,SE-02,Negeri Sembilan,N.24 Bukit Nanas,10191,7839,0,281,7558,1403,3,76.9208124816014,18.563111934374174,3.5846408980737343,0.0
1969-05-10,SE-03,Negeri Sembilan,N.01 Sri Menanti,7145,5480,0,366,5114,1786,2,76.69699090272918,34.92373875635511,6.67883211678832,0.0
1969-05-10,SE-03,Negeri Sembilan,N.02 Johol,6165,4774,0,402,4372,1228,2,77.43714517437145,28.08783165599268,8.420611646418099,0.0
1969-05-10,SE-03,Negeri Sembilan,N.03 Ulu Muar,6792,5469,0,447,5022,1826,3,80.52120141342756,36.3600159299084,8.173340647284695,0.0
1969-05-10,SE-03,Negeri Sembilan,N.04 Pilah,7016,5454,0,358,5096,6,4,77.73660205245154,0.11773940345368916,6.563989732306565,0.0
1969-05-10,SE-03,Negeri Sembilan,N.05 Rantau,6622,5052,0,256,4796,609,3,76.29115070975536,12.698081734778983,5.067300079176563,0.0
1969-05-10,SE-03,Negeri Sembilan,N.06 Sungei Ujong,15934,11014,0,543,10471,2830,4,69.1226308522656,27.027027027027028,4.93008897766479,0.0
1969-05-10,SE-03,Negeri Sembilan,N.07 Rahang,9666,7141,0,252,6889,3145,3,73.87750879370991,45.652489475976196,3.5289175185548243,0.0
1969-05-10,SE-03,Negeri Sembilan,N.08 Terentang,5777,4221,0,169,4052,1608,2,73.06560498528648,39.684106614017765,4.0037905709547505,0.0
1969-05-10,SE-03,Negeri Sembilan,N.09 Kota,6234,5071,0,114,4957,1625,2,81.34424125761952,32.7819245511398,2.2480773023072373,0.0
1969-05-10,SE-03,Negeri Sembilan,N.10 Tampin,8022,0,0,0,0,0,1,,,,
1969-05-10,SE-03,Negeri Sembilan,N.11 Gemas,7112,5266,0,75,5191,2173,2,74.04386951631045,41.860913118859564,1.4242309153057349,0.0
1969-05-10,SE-03,Negeri Sembilan,N.12 Jimah,5874,4335,0,198,4137,897,4,73.79979570990807,21.682378535170415,4.567474048442906,0.0
1969-05-10,SE-03,Negeri Sembilan,N.13 Lukut,3556,2487,0,108,2379,448,4,69.93813273340832,18.831441782261454,4.342581423401689,0.0
1969-05-10,SE-03,Negeri Sembilan,N.14 Si Rusa,7987,5507,0,209,5298,230,4,68.949543007387,4.341260853152133,3.7951697839113856,0.0
1969-05-10,SE-03,Negeri Sembilan,N.15 Pasir Panjang,5258,4145,0,182,3963,135,4,78.8322556104983,3.4065102195306585,4.390832328106152,0.0
1969-05-10,SE-03,Negeri Sembilan,N.16 Linggi,3948,3278,0,134,3144,245,3,83.02938196555218,7.7926208651399484,4.087858450274558,0.0
1969-05-10,SE-03,Negeri Sembilan,N.17 Kuala Klawang,7566,5812,0,357,5455,640,4,76.81734073486652,11.732355637030247,6.142463867859601,0.0
1969-05-10,SE-03,Negeri Sembilan,N.18 Pertang,4520,3736,0,232,3504,380,4,82.65486725663716,10.844748858447488,6.209850107066381,0.0
1969-05-10,SE-03,Negeri Sembilan,N.19 Bahau,7086,0,0,0,0,0,1,,,,
1969-05-10,SE-03,Negeri Sembilan,N.20 Rompin,5453,3710,0,259,3451,275,3,68.03594351732991,7.968704723268617,6.981132075471698,0.0
1969-05-10,SE-03,Negeri Sembilan,N.21 Jempol,5095,4188,0,430,3758,1492,2,82.19823356231599,39.7019691325173,10.267430754536772,0.0
1969-05-10,SE-03,Negeri Sembilan,N.22 Lenggeng,8684,6615,0,462,6153,41,3,76.17457392906495,0.6663416219730214,6.984126984126984,0.0
1969-05-10,SE-03,Negeri Sembilan,N.23 Labu,6993,5290,0,528,4762,364,5,75.64707564707564,7.643847123057538,9.98109640831758,0.0
1969-05-10,SE-03,Negeri Sembilan,N.24 Bukit Nanas,12223,8745,0,394,8351,4624,3,71.54544710791131,55.3706142976889,4.505431675242996,0.0
1974-08-24,SE-04,Negeri Sembilan,N.01 Kuala Klawang,7945,6310,0,327,5983,2363,2,79.42101950912523,39.495236503426376,5.182250396196513,0.0
1974-08-24,SE-04,Negeri Sembilan,N.02 Pertang,5475,4511,0,279,4232,11,3,82.39269406392694,0.2599243856332703,6.184881401019729,0.0
1974-08-24,SE-04,Negeri Sembilan,N.03 Bahau,7305,5815,0,209,5606,3834,3,79.60301163586585,68.39100963253657,3.594153052450559,0.0
1974-08-24,SE-04,Negeri Sembilan,N.04 Jempol,4787,3795,0,261,3534,1760,2,79.27720910800083,49.80192416525184,6.877470355731226,0.0
1974-08-24,SE-04,Negeri Sembilan,N.05 Lenggeng,9119,7374,0,352,7022,2032,5,80.86412983879812,28.937624608373685,4.773528614049362,0.0
1974-08-24,SE-04,Negeri Sembilan,N.06 Pantai,6059,4471,0,203,4268,2125,3,73.79105462947682,49.78912839737582,4.540371281592485,0.0
1974-08-24,SE-04,Negeri Sembilan,N.07 Labu,7867,6317,0,446,5871,3282,5,80.29744502351596,55.90189064895248,7.0603134399240135,0.0
1974-08-24,SE-04,Negeri Sembilan,N.08 Rantau,4825,3854,0,211,3643,1243,4,79.87564766839378,34.12023057919297,5.4748313440581216,0.0
1974-08-24,SE-04,Negeri Sembilan,N.09 Rasah,9332,7114,0,525,6589,1229,2,76.23231890270038,18.65229928668994,7.379814450379533,0.0
1974-08-24,SE-04,Negeri Sembilan,N.10 Rahang,13391,10284,0,615,9669,2751,2,76.79784930176984,28.451753025131865,5.980163360560093,0.0
1974-08-24,SE-04,Negeri Sembilan,N.11 Sungai Ujong,11833,8785,0,548,8237,591,2,74.24152793036424,7.174942333373801,6.237905520774047,0.0
1974-08-24,SE-04,Negeri Sembilan,N.12 Terentang,6175,4793,0,375,4418,2088,2,77.61943319838058,47.261204164780445,7.823909868558314,0.0
1974-08-24,SE-04,Negeri Sembilan,N.13 Seri Menanti,5675,4465,0,98,4367,2061,2,78.6784140969163,47.194870620563314,2.1948488241881297,0.0
1974-08-24,SE-04,Negeri Sembilan,N.14 Ulu Muar,5848,0,0,0,0,0,1,,,,
