date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Pahang,N.01 Cameron Highlands,1,10107,Ramli Bin Mohd. Said,BEBAS,0,BEBAS,0,ALONE,163,5.618752154429507,3,lost_deposit
1959-05-20,SE-01,Pahang,N.01 Cameron Highlands,2,10108,Subrayan,PERIKATAN,2,MIC,1,PERIKATAN,1336,46.05308514305412,2,lost
1959-05-20,SE-01,Pahang,N.01 Cameron Highlands,3,10109,Yong Hong Chong,BEBAS,0,BEBAS,0,ALONE,1402,48.32816270251637,1,won
1959-05-20,SE-01,Pahang,N.02 Dong,1,264,Abd. Hamid Bin Abdullah,PAS,4,PAS,0,ALONE,1289,30.933525317974564,2,lost
1959-05-20,SE-01,Pahang,N.02 Dong,2,10111,Sendiri Bin Haji Hussin,PERIKATAN,1,UMNO,1,PERIKATAN,2878,69.06647468202543,1,won
1959-05-20,SE-01,Pahang,N.03 Bandar Raub,1,10112,Chua Yong Guan,PERIKATAN,3,MCA,1,PERIKATAN,1883,55.4639175257732,1,won
1959-05-20,SE-01,Pahang,N.03 Bandar Raub,2,10113,Mohamed Yaccob Bin Baginda,PAS,4,PAS,0,ALONE,100,2.945508100147275,3,lost_deposit
1959-05-20,SE-01,Pahang,N.03 Bandar Raub,3,267,Abu Bakar Bin Mohamed Resat,SF,10,PR,2,SF,1412,41.59057437407953,2,lost
1959-05-20,SE-01,Pahang,N.04 Tras,1,10114,Othman Bin Sabudin,PAS,4,PAS,0,ALONE,471,15.014344915524386,2,lost
1959-05-20,SE-01,Pahang,N.04 Tras,2,10115,Goh Teng Koon,BEBAS,0,BEBAS,0,ALONE,427,13.611730953139942,3,lost
1959-05-20,SE-01,Pahang,N.04 Tras,3,10116,Sulaiman Bin Shahbuddin,PERIKATAN,1,UMNO,1,PERIKATAN,2239,71.37392413133567,1,won
1959-05-20,SE-01,Pahang,N.05 Sabai,1,10117,Abu Bakar Bin Haji Ahmad,PERIKATAN,1,UMNO,1,PERIKATAN,2698,79.37628714327744,1,won
1959-05-20,SE-01,Pahang,N.05 Sabai,2,10118,Leong Thoe Cheok,BEBAS,0,BEBAS,0,ALONE,701,20.623712856722566,2,lost
1959-05-20,SE-01,Pahang,N.06 Bandar Bentong,1,10148,Chow Seng Toong,PERIKATAN,3,MCA,1,PERIKATAN,0,,1,won_uncontested
1959-05-20,SE-01,Pahang,N.07 Benus,1,10119,Basir Bin Mat,SF,5,LPM,2,SF,411,12.496199452721193,3,lost_deposit
1959-05-20,SE-01,Pahang,N.07 Benus,2,10120,Toh Wai Theng,BEBAS,0,BEBAS,0,ALONE,718,21.830343569474003,2,lost
1959-05-20,SE-01,Pahang,N.07 Benus,3,10121,Chow Tek Noe,PERIKATAN,3,MCA,1,PERIKATAN,2160,65.6734569778048,1,won
1959-05-20,SE-01,Pahang,N.08 Mentakab,1,10122,Sallehuddin Bin Awang Pekan,PERIKATAN,1,UMNO,1,PERIKATAN,2330,48.795811518324605,1,won
1959-05-20,SE-01,Pahang,N.08 Mentakab,2,10123,Mohd. Said Bin Ibrahim,PAS,4,PAS,0,ALONE,988,20.69109947643979,3,lost
1959-05-20,SE-01,Pahang,N.08 Mentakab,3,10124,Mat Bin Yaacob,SF,10,PR,2,SF,1457,30.5130890052356,2,lost
1959-05-20,SE-01,Pahang,N.09 Tanah Puteh,1,10137,Dato' Setia Bakti Wong Kwan Tan,PERIKATAN,3,MCA,1,PERIKATAN,2265,82.30377906976744,1,won
1959-05-20,SE-01,Pahang,N.09 Tanah Puteh,2,10215,Shaikh Hussin Bin Shaikh Long,PAS,4,PAS,0,ALONE,487,17.69622093023256,2,lost
1959-05-20,SE-01,Pahang,N.10 Telok Sisek,1,272,Haji Hamzah Bin Dahaman,PAS,4,PAS,0,ALONE,765,31.37817883511075,2,lost
1959-05-20,SE-01,Pahang,N.10 Telok Sisek,2,10139,Mahimon Binti Harun,PERIKATAN,1,UMNO,1,PERIKATAN,1673,68.62182116488925,1,won
1959-05-20,SE-01,Pahang,N.11 Beserah,1,10140,Haji Nik Leh Bin Haji Nik Mat,PAS,4,PAS,0,ALONE,724,22.78879446018256,2,lost
1959-05-20,SE-01,Pahang,N.11 Beserah,2,10141,Abdul Aziz Bin Ahmad,PERIKATAN,1,UMNO,1,PERIKATAN,2453,77.21120553981744,1,won
1959-05-20,SE-01,Pahang,N.12 Ulu Kuantan,1,10142,Abdul Aziz Bin Kassim,PAS,4,PAS,0,ALONE,526,14.223904813412656,3,lost
1959-05-20,SE-01,Pahang,N.12 Ulu Kuantan,2,10143,Zainuddin Bin Haji Ahmad,PERIKATAN,1,UMNO,1,PERIKATAN,2274,61.49269875608437,1,won
1959-05-20,SE-01,Pahang,N.12 Ulu Kuantan,3,508,Mohamed Kameil Bin H. Ibrahim,SF,10,PR,2,SF,898,24.283396430502975,2,lost
1959-05-20,SE-01,Pahang,N.13 Kuala Pahang,1,10145,Sulong Bin Awang Hitam,PAS,4,PAS,0,ALONE,1461,36.4611929124033,2,lost
1959-05-20,SE-01,Pahang,N.13 Kuala Pahang,2,10293,Muhamad Bin Jusoh,PERIKATAN,1,UMNO,1,PERIKATAN,2379,59.371100573995506,1,won
1959-05-20,SE-01,Pahang,N.13 Kuala Pahang,3,10147,Syed Muhammad Bin Tuan Ngah,BEBAS,0,BEBAS,0,ALONE,167,4.167706513601198,3,lost_deposit
1959-05-20,SE-01,Pahang,N.14 Pahang Tua,1,509,Abdul Hamid Bin Awang Hitam,PAS,4,PAS,0,ALONE,1389,30.64872021182701,2,lost
1959-05-20,SE-01,Pahang,N.14 Pahang Tua,2,10150,Tengku Haji Ja'Afar Bin Tengku Muda Ali,BEBAS,0,BEBAS,0,ALONE,266,5.8693733451015,3,lost_deposit
1959-05-20,SE-01,Pahang,N.14 Pahang Tua,3,10151,Ahmad Bin Othman Alias Haji Ahmad Bin Othman,PERIKATAN,1,UMNO,1,PERIKATAN,2877,63.48190644307149,1,won
1959-05-20,SE-01,Pahang,N.15 Rompin,1,10152,Tengku Abdul Hamid Ibni Al-Marhom Sultan Abdullah,PAS,4,PAS,0,ALONE,1096,37.34241908006815,2,lost
1959-05-20,SE-01,Pahang,N.15 Rompin,2,10153,Ibrahim Bin Arshad,PERIKATAN,1,UMNO,1,PERIKATAN,1839,62.65758091993185,1,won
1959-05-20,SE-01,Pahang,N.16 Chenor,1,10125,Wan Abdul Aziz Bin Ungku Haji Abdullah,PERIKATAN,1,UMNO,1,PERIKATAN,1928,60.97406704617331,1,won
1959-05-20,SE-01,Pahang,N.16 Chenor,2,10126,Wan Ahmad Bin Wan Mohd. Salleh,PAS,4,PAS,0,ALONE,1000,31.62555344718533,2,lost
1959-05-20,SE-01,Pahang,N.16 Chenor,3,10127,Md. Sham Bin Bilal Bar,SF,10,PR,2,SF,234,7.400379506641366,3,lost_deposit
1959-05-20,SE-01,Pahang,N.17 Triang,1,10128,Yap Kim Chuan,SF,5,LPM,2,SF,1096,28.69861220214716,2,lost
1959-05-20,SE-01,Pahang,N.17 Triang,2,10129,Lum Wah Kum Alias Lum Ban Kee,PERIKATAN,3,MCA,1,PERIKATAN,1967,51.50562974600681,1,won
1959-05-20,SE-01,Pahang,N.17 Triang,3,4410,Abdullah Bin Mohamed,PAS,4,PAS,0,ALONE,756,19.795758051846033,3,lost
1959-05-20,SE-01,Pahang,N.18 Kuala Semantan,1,513,Jaafar Bin Hussin,SF,10,PR,2,SF,664,25.587668593448942,2,lost
1959-05-20,SE-01,Pahang,N.18 Kuala Semantan,2,10131,Abdul Wahab Bin Mohamed Zabidin,PAS,4,PAS,0,ALONE,500,19.26782273603083,3,lost
1959-05-20,SE-01,Pahang,N.18 Kuala Semantan,3,10376,Awang Ngah Bin Tok Muda Ibrahim,PERIKATAN,1,UMNO,1,PERIKATAN,1431,55.14450867052023,1,won
1959-05-20,SE-01,Pahang,N.19 Jenderak,1,10133,Abdul Aziz Bin Uda,PAS,4,PAS,0,ALONE,1344,45.436105476673426,2,lost
1959-05-20,SE-01,Pahang,N.19 Jenderak,2,10134,Mohd. Yusof Bin Haji Long,PERIKATAN,1,UMNO,1,PERIKATAN,1614,54.563894523326574,1,won
1959-05-20,SE-01,Pahang,N.20 Sanggang,1,10135,Salleh Bin Tais,BEBAS,0,BEBAS,0,ALONE,282,9.730848861283643,3,lost_deposit
1959-05-20,SE-01,Pahang,N.20 Sanggang,2,512,Dato' Abu Samah Bin Haji Ali,PAS,4,PAS,0,ALONE,1071,36.95652173913043,2,lost
1959-05-20,SE-01,Pahang,N.20 Sanggang,3,10136,Yahaya Bin Hj. Mohd. Seh,PERIKATAN,1,UMNO,1,PERIKATAN,1545,53.31262939958592,1,won
1959-05-20,SE-01,Pahang,N.21 Jelai,1,10098,Muhammad Nor Bin Sulaiman,PERIKATAN,1,UMNO,1,PERIKATAN,2816,75.27399091152098,1,won
1959-05-20,SE-01,Pahang,N.21 Jelai,2,695,Sulaiman Bin Sidek,PAS,4,PAS,0,ALONE,925,24.726009088479017,2,lost
1959-05-20,SE-01,Pahang,N.22 Kuala Lipis,1,10100,Ong Seong Tek,BEBAS,0,BEBAS,0,ALONE,923,28.664596273291927,2,lost
1959-05-20,SE-01,Pahang,N.22 Kuala Lipis,2,10101,Hamzah Bin Haji Hussain,PAS,4,PAS,0,ALONE,506,15.714285714285714,3,lost
1959-05-20,SE-01,Pahang,N.22 Kuala Lipis,3,10102,Seong Sik Yong,PERIKATAN,3,MCA,1,PERIKATAN,1791,55.62111801242236,1,won
1959-05-20,SE-01,Pahang,N.23 Tanjong Besar,1,10103,Mohd. Khairuddin Bin Mohd. Kai Alias Khairuddin Kawi,PERIKATAN,1,UMNO,1,PERIKATAN,4161,73.24414715719062,1,won
1959-05-20,SE-01,Pahang,N.23 Tanjong Besar,2,10104,Mohd. Salleh Bin Abdul Karim,PAS,4,PAS,0,ALONE,1520,26.755852842809364,2,lost
1959-05-20,SE-01,Pahang,N.24 Jerantut,1,10105,Abdul Muin Bin Said,PAS,4,PAS,0,ALONE,1247,30.593719332679097,2,lost
1959-05-20,SE-01,Pahang,N.24 Jerantut,2,10106,Abdullah Bin Haji Mohd. Akil,PERIKATAN,1,UMNO,1,PERIKATAN,2829,69.40628066732091,1,won
1964-04-25,SE-02,Pahang,N.01 Cameron Highlands,1,10154,Soh Kai Chee,BEBAS,0,BEBAS,0,ALONE,653,24.19414597999259,2,lost
1964-04-25,SE-02,Pahang,N.01 Cameron Highlands,2,10155,Cheong Kiat Lee @ Chong Kat Nee,PERIKATAN,3,MCA,1,PERIKATAN,1545,57.24342349018154,1,won
