date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Perlis,N.01 Kaki Bukit,1,355,Yacob Bin Mohamed,PAS,4,PAS,0,ALONE,855,26.67706708268331,2,lost
1959-05-20,SE-01,Perlis,N.01 Kaki Bukit,2,356,Loh Ah Tong,PERIKATAN,3,MCA,1,PERIKATAN,2350,73.32293291731669,1,won
1959-05-20,SE-01,Perlis,N.02 Paya,1,357,Hj. Abdullah Bin Ahmad,PAS,4,PAS,0,ALONE,1231,37.74915670039865,2,lost
1959-05-20,SE-01,Perlis,N.02 Paya,2,358,Wan Ahmad Bin Wan Daud,PERIKATAN,1,UMNO,1,PERIKATAN,2030,62.25084329960134,1,won
1959-05-20,SE-01,Perlis,N.03 Mata Ayer,1,359,Shaikh Ali Ba Junid,BEBAS,0,BEBAS,0,ALONE,711,29.115479115479115,2,lost
1959-05-20,SE-01,Perlis,N.03 Mata Ayer,2,360,Mahayuddin Bin Dato' Habib,PERIKATAN,1,UMNO,1,PERIKATAN,1509,61.79361179361179,1,won
1959-05-20,SE-01,Perlis,N.03 Mata Ayer,3,361,Wan Khadzim Bin Wan Din,SF,10,PR,2,SF,222,9.090909090909092,3,lost_deposit
1959-05-20,SE-01,Perlis,N.04 Bandar Kangar,1,362,Por Swee Giap,PERIKATAN,3,MCA,1,PERIKATAN,1156,81.23682361208714,1,won
1959-05-20,SE-01,Perlis,N.04 Bandar Kangar,2,129,Matt Bin Haji Kassim,BEBAS,0,BEBAS,0,ALONE,267,18.76317638791286,2,lost
1959-05-20,SE-01,Perlis,N.05 Sena,1,363,Mat Bin Md. Isa,PAS,4,PAS,0,ALONE,816,33.036437246963565,2,lost
1959-05-20,SE-01,Perlis,N.05 Sena,2,364,Wan Ahmad Bin Haji Wan Kassim,PERIKATAN,1,UMNO,1,PERIKATAN,1654,66.96356275303643,1,won
1959-05-20,SE-01,Perlis,N.06 Bintong,1,365,Shafii Bin Omar,PAS,4,PAS,0,ALONE,1150,37.12072304712718,2,lost
1959-05-20,SE-01,Perlis,N.06 Bintong,2,128,Sheikh Ahmad Bin Mohd. Hashim,PERIKATAN,1,UMNO,1,PERIKATAN,1948,62.87927695287282,1,won
1959-05-20,SE-01,Perlis,N.07 Kurong Anai,1,366,Ibrahim Bin Yasin,PAS,4,PAS,0,ALONE,889,37.29026845637584,2,lost
1959-05-20,SE-01,Perlis,N.07 Kurong Anai,2,133,Haji Mokhtar Bin Hj. Ismail,PERIKATAN,1,UMNO,1,PERIKATAN,1495,62.70973154362416,1,won
1959-05-20,SE-01,Perlis,N.08 Arau,1,367,Tengku Adnan,PERIKATAN,1,UMNO,1,PERIKATAN,1374,57.393483709273184,1,won
1959-05-20,SE-01,Perlis,N.08 Arau,2,132,Abdulrahman Bin Osman,PAS,4,PAS,0,ALONE,1020,42.606516290726816,2,lost
1959-05-20,SE-01,Perlis,N.09 Hutan Aji,1,368,Ahmad Bin Salleh,PAS,4,PAS,0,ALONE,1095,44.49410808614385,2,lost
1959-05-20,SE-01,Perlis,N.09 Hutan Aji,2,369,Syed Darus Bin Syed Hashim,PERIKATAN,1,UMNO,1,PERIKATAN,1366,55.50589191385615,1,won
1959-05-20,SE-01,Perlis,N.10 Kayang,1,370,Haji Keria Bin Wan Nik,PERIKATAN,1,UMNO,1,PERIKATAN,1506,58.69056897895557,1,won
1959-05-20,SE-01,Perlis,N.10 Kayang,2,371,Abu Bakar Bin Haji Awang,PAS,4,PAS,0,ALONE,889,34.64536243180047,2,lost
1959-05-20,SE-01,Perlis,N.10 Kayang,3,372,Zakaria Bin Ishak,SF,10,PR,2,SF,171,6.66406858924396,3,lost_deposit
1959-05-20,SE-01,Perlis,N.11 Kuala Perlis,1,373,Omar Bin Mohamed Said,PAS,4,PAS,0,ALONE,535,25.585844093735055,2,lost
1959-05-20,SE-01,Perlis,N.11 Kuala Perlis,2,374,Yusoff Bin Abu Bakar,PERIKATAN,1,UMNO,1,PERIKATAN,1556,74.41415590626494,1,won
1959-05-20,SE-01,Perlis,N.12 Sanglang,1,375,Ahmad Bin Musa,PERIKATAN,1,UMNO,1,PERIKATAN,1577,56.44237652111668,1,won
1959-05-20,SE-01,Perlis,N.12 Sanglang,2,376,Lebai Adnan Bin Abdullah,PAS,4,PAS,0,ALONE,1217,43.55762347888332,2,lost
1964-04-25,SE-02,Perlis,N.01 Kaki Bukit,1,1217,Ariffin Bin Jusoh,PAS,4,PAS,0,ALONE,1048,26.693835965359142,2,lost
1964-04-25,SE-02,Perlis,N.01 Kaki Bukit,2,356,Loh Ah Tong,PERIKATAN,3,MCA,1,PERIKATAN,2878,73.30616403464086,1,won
1964-04-25,SE-02,Perlis,N.02 Paya,1,1218,Hatun Binti Othman,PAS,4,PAS,0,ALONE,1318,37.80837636259323,2,lost
1964-04-25,SE-02,Perlis,N.02 Paya,2,1219,Che Yook @ Che Yob Bin Che Choh,PERIKATAN,1,UMNO,1,PERIKATAN,2004,57.48709122203098,1,won
1964-04-25,SE-02,Perlis,N.02 Paya,3,1220,Ahmad Bin Bakar,BEBAS,0,BEBAS,0,ALONE,164,4.704532415375788,3,lost_deposit
1964-04-25,SE-02,Perlis,N.03 Mata Ayer,1,1221,Abdullah Bin Haji Hassan,PERIKATAN,1,UMNO,1,PERIKATAN,1738,58.65676679041512,1,won
