date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Pulau Pinang,N.01 Butterworth,1,12795,Mpl. Yegappan,PERIKATAN,2,MIC,1,PERIKATAN,2639,47.652582159624416,1,won
1959-05-20,SE-01,Pulau Pinang,N.01 Butterworth,2,134,Peritam Singh,PPP,8,PPP,0,ALONE,1485,26.81473456121343,2,lost
1959-05-20,SE-01,Pulau Pinang,N.01 Butterworth,3,12796,G. Y. Oon,BEBAS,0,BEBAS,0,ALONE,1184,21.379559407728422,3,lost
1959-05-20,SE-01,Pulau Pinang,N.01 Butterworth,4,7763,Ismail Bin Awang,SF,10,PR,2,SF,230,4.15312387143373,4,lost_deposit
1959-05-20,SE-01,Pulau Pinang,N.02 Bagan Ajam,1,12797,Phee Joo Teik,PERIKATAN,3,MCA,1,PERIKATAN,2875,51.6065338359361,1,won
1959-05-20,SE-01,Pulau Pinang,N.02 Bagan Ajam,2,12798,Kay Kim Huat,BEBAS,0,BEBAS,0,ALONE,1754,31.484473164602406,2,lost
1959-05-20,SE-01,Pulau Pinang,N.02 Bagan Ajam,3,439,Shariff Bin Moh. Isa,PAS,4,PAS,0,ALONE,745,13.372823550529528,3,lost
1959-05-20,SE-01,Pulau Pinang,N.02 Bagan Ajam,4,12800,D. B. Ali,SF,10,PR,2,SF,197,3.5361694489319686,4,lost_deposit
1959-05-20,SE-01,Pulau Pinang,N.03 Permatang Pauh,1,12805,Ariffin Bin Shariff,PERIKATAN,1,UMNO,1,PERIKATAN,4614,63.94124168514412,1,won
1959-05-20,SE-01,Pulau Pinang,N.03 Permatang Pauh,2,130,Abdullah Bin Abass,PAS,4,PAS,0,ALONE,1905,26.399667405764966,2,lost
1959-05-20,SE-01,Pulau Pinang,N.03 Permatang Pauh,3,6849,Yunus Bin Mohamad,SF,10,PR,2,SF,697,9.659090909090908,3,lost_deposit
1959-05-20,SE-01,Pulau Pinang,N.04 Bukit Mertajam,1,12806,Wong Pow Nee,PERIKATAN,3,MCA,1,PERIKATAN,4221,70.26802064258365,1,won
1959-05-20,SE-01,Pulau Pinang,N.04 Bukit Mertajam,2,138,Kang Eng Wah,SF,5,LPM,2,SF,1786,29.73197935741635,2,lost
1959-05-20,SE-01,Pulau Pinang,N.05 Alma,1,14,Haji Sulaiman,PERIKATAN,1,UMNO,1,PERIKATAN,4082,69.78970764233202,1,won
1959-05-20,SE-01,Pulau Pinang,N.05 Alma,2,12808,Noor Sulaiman,SF,10,PR,2,SF,1767,30.210292357667978,2,lost
1959-05-20,SE-01,Pulau Pinang,N.06 Sungei Bakap,1,12809,Kee Yong Chin,PERIKATAN,3,MCA,1,PERIKATAN,3266,47.1012402653591,1,won
1959-05-20,SE-01,Pulau Pinang,N.06 Sungei Bakap,2,140,V. Veerappen,SF,5,LPM,2,SF,2413,34.79953850591289,2,lost
1959-05-20,SE-01,Pulau Pinang,N.06 Sungei Bakap,3,12810,Md. Noor Bin Mahmood,BEBAS,0,BEBAS,0,ALONE,1255,18.09922122872801,3,lost
1959-05-20,SE-01,Pulau Pinang,N.07 Nibong Tebal,1,12811,Haji Sahid Bin Hassan,PERIKATAN,1,UMNO,1,PERIKATAN,2480,47.50047883547213,1,won
1959-05-20,SE-01,Pulau Pinang,N.07 Nibong Tebal,2,12812,Khor Peng Chong,SF,5,LPM,2,SF,1678,32.13943688948477,2,lost
1959-05-20,SE-01,Pulau Pinang,N.07 Nibong Tebal,3,12813,Haji Mohamed Hasan Bin Ahmad,PAS,4,PAS,0,ALONE,696,13.33077954414863,3,lost
1959-05-20,SE-01,Pulau Pinang,N.07 Nibong Tebal,4,12814,J. G. V. Parambil,PPP,8,PPP,0,ALONE,367,7.029304730894465,4,lost_deposit
1959-05-20,SE-01,Pulau Pinang,N.08 Kelawai,1,12831,Tan Khim Hoe,PERIKATAN,3,MCA,1,PERIKATAN,1382,44.81193255512322,1,won
1959-05-20,SE-01,Pulau Pinang,N.08 Kelawai,2,12832,Oh Cheow Hong,PAS,8,PPP,0,ALONE,601,19.48767833981842,2,lost
1959-05-20,SE-01,Pulau Pinang,N.08 Kelawai,3,12833,Oliver Phipps,BEBAS,0,BEBAS,0,ALONE,535,17.347600518806743,3,lost
1959-05-20,SE-01,Pulau Pinang,N.08 Kelawai,4,12834,A. Raja Gopal,BEBAS,0,BEBAS,0,ALONE,395,12.808041504539558,4,lost
1959-05-20,SE-01,Pulau Pinang,N.08 Kelawai,5,12835,Syed Salleh Alsagoff Bin Syed Hashim Alsagoff,NEG,7,NEG,0,ALONE,171,5.544747081712062,5,lost_deposit
1959-05-20,SE-01,Pulau Pinang,N.09 Dhoby Ghaut,1,12819,Mohamed Ismail Bin Che Din,PERIKATAN,1,UMNO,1,PERIKATAN,0,,1,won_uncontested
1959-05-20,SE-01,Pulau Pinang,N.10 Tanjong Bungah,1,12836,Cheah Seng Khim,PERIKATAN,3,MCA,1,PERIKATAN,3538,53.17901698481889,1,won
1959-05-20,SE-01,Pulau Pinang,N.10 Tanjong Bungah,2,12837,Haji Abdul Hamid,PAS,4,PAS,0,ALONE,1487,22.3508191793176,2,lost
1959-05-20,SE-01,Pulau Pinang,N.10 Tanjong Bungah,3,12838,Haji Harun Haji Puteh,SF,10,PR,2,SF,1237,18.593115887569517,3,lost
1959-05-20,SE-01,Pulau Pinang,N.10 Tanjong Bungah,4,12839,Foo Ah Soo,PPP,8,PPP,0,ALONE,391,5.877047948294003,4,lost_deposit
1959-05-20,SE-01,Pulau Pinang,N.11 Ayer Itam,1,12840,Chor Sin Kheng,PERIKATAN,3,MCA,1,PERIKATAN,2066,51.53404839111998,1,won
1959-05-20,SE-01,Pulau Pinang,N.11 Ayer Itam,2,12841,Oh Seng Huat,SF,5,LPM,2,SF,1943,48.46595160888002,2,lost
1959-05-20,SE-01,Pulau Pinang,N.12 Jelutong,1,5,Ooi Thiam Siew,SF,5,LPM,2,SF,4612,60.067725970304764,1,won
