date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Perak,N.01 Grik,1,11119,Mohamed Ghazali Bin Haji,PERIKATAN,1,UMNO,1,PERIKATAN,4607,71.63738143368062,1,won
1959-05-20,SE-01,Perak,N.01 Grik,2,11120,Huin Swee Leong,PPP,8,PPP,0,ALONE,1073,16.68480796143679,2,lost
1959-05-20,SE-01,Perak,N.01 Grik,3,11121,Abu Bin Haji Bakri,PAS,4,PAS,0,ALONE,751,11.6778106048826,3,lost_deposit
1959-05-20,SE-01,Perak,N.02 Lenggong,1,11122,Ahmad Bin Said,PERIKATAN,1,UMNO,1,PERIKATAN,5342,66.29436584760487,1,won
1959-05-20,SE-01,Perak,N.02 Lenggong,2,185,Haji Abdul Samad Bin Hj. Mohd Noh,PAS,4,PAS,0,ALONE,1352,16.778356912385206,2,lost
1959-05-20,SE-01,Perak,N.02 Lenggong,3,11124,Lum Kwok Loon,PPP,8,PPP,0,ALONE,855,10.610573343261356,3,lost_deposit
1959-05-20,SE-01,Perak,N.02 Lenggong,4,1560,Shaharuddin Dahalan,SF,10,PR,2,SF,509,6.316703896748573,4,lost_deposit
1959-05-20,SE-01,Perak,N.03 Selama,1,11096,Haji Hussin Bin Haji Yaacob,PERIKATAN,1,UMNO,1,PERIKATAN,6622,75.37848605577689,1,won
1959-05-20,SE-01,Perak,N.03 Selama,2,11097,Kamarun Bin Mohd. Hassan,PAS,4,PAS,0,ALONE,2163,24.621513944223107,2,lost
1959-05-20,SE-01,Perak,N.04 Larut,1,957,Kamaruddin Bin Md. Isa,PERIKATAN,1,UMNO,1,PERIKATAN,4972,64.5798155604624,1,won
1959-05-20,SE-01,Perak,N.04 Larut,2,11099,Harun Bin Haji Husain,PAS,4,PAS,0,ALONE,2018,26.21119625925445,2,lost
1959-05-20,SE-01,Perak,N.04 Larut,3,11100,Haji Harun Bin Musa,SF,5,LPM,2,SF,709,9.208988180283153,3,lost_deposit
1959-05-20,SE-01,Perak,N.05 Parit Buntar,1,11077,Hajah Halimah Binti Hj. Abd. Raof,PERIKATAN,1,UMNO,1,PERIKATAN,3744,51.62713734142306,1,won
1959-05-20,SE-01,Perak,N.05 Parit Buntar,2,33,Haji Hasan Adli Bin Hj. Arshad,PAS,4,PAS,0,ALONE,3508,48.37286265857694,2,lost
1959-05-20,SE-01,Perak,N.06 Kuala Kurau,1,11079,Haji Shamsudin Bin Haji Ahmad,PERIKATAN,1,UMNO,1,PERIKATAN,4306,58.220659816116815,1,won
1959-05-20,SE-01,Perak,N.06 Kuala Kurau,2,11080,Md. Kamil Bin Haji Ahmad,PAS,4,PAS,0,ALONE,3090,41.77934018388318,2,lost
1959-05-20,SE-01,Perak,N.07 Bagan Serai,1,11081,Masud Bin Untoi,PERIKATAN,1,UMNO,1,PERIKATAN,4113,65.3271918678526,1,won
1959-05-20,SE-01,Perak,N.07 Bagan Serai,2,11082,Khadiri Bin Haji Dahalan,PAS,4,PAS,0,ALONE,1409,22.37928843710292,2,lost
1959-05-20,SE-01,Perak,N.07 Bagan Serai,3,11083,G. P. Ramu,PPP,8,PPP,0,ALONE,774,12.293519695044473,3,lost_deposit
1959-05-20,SE-01,Perak,N.08 Gunong Semanggol,1,465,Baharuddin Bin Haji Abdul Latif,PAS,4,PAS,0,ALONE,3392,50.251851851851846,1,won
1959-05-20,SE-01,Perak,N.08 Gunong Semanggol,2,464,Ramli Bin Omar,PERIKATAN,1,UMNO,1,PERIKATAN,3358,49.74814814814815,2,lost
1959-05-20,SE-01,Perak,N.09 Taiping,1,11101,Goh Chok Sam,PERIKATAN,3,MCA,1,PERIKATAN,5736,63.882392248580025,1,won
1959-05-20,SE-01,Perak,N.09 Taiping,2,11102,C. H. Yin,PPP,8,PPP,0,ALONE,2142,23.85566321416639,2,lost
1959-05-20,SE-01,Perak,N.09 Taiping,3,11103,Sellar Sabaratnam,SF,5,LPM,2,SF,1101,12.26194453725359,3,lost_deposit
1959-05-20,SE-01,Perak,N.10 Matang,1,11104,Othman Bin Wan Omar,PERIKATAN,1,UMNO,1,PERIKATAN,5239,58.5101630556176,1,won
