date,election,state,seat,voters_total,ballots_issued,ballots_not_returned,votes_rejected,votes_valid,majority,n_candidates,voter_turnout,majority_perc,votes_rejected_perc,ballots_not_returned_perc
1959-05-20,SE-01,Perak,N.01 Grik,10166,6555,0,124,6431,3534,3,64.47963800904978,54.95257347224381,1.8916857360793287,0.0
1959-05-20,SE-01,Perak,N.02 Lenggong,11264,8178,0,120,8058,3990,4,72.60298295454545,49.51600893521966,1.467351430667645,0.0
1959-05-20,SE-01,Perak,N.03 Selama,12515,8964,0,179,8785,4459,2,71.62604874151019,50.756972111553786,1.996876394466756,0.0
1959-05-20,SE-01,Perak,N.04 Larut,12349,7840,0,141,7699,2954,3,63.486922017977165,38.36861930120795,1.7984693877551021,0.0
1959-05-20,SE-01,Perak,N.05 Parit Buntar,11133,7420,0,168,7252,236,2,66.64870205694781,3.2542746828461118,2.2641509433962264,0.0
1959-05-20,SE-01,Perak,N.06 Kuala Kurau,11276,7566,0,170,7396,1216,2,67.09826179496275,16.44131963223364,2.246893999471319,0.0
1959-05-20,SE-01,Perak,N.07 Bagan Serai,10467,6605,0,309,6296,2704,3,63.103085888984424,42.94790343074968,4.678274034822104,0.0
1959-05-20,SE-01,Perak,N.08 Gunong Semanggol,10781,6971,0,221,6750,34,2,64.66005008811798,0.5037037037037037,3.1702768612824563,0.0
1959-05-20,SE-01,Perak,N.09 Taiping,16054,9152,0,173,8979,3594,3,57.00759935218637,40.026729034413634,1.8902972027972027,0.0
1959-05-20,SE-01,Perak,N.10 Matang,16579,9136,0,182,8954,3354,4,55.105856806803786,37.45811927630109,1.9921190893169878,0.0
1959-05-20,SE-01,Perak,N.11 Sungei Manik,5962,4105,0,96,4009,347,2,68.85273398188528,8.65552506859566,2.338611449451888,0.0
1959-05-20,SE-01,Perak,N.12 Bandar,7022,5083,0,157,4926,1376,2,72.38678439191114,27.933414535119773,3.088727129647846,0.0
1959-05-20,SE-01,Perak,N.13 Senggang,14224,9665,0,197,9468,2810,3,67.94853768278966,29.678918462188424,2.0382824624935334,0.0
1959-05-20,SE-01,Perak,N.14 Padang Rengas,12242,8830,0,168,8662,2750,3,72.12873713445515,31.74786423458785,1.9026047565118915,0.0
1959-05-20,SE-01,Perak,N.15 Karai,8587,5597,0,83,5514,2362,4,65.17992313962966,42.83641639463185,1.4829372878327676,0.0
1959-05-20,SE-01,Perak,N.16 Jalong,8588,6235,0,91,6144,444,2,72.60130414531905,7.2265625,1.4595028067361668,0.0
1959-05-20,SE-01,Perak,N.17 Blanja,10085,7795,0,94,7701,2657,3,77.2930094199306,34.50201272562005,1.2059012187299551,0.0
1959-05-20,SE-01,Perak,N.18 Kampong Gajah,8860,6968,0,125,6843,2185,2,78.64559819413093,31.930439865556043,1.7939150401836967,0.0
1959-05-20,SE-01,Perak,N.19 Pengkalan Bharu,11774,7545,0,206,7339,1491,3,64.08187531849838,20.316119362310943,2.730284956925116,0.0
1959-05-20,SE-01,Perak,N.20 Ayer Tawar,12609,9000,0,308,8692,2270,3,71.3775874375446,26.11596870685688,3.4222222222222225,0.0
1959-05-20,SE-01,Perak,N.21 Lekir,8868,6615,0,209,6406,3095,4,74.59404600811908,48.314080549484856,3.1594860166288736,0.0
