date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1967-04-08,SE-01,Sabah,N.01 Kudat,1,13622,O. T. Tsen Kinsung,PPKB,22,UPKO-OLD,1,PERIKATAN,1697,35.141851314972044,2,lost
1967-04-08,SE-01,Sabah,N.01 Kudat,2,13623,Wong Loke Khiam,SCA,17,SCA-SBH,1,PERIKATAN,3132,64.85814868502796,1,won
1967-04-08,SE-01,Sabah,N.02 Bengkoka-Banggi,1,760,Tun Datu Mustapha Bin Datu Harun,USNO,15,USNO-OLD,1,PERIKATAN,4690,69.69832070144152,1,won
1967-04-08,SE-01,Sabah,N.02 Bengkoka-Banggi,2,13625,Richard E. Yapp,PPKB,22,UPKO-OLD,1,PERIKATAN,2039,30.301679298558476,2,lost
1967-04-08,SE-01,Sabah,N.03 Langkon,1,13626,Andrew Matakim,PPKB,22,UPKO-OLD,1,PERIKATAN,3861,63.55555555555556,1,won
1967-04-08,SE-01,Sabah,N.03 Langkon,2,13627,Awang Ali Bin Osman,USNO,15,USNO-OLD,1,PERIKATAN,2214,36.44444444444444,2,lost
1967-04-08,SE-01,Sabah,N.04 Tandek,1,13628,Herman Luping,PPKB,22,UPKO-OLD,1,PERIKATAN,2207,76.18225750776666,1,won
1967-04-08,SE-01,Sabah,N.04 Tandek,2,1093,Madina Bin Unggut,USNO,15,USNO-OLD,1,PERIKATAN,690,23.817742492233346,2,lost
1967-04-08,SE-01,Sabah,N.05 Usukan,1,763,Mohamed Said Bin Keruak,USNO,15,USNO-OLD,1,PERIKATAN,0,,1,won_uncontested
1967-04-08,SE-01,Sabah,N.06 Sorob,1,13630,Ismail Bin Gimbad,PPKB,22,UPKO-OLD,1,PERIKATAN,3920,52.69525473854013,1,won
1967-04-08,SE-01,Sabah,N.06 Sorob,2,13631,Banian Bin Noyoh,USNO,15,USNO-OLD,1,PERIKATAN,3519,47.30474526145987,2,lost
1967-04-08,SE-01,Sabah,N.07 Sulaman,1,13632,Wong John Joenoi,PPKB,22,UPKO-OLD,1,PERIKATAN,1903,29.066748128914004,2,lost
1967-04-08,SE-01,Sabah,N.07 Sulaman,2,13633,O.K.K. Indan Bin Kari,USNO,15,USNO-OLD,1,PERIKATAN,4644,70.93325187108599,1,won
1967-04-08,SE-01,Sabah,N.08 Kiulu,1,13634,Bernard Bin Giom,USNO,15,USNO-OLD,1,PERIKATAN,631,12.843476490942399,2,lost
1967-04-08,SE-01,Sabah,N.08 Kiulu,2,13635,Payar Juman,PPKB,22,UPKO-OLD,1,PERIKATAN,4260,86.70873193568085,1,won
1967-04-08,SE-01,Sabah,N.08 Kiulu,3,13636,O.K.K. Nonon Bin Anad,BEBAS,0,BEBAS,0,ALONE,16,0.3256665988194586,3,lost_deposit
1967-04-08,SE-01,Sabah,N.08 Kiulu,4,13637,Samin Bin Mindot,BEBAS,0,BEBAS,0,ALONE,6,0.12212497455729697,4,lost_deposit
1967-04-08,SE-01,Sabah,N.09 Jesselton Bandar,1,13638,Kok Fung Chong,BEBAS,0,BEBAS,0,ALONE,1850,38.73534338358459,2,lost
1967-04-08,SE-01,Sabah,N.09 Jesselton Bandar,2,768,Dato Pang Tet Tshung,PERIKATAN,17,SCA-SBH,1,PERIKATAN,2870,60.09212730318257,1,won
1967-04-08,SE-01,Sabah,N.09 Jesselton Bandar,3,13640,Ng Peng Khun,BEBAS,0,BEBAS,0,ALONE,42,0.8793969849246231,3,lost_deposit
1967-04-08,SE-01,Sabah,N.09 Jesselton Bandar,4,13641,Spencer Lim Lai Mun,BEBAS,0,BEBAS,0,ALONE,14,0.2931323283082077,4,lost_deposit
