date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Selangor,N.01 Tanjong Karang,1,56,Md. Ambia Bin Sanusi,PAS,4,PAS,0,ALONE,2587,40.97893236179313,2,lost
1959-05-20,SE-01,Selangor,N.01 Tanjong Karang,2,517,Raja Rome Bin Raja Ma'Amor,PERIKATAN,1,UMNO,1,PERIKATAN,3726,59.02106763820687,1,won
1959-05-20,SE-01,Selangor,N.02 Kuala Selangor Pekan,1,17304,Awang Bin Ahmad,PAS,4,PAS,0,ALONE,1057,13.87503281701234,3,lost
1959-05-20,SE-01,Selangor,N.02 Kuala Selangor Pekan,2,235,N. Manickam,MP,11,MP,0,ALONE,2567,33.69650826988711,2,lost
1959-05-20,SE-01,Selangor,N.02 Kuala Selangor Pekan,3,17305,Tan Siew Kang,PERIKATAN,3,MCA,1,PERIKATAN,3994,52.42845891310055,1,won
1959-05-20,SE-01,Selangor,N.03 Kepong,1,17280,Chan Keong Hon,PERIKATAN,3,MCA,1,PERIKATAN,5305,53.688897884829466,1,won
1959-05-20,SE-01,Selangor,N.03 Kepong,2,216,Ng Ann Teck,SF,5,LPM,2,SF,4576,46.31110211517053,2,lost
1959-05-20,SE-01,Selangor,N.04 Penchala,1,232,Y. P. Liu,SF,5,LPM,2,SF,2133,48.12725631768953,2,lost
1959-05-20,SE-01,Selangor,N.04 Penchala,2,17281,Lim Jew Siang,PERIKATAN,3,MCA,1,PERIKATAN,2299,51.87274368231047,1,won
1959-05-20,SE-01,Selangor,N.05 Jeram,1,17325,Kassim Bin Haji Sirat,PAS,4,PAS,0,ALONE,1680,29.87728970300551,2,lost
1959-05-20,SE-01,Selangor,N.05 Jeram,2,17326,Hussain Bin Abdullah,PERIKATAN,1,UMNO,1,PERIKATAN,3943,70.12271029699448,1,won
1959-05-20,SE-01,Selangor,N.06 Sementa,1,19355,Ahmad Bin Haji Hassan,PAS,4,PAS,0,ALONE,1008,19.584223819700796,2,lost
1959-05-20,SE-01,Selangor,N.06 Sementa,2,17327,Haji Mas'Od Bin Hayati,PERIKATAN,1,UMNO,1,PERIKATAN,4139,80.4157761802992,1,won
1959-05-20,SE-01,Selangor,N.07 Serendah,1,17296,G. Leo,PERIKATAN,2,MIC,1,PERIKATAN,2116,36.49534322180062,2,lost
1959-05-20,SE-01,Selangor,N.07 Serendah,2,701,Rajah,BEBAS,0,BEBAS,0,ALONE,3682,63.504656778199376,1,won
1959-05-20,SE-01,Selangor,N.08 Kuang,1,17298,Chong Shih Guan,PERIKATAN,3,MCA,1,PERIKATAN,3923,72.9860465116279,1,won
1959-05-20,SE-01,Selangor,N.08 Kuang,2,237,Abdullah Bin Mat Junan,PAS,4,PAS,0,ALONE,1452,27.013953488372096,2,lost
