date,election,state,seat,voters_total,ballots_issued,ballots_not_returned,votes_rejected,votes_valid,majority,n_candidates,voter_turnout,majority_perc,votes_rejected_perc,ballots_not_returned_perc
1969-05-10,SE-01,Sarawak,N.01 Lundu,6000,5445,0,222,5223,221,6,90.75,4.2312847022783835,4.077134986225895,0.0
1969-05-10,SE-01,Sarawak,N.02 Bau,9424,8382,0,641,7741,677,5,88.94312393887945,8.74564009817853,7.647339537103316,0.0
1969-05-10,SE-01,Sarawak,N.03 Kuching Barat,12914,11098,0,317,10781,1307,4,85.93774198544214,12.123179667934329,2.856370517210308,0.0
1969-05-10,SE-01,Sarawak,N.04 Kuching Timor,11963,9686,0,291,9395,6571,5,80.9663127977932,69.94145822245875,3.004336155275656,0.0
1969-05-10,SE-01,Sarawak,N.05 Semariang,7477,6335,0,401,5934,2262,5,84.72649458338906,38.119312436804854,6.32991318074191,0.0
1969-05-10,SE-01,Sarawak,N.06 Sekama,10269,8005,0,416,7589,2199,4,77.9530626156393,28.976149690341284,5.196752029981262,0.0
1969-05-10,SE-01,Sarawak,N.07 Sebandi,7930,6685,0,331,6354,2225,3,84.30012610340479,35.01731192949323,4.951383694839192,0.0
1969-05-10,SE-01,Sarawak,N.08 Muara Tuang,4890,4352,0,175,4177,702,4,88.99795501022496,16.80632032559253,4.021139705882353,0.0
1969-05-10,SE-01,Sarawak,N.09 Batu Kawah,8912,7444,0,512,6932,2098,3,83.52782764811491,30.265435660703982,6.878022568511553,0.0
1969-05-10,SE-01,Sarawak,N.10 Bengoh,4997,4403,0,116,4287,264,5,88.11286772063238,6.158152554233729,2.6345673404496934,0.0
1969-05-10,SE-01,Sarawak,N.11 Tarat,8605,7705,0,392,7313,1069,3,89.540964555491,14.617803910843701,5.087605451005841,0.0
1969-05-10,SE-01,Sarawak,N.12 Tebakang,7754,6868,0,473,6395,949,3,88.57363941191643,14.839718530101642,6.887012230634829,0.0
1969-05-10,SE-01,Sarawak,N.13 Semera,5916,5214,0,385,4829,1852,3,88.13387423935092,38.35162559536136,7.383966244725738,0.0
1969-05-10,SE-01,Sarawak,N.14 Gedong,5637,4839,0,313,4526,110,4,85.84353379457158,2.4304021210782145,6.46827856995247,0.0
1969-05-10,SE-01,Sarawak,N.15 Lingga-Sebuyau,8376,6484,0,479,6005,219,5,77.4116523400191,3.646960865945046,7.387415175817397,0.0
1969-05-10,SE-01,Sarawak,N.16 Simanggang,9100,7290,0,445,6845,634,8,80.10989010989012,9.262235208181153,6.104252400548696,0.0
1969-05-10,SE-01,Sarawak,N.17 Engkilili-Skrang,4660,3639,0,391,3248,125,4,78.0901287553648,3.848522167487685,10.744710085188238,0.0
1969-05-10,SE-01,Sarawak,N.18 Ulu Ai,4254,3236,0,365,2871,45,6,76.06958157028679,1.5673981191222568,11.279357231149568,0.0
1969-05-10,SE-01,Sarawak,N.19 Saribas,6622,4607,0,266,4341,537,5,69.57112654787073,12.370421561852108,5.773822444106794,0.0
1969-05-10,SE-01,Sarawak,N.20 Layar,6470,5006,0,381,4625,1389,4,77.3724884080371,30.032432432432433,7.610866959648421,0.0
1969-05-10,SE-01,Sarawak,N.21 Kalaka,5584,4880,0,263,4617,556,4,87.39255014326648,12.04245180853368,5.389344262295082,0.0
1969-05-10,SE-01,Sarawak,N.22 Krian,6308,5033,0,404,4629,2061,3,79.78757133798351,44.52365521710953,8.027021657063383,0.0
1969-05-10,SE-01,Sarawak,N.23 Kuala Rajang,5732,5087,0,222,4865,1330,6,88.74738311235171,27.33812949640288,4.36406526439945,0.0
