date,election,state,seat,ballot_order,name,candidate_uid,party,party_uid,votes,votes_perc,result
1959-05-20,SE-01,Johor,N.01 Endau,1,Haji Arifin Bin Haji Ismail,5605,BEBAS,1,325,6.7357512953367875,lost_deposit
1959-05-20,SE-01,Johor,N.01 Endau,2,Mahmood Bin Mahadi,5606,NEG,9,861,17.844559585492227,lost
1959-05-20,SE-01,Johor,N.01 Endau,3,Ali Affendi Bin Ahmad,5607,PERIKATAN,2,3639,75.41968911917098,won
1959-05-20,SE-01,Johor,N.02 Mersing,1,Yusoff Bin Awang,5608,BEBAS,1,519,12.374821173104435,lost_deposit
1959-05-20,SE-01,Johor,N.02 Mersing,2,Poh Swee Lim,5609,PERIKATAN,2,3675,87.62517882689556,won
1959-05-20,SE-01,Johor,N.03 Kota Tinggi,1,Ismail Bin Sa'Adon,5610,PERIKATAN,2,2212,57.86031912110907,won
1959-05-20,SE-01,Johor,N.03 Kota Tinggi,2,P. Subramaniam,5611,SF,8,974,25.477373790217108,lost
1959-05-20,SE-01,Johor,N.03 Kota Tinggi,3,Ma'On Bin Omar,5612,NEG,9,637,16.662307088673817,lost
1959-05-20,SE-01,Johor,N.04 Johore Lama,1,Lee Yeak Khim,5613,PERIKATAN,2,2722,69.97429305912597,won
1959-05-20,SE-01,Johor,N.04 Johore Lama,2,Syed Abu Bakar Bin Ja'Afar,5614,NEG,9,1168,30.025706940874038,lost
1959-05-20,SE-01,Johor,N.05 Plentong,1,Haji Mohamed Bin Haji,5615,NEG,9,1033,18.78181818181818,lost
1959-05-20,SE-01,Johor,N.05 Plentong,2,Dato' Haji Mohd. Noah Bin Omar,279,PERIKATAN,2,4467,81.21818181818182,won
1959-05-20,SE-01,Johor,N.06 Tanjong Petri,1,Chu Choon Yong,278,SF,8,2414,40.46940486169321,won
1959-05-20,SE-01,Johor,N.06 Tanjong Petri,2,Wan Mohamed Bin Ibrahim,5617,NEG,9,1195,20.033528918692372,lost
1959-05-20,SE-01,Johor,N.06 Tanjong Petri,3,Fatimah Binti Haji A. Majid,583,BEBAS,1,2356,39.49706621961442,lost
1959-05-20,SE-01,Johor,N.07 Tampoi,1,Haji Rahmat Bin Haji Daud,587,PERIKATAN,2,4061,66.63931736133902,won
1959-05-20,SE-01,Johor,N.07 Tampoi,2,Haji Daud Bin Haji Abdul Hamid,293,NEG,9,2033,33.360682638660975,lost
1959-05-20,SE-01,Johor,N.08 Gelang Patah,1,Sidi Bin Jas,5619,SF,8,1656,32.25555122711336,lost
1959-05-20,SE-01,Johor,N.08 Gelang Patah,2,Haji Annuar Bin Haji Abdul Malik,85,NEG,9,702,13.673548889754578,lost
1959-05-20,SE-01,Johor,N.08 Gelang Patah,3,Syed Mohamed Bin Edros,5621,PERIKATAN,2,2776,54.070899883132064,won
1959-05-20,SE-01,Johor,N.09 Pontian Dalam,1,Lebi Mohamed Bin Yacob,5622,PERIKATAN,2,3458,47.3633748801534,won
1959-05-20,SE-01,Johor,N.09 Pontian Dalam,2,Zahid Bin Abdul Karim,280,SF,8,1864,25.530749212436653,lost
